ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
,,,,,,,,,,,,,,Error,,13.1
0-89087-583-9,Face to Face: A Guide to AIDS Counseling (The AIDS Health Project),"Helquist, Michael, AIDS Health Project",Celestial Arts,304.0,1989,,Paperback,"I. Counseling People With Hiv Disease -- The Psychological Needs Of People With Aids / Judy Macks -- The Hiv-positive Client / David Silven And Thomas J. Caldarola -- Cross Cultural Counseling : The Extra Dimension / Bart K. Aoki -- Ii. Hiv Counseling : Tests And Treatments -- T-cell Tests And Other Laboratory Mysteries / John F. Krowka -- The Decision To Test : A Personal Choice / Robert Marks And Peter B. Goldblum -- Experimental Treatments And Counseling Issues / William J. Woods -- How To Evaluate Experimental Treatments / John S. James -- Iii. Counseling For Aids Prevention -- Aids Prevention Counseling In Clinical Practice / Michael Shernoff -- A Group Model For Aids Prevention And Support / John R. Acevedo -- Do Groups Work? Evaluation Of A Group Model / Jeffrey Moulton [and Others] -- Being Seronegative In A Seropositive World : A Personal Perspective / Ronald D. Moskowitz -- Iv. Substance Abuse And Aids -- The Epidemiology Of Hiv Among Intravenous Drug Users / John A. Newmeyer -- Mental Health Complications Of Substance Abuse / Glen Fischer, Sally Jo Jones, Jack B. Stein -- Strategies For Working With Substance-abusing Clients / Barbara G. Faltz -- V. Hiv And The Psychiatric Patient -- Neuropsychiatric Complications Of Hiv Infection / James W. Dilley And Alicia Boccellari -- Hiv Disease And Suicide / Peter B. Goldblum And Jeffrey Moulton -- Aids Anxiety Syndromes / Charles R. Tartaglia -- Treatment Of People With Aids On An Inpatient Psychiatric Unit / Jay W. Baer [and Others] -- Caring For Patients With Aids Dementia / Alicia Boccellari And James W. Dilley -- Educating Chronic Psychiatric Patients About Aids / Amanda M. Houston-hamilton, Noel A. Day, Paul Purnell -- Vi. Legal And Ethical Issues For The Mental Health Profesional -- Ethical Dilemmas In Hiv Disease : A Conceptual Framework / Cheri Pies -- The Duty To Protect : Confidentiality And Hiv / Howard V. Zonana -- Vii. Special Populations -- Ethnic Minorities, Hiv Disease And The Growing Underclass / Mindy Thompson Fullilove -- Hiv Disease : Issues For Women / Nancy Stoller Shaw -- Youth And Hiv : No Immunity / Janet Shalwitz And Ken Dunnigan -- Double Jeopardy : Hemophilia And Hiv Disease / Donna Dimarzo -- The Aids Bereaved : Counseling Strategies / Amy Weiss -- Hiv, Stress And The Health Care Professional / Mary L.s. Vachon And Jeanne Dennis -- Too Many Casualities : Hiv Disease In Gay Men / Michael Helquist -- Viii. Case Vignettes -- Adam : A Man With Aids ; Jim : A Man In Denial / Judy Macks -- Greg : A Seropositive Gay Man ; Gary : A Married Man / David Silven And Thomas J. Caldarola -- David : A Potential Research Subject / Joyce M. Johnson -- Teresa : A Pregnant Adolescent / Michael Shernoff -- Sam : A Teenage Iv Drug User / Michael K. Baxter -- Jack : A Psychiatric Inpatient / Jay W. Baer -- Carla : A Recent Widow / Marsha Blachman -- John : A Man With Hemophilia / Donna Dimarzo -- Mario : A Recent Immigrant / Yvette G. Flores-ortiz And Hugh A. Villalta -- Nicholas : A Heterosexual Alcoholic / Terry Tafoya -- Randy : Shame And Losse Of Face / Kiki Wu Yen Ching And Richard Daquioag -- Reed : A Physician's Assistant / Scott K. Morris -- Shannon : A Blood Donor ; Beverly : A Transfusion Recipient Margo Nason. Editors, James W. Dilley, Cheri Pies, Michael Helquist. Aids Health Project. Includes Index. With Bibliographical References And Index.",en,Updated,"Height: 9 Inches, Length: 6 Inches, Weight: 1.15081300764 Pounds, Width: 1.25 Inches",16.95,https://images.isbndb.com/covers/58/34/9780890875834.jpg,Success,79.0,13.1
0-8032-7024-0,"With the Nez Perces: Alice Fletcher in the Field, 1889-92","Gay, E. Jane",Bison Books,228.0,1987-11-01,,Paperback,"<p>in 1889 The U.s. Government Sent The Anthropologist Alice Fletcher To Idaho To Allot The Nez Perce Reservation. She Was Accompanied By E. Jane Gay, Who Served As Cook, Housekeeper, Photographer, And General Factotum. In This Collection Of Her Letters, Gay Describes In Sprightly Fashion Their Encounters With Feuding Agents, Hostile White Squatters, And A Nez Perce Tribe Divided Over And Puzzled By This Latest Government Program.</p>",en,Revised ed.,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.65697754076 Pounds, Width: 0.56 Inches",1.99,https://images.isbndb.com/covers/02/44/9780803270244.jpg,Success,60.0,13.1
0-8306-5008-3,Secrets Told by Children of Alcoholics: What Concerned Adults Need to Know,"Jorgensen, Donald G., Jorgensen, June A.",Human Services Inst,176.0,1990,,Paperback,,en,,Weight: 0.5 Pounds,12.95,https://images.isbndb.com/covers/00/88/9780830650088.jpg,Success,86.0,13.1
0-8147-7902-6,"Fraternity Gang Rape: Sex, Brotherhood, and Privilege on Campus (Feminist Crosscurrents)","Sanday, Peggy Reeves",NYU Press,1.0,1990-09-01,"Universities, Students--psychology, Sexual Behavior--psychology, Rape--psychology, Gang rape--Case studies, Gang rape--United States--Case studies, Greek letter societies--Case studies, College students--Sexual behavior--Case studies, College students--United States--Sexual behavior--Case studies, Women--Crimes against--Case studies, Women--Crimes against--United States--Case studies, HV6561 .S25 1990, HV 6561 S213f 1990, 306.77",Hardcover,"Campus Party Culture -- The Xyz Express -- Rape Or She Asked For It? -- Other Victims, Other Campuses -- Working A Yes Out: Fratermity Sexual Discourse -- The Initiation Ritual: A Model For Life -- The Law Of The Brothers -- Constructing A Sexist Subjectivity. Peggy Reeves Sanday. Includes Bibliographical References.",en,Clean & Tight Contents,"Height: 9.75 Inches, Length: 6 Inches, Weight: 0.95019234922 Pounds, Width: 0.75 Inches",37.5,https://images.isbndb.com/covers/90/26/9780814779026.jpg,Success,84.0,13.1
92 25 50 06 6,,,,,,,,,,,,,,Error,93.0,13.1
0-907179-50-9,To Do Something Beautiful,Rohini,Inland Womensource,222.0,1990,,Paperback,,en,First Edition,Weight: 0.440924524 Pounds,8.95,https://images.isbndb.com/covers/95/04/9780907179504.jpg,Success,69.0,13.1
0-918393-74-4,Diversity and Complexity in Feminist Therapy (Women in Therapy: Nos. 1-2),"Root, Maria P P, Brown, Laura",Routledge,350.0,1990-06-04,,Paperback,,en,1,"Height: 9 Inches, Length: 6 Inches, Weight: 1.433004703 Pounds, Width: 0.79 Inches",44.95,https://images.isbndb.com/covers/37/46/9780918393746.jpg,Success,20.0,13.1
0-942610-06-7,Japanese American Women: Three Generations 1890-1990,"Nakano, Mei T.",Mina Pr Pub,256.0,1990,,Paperback,,en,Reprint,"Height: 9.25 Inches, Length: 6.25 Inches, Weight: 0.95 Pounds, Width: 0.75 Inches",14.95,https://images.isbndb.com/covers/00/62/9780942610062.jpg,Success,77.0,13.1
17 - 3619 - 3,,,,,,,,,,,,,,Error,99.0,13.1
