PageNumber,Text,ISBNs
1,"Feminist
Bookstore
News HvA
The
1990
Sidelines
Catalos &
Summer Supplement
August 1990 ” i
Femina Seko Am F32178
e / {21 ĝo
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:44:19 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
2,"sS g . A K A S
A Year and À Day Calcudar:99:
“A good calendar to mark the beginning of
the Post-Patriarchal Age!” — Gloria Steinem
Based on 7%e White Goddess by Robert Graves, A YEAR AND A DAY
CALENDAR —a hardbound matriarchal engagement calendar —is the perfect time
reckoning tool to help awaken Goddess consciousness in the modern woman.
Used for thousands of years through-
out the ancient world, the fixed lunar [i
calendar system is based on the natu- K ASS
ral cycles of the earth, body and moon.
Robert Graves’s classic 7%e White God- | RON DA
dedo first detailed the religious and I CALENDAR
matriarchal symbolism inherent in this
Cmelotnict hDsr u i—d v nerasmioned, caofnstiesrti n gt r eoefs 1 3— a s o f1 D2,8 y ; Ji A
days each plus an extra day to start the
year. In the introduction and through-
out the diary, editor Peter Bog-
danovich explains the tree and
Goddess symbolism associated with
each of the tree months.
Includes dates from the conventional
Gregorian calendar for easy refer-
ence.
Compiled by Peter Bogdanovich
Illustrated by Melissa Knight
0-87951-358-6 208 pp. 71⁄2 x 91⁄4
$19.95 2-color illustrations throughout
The Overlook Press
RR: Box 4 96
S À. A Woodstoc k, N Y 12S498 S S
212/679-6838
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:44:19 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",['0-87951-358-6']
3,"Feminist Bookstore News
Welcome to the Sixth Annual FBN Sidelines Cat- year’s catalog, send us their names and addresses,
alog. This year, for the first time, we're publishing it and we'll make sure they receive information about
as a stand-alone supplement to FBN. We've expanded next year’s edition. And sit back and enjoy the cultural
the craftswomen’s advice-to-booksellers sections and artifacts of our community.
added a compendium of booksellers’ favorites and
recommendations. In addition to sending the FBN Sidelines Catalog
to the feminist, gay, gay and lesbian, alternative, left-
Women do not live by books alone! We also want ist, and general independent bookstores on our list,
our bookstores to provide an abundance of positive we send it to all the new feminist, gay, gay and lesbian,
images — cards, calendars, pins, buttons, t-shirts, pins alternative, et al., new bookstores we hear about
and bumperstickers — even videos. This catalog during the year. We've also included several articles
includes enough sidelines to stock a bookstore for about bookselling — articles that will interest both
the winter holidays and all year around. New book- new and experienced booksellers, articles that will
sellers will find enough diversity to stock an entire increase the number of times each bookseller picks up
store. Keep the catalog at hand as a resource to use and leafs through the catalog.
all year.
As always, we're interested in your feedback,
So, peruse these pages and consider where these compliments, complaints, criticism and suggestions
items can fit into your store. Write for catalogs and for making next year’s edition the best ever. If you'd
cw rr ai ft te s w y oo mur en h to hli ad ta y y oo ur d se ar ws e ta hr ely ir. aD do n i’t n f Fo Br Nge . t I ft o y ot uel l have l ci ak llel Fa Bdiv Na nn oc re winerf io tr em s aa nti do n a s kab o tulot bin ee x sat d dy ete da r t’s o. c o a uta rl o g si, dOe-
other, favorite sidelines that aren't represented in this
August 1990
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:44:19 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
4,"Feminist Bookstore News
P.B. E A
A e rj a
DYKES TO WATCH OUT FOR
1991 Calendar
Cartoons by Alison Bechdel
The second year in this new tradition ofinviting Mo and her friends to help
you keep track of who’s who and what’s happening.
This 11 x 11 wall calendar with a four-color cover and brand new cartoons
for each month gives you plenty of room to get your schedule under
control. And remember days off from work, your cat’s birthday, and what
the moon’s doing to your life.
The Dykes 7o Watch Out For 1991 Calendar by Alison Bechdel—
iIrSreBsisNtibOle, li9k3e 2th3e7 w9o-m8e3n - i4n y oNurS Nlife. $
Firebrand
Books
Firebrand Books, 141 The Commons, Ithaca, New York 14850, (607) 272-0000
Available to the trade from Bookpeople, The Distributors, and Inland Book Company
August 1990 2 Summer Supplement
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:44:19 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
5,"Feminist Bookstore News
CONTENTS
Editor & Publisher
Carol Seajay
Columnists A1 d9 v9 e0 rt i sS inI gD E IL ndIN exE S . . C . A ..T A . L . O 6G 4
Art Books Tee Corinne
Canadian Content Donna Murray Bookstore Faves, Raves
Gay Men’s Literature Ed Hermance and Bestselling Sidelines . ...11
International Books Joni Seager
Mainstream Publishers Sandi Torkildson Jewelry Adds Interest and Income ..5
Mysteries Mary Lowry Sidelines 1990 . .. ........ 9
Poetry Betsy Nuse
Science Fiction Susanna Sturgis Spellbound Books: Profile. .....4
University Presses Kris Hoover To Video or Not to Video?
Young Adult Books Christine Jenkins
Proofreading An Open Letter to Women’s Bookstores . ./
Pat Kelso
Advertising SUMMER READING
Brenda Cummings
Feminist Bookstore News Developing an Ecofeminism
456 14th Street Suite 6 Section: The 31st St. Bookstore . . . 41
PO Box 882554 Northern Women’s Bookstore
San Francisco CA 94188
415-626-1556 Profile: Canadian Content... . . . 4/7
FEMINIST BOOKSTORE NEWS is the communica- On Being A Feminist Employer 52
tions vehicle for the informal network of feminist
bookstores. FBN reaches 350 feminist and feminist- Pergamon Fires Union Members . 51
inclined bookstores in the U.S. and Canada as well
as feminist booksellers in England, Europe, Aus- PUBNET for the Smaller
tralia, New Zealand, India and Japan. Librarians,
women's studies teachers, book reviewers, publish- Independent Bookseller . ....40
ers and feminist bibliophiles comprise the remainder
of the subscribers. Some Beginnings: An Interview
Letters, articles, news items and announcements
should be received the tenth of the month preceding with Judy Grahn (Part.2). ...... ..53
publication. Signed articles and letters are the re-
sponsibility of the authors. Subscription Information =... 63
iF s E pM ublI iN shI eS d T b i -mB oO ntO hK lyS T inO JR anE u a rN y, E MW arS ch , ( I MS aS yN , : J u l0 y,741-6555) Womyn's Braille Press
SS Te Op REt e Nm EWb Se r a, t 4a 5n 6 d 1 4 thN o Stv re eem t b Sue itr e 6b , y S an F FE rM an-INIST BOOK- Celebrates 10th Anniversary:
cisco, CA 94103. Second-Class Postage paid at San But:Can She. Typ8?.. cs
Francisco, CA. POSTMASTER: Please send address
changes to FEMINIST BOOKSTORE NEWS, PO Box
882554, San Francisco, CA 94188-2554.
PSlUuBs S $C6R/IyPrT ICOaNnaSd: ia n$5 0p/oystrag/e6; $is1s3u/eysr, f$o9r5 /o2v e ryseeaasr sa. EE
S postuage.mmer Supplement 3 August 1990
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:44:19 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
6,"Feminist Bookstore News
23-25, MOSS ST.,
DUBLIN 2. TEL 712149
of publishing, media and design skills. As we got
closer to our launch date we realized we quickly had
DUBLIN: We launched ourselves November 1st to learn about marketing, public relations, distribu-
1988. We are a women worker's co-operative and our tion, repping and business planning.
original plan was to do lots of wonderful children’s We had a wonderful launch, nearly all of the
books, social history, social commentary, feminist national media covered it, photographs and articles
postcards, new writing, literacy material, practical in- appeared in all the national dailies, features appeared
formation books, fiction, material by and for women, in magazines, mentions on relevant television and
in other words just about everything. radio programs. Great!! So far so good. Now the really
hard work started.
We approached state bodies for funding — a very
cool reception. We discovered that all funding bodies
wanted to see things like cash-flow forecasts, three-
year projections, balance sheets etc. Here we were
three fairly political, idealistic individuals having to
become part of the capitalist business world. Phew!
It’s also a “Catch 22” because it’s nearly impossible to
try and run a business on a day to day basis on a
shoe-string budget and then afford to buy in profes-
sional help to learn the skills we needed to learn.
Enthusiasms and energy 00zed...it still o0zes but
we have become just a little more realistic about how
much we are able to do on very limited finances.
In July last year we set about producing a collec-
tion of postcards. Some designs we bought from a
defunct publisher and we commissioned a lot of
new ones.
It was Dublin's Millennium year and our idea
was to use that as a focus for the books and hopefully
get financial backing from the Millennium budget. We
borrowed money to start up and got stuck in the
production work. Postcard by Cath Jackson
What we did not realize then was how little we Back we went to the government funding agency
knew about all sorts of things. We, all three of us, had who accepted the point that yes, we looked like a
a background in teaching and all had varying degrees See Spellbound, page 64
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:44:19 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
7,"Feminist Bookstore News
Selling Sidelines:
By Jane Sipe you samples. Network with other women’s book-
stores to learn the name of a rep in your area.
Just as Women’s Music Festivals have become Issues that you will need to discuss with the artist or
events celebrating women’s culture, our bookstores her rep:
are finding that they are in a position to serve the ° the product (options and assortments; think about
community and increase the bottom line by selling how many pieces it will take to make an attractive
other forms of women’s art and culture, called side- display);
lines. Jewelry, cards, buttons, tee shirts, posters, re- ° minimums (usually $100);
cords, and tapes all fall into this category, and deserve ° lead time (generally 3 to 6 weeks);
careful consideration for inclusion in the inventory of ° payment terms (remember that many artists and
women’s bookstores. Jewelry designed for the femi- small businesses will not be in a position to extend
nist community, in particular, can bring a lot of excite- credit, so expect to pay COD; if you are able to
ment into the store and takes very little space. negotiate Net 30 terms, be sure to pay on time —
late payments might be of little significance to
How To Get Started Harper & Row, but to a craftswoman, they can be
° Women’s Music Festivals’ Crafts Area: Stop by devastating; avoid consignment — you get a
early in the festival to make your first contact smaller return for more effort.);
and set up an appointment for a time convenient ° repair or replacement of damaged goods;
to both of you. Just as you would want to see a ° return/exchange policy (check if there is a restock-
Sales Rep at your store during a slow time, avoid ing fee).
trying to negotiate a wholesale purchase during At some point before or just after you have
the busy hours. placed an order for a product or line, you will need
° Sales Representatives: This is a relatively new con- to determine where to position it in your store. Do
cept in the women’s community, but there are reps some brainstorming about how you would like to
all over the USA, Canada and the UK who repre- display the items, and think about security consid-
sent women artists. The advantage to working erations, etc.
with sales reps is that they usually represent at You may need to purchase or make a display
least 5 lines, and will come to your store to show case, get graphic artwork blown up to poster size,
move other things around to make space. Taking
Jane Sipe, President of Jane Iris Designs has been designing time to think these things through before you have
and making jewelry for 15 years. Jane's goddess imageries the merchandise in hand will result in a much
are well known within the feminist community nationwide, smoother transition into actually selling the prod-
and now in Canada and the UK. ucts once they arrive.
August 1990
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:44:19 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
8,"Feminist Bookstore News
Remember that you will probably be paying more On Selling
for a piece of jewelry than you do for a book, and that “Selling” is a word that leaves a funny taste in
means that selling that item will bring you a proportion- most of our mouths. Forget about selling; get into
ately larger profit. Arranging all merchandise in your “helping.” Being knowledgeable about the pieces en-
store for optimal viewing by your customers is impor- hances your presentation tremendously. Provide your
tant; displaying jewelry, which takes up so little physical customer with information in the display. Some artists
space, is critical. Showing these higher priced items to an provide description cards you can include in the dis-
play, or you can pull something from a book you carry
quicker in order to cover your costs. and feature the book as well.
Since some artists have developed a following via
How To Put Together A Display the music festivals, grouping their work in one area
Jewelry and other articles of value are best posi- and possibly displaying a business card and/or pho-
tioned near the cash register where there is an aura of tos will take advantage of that.
security consciousness and someone is available to Assign someone whois enthusiastic about the prod- '
assist customers. uct to be there to answer questions for customers, hand
Give careful consideration to display cases; even items to the customer to try on, point out any new items,
a small one can represent a bit of an investment, and reference pieces to books in the store, and remember a
you will feel better if it meets all you needs. An inex- frequent customer’s likes and dislikes. Excellence in
pensive option is to use Lexan Clips and sheets of customer service is simply good business.
plexiglass cut to create secure display spaces. The clips
are available through plastics stores, such as Tapp Maintenance
Plastics in San Francisco. Just be sure to use a thickness Just as you are careful to make sure that books are
of plexiglass that will support the weight of the jew- on their proper shelves, it is important to put some
elry over time without sagging. effort into keeping your sidelines orderly. With jew-
You may be able to purchase a used counter/ elry, it is particularly important to polish it frequently:
display case. If so, avoid using the bottom shelf of a dul], tarnished, fingerprinted jewelry is unappealing.
floor size display case for jewelry; your customers It will help is there is someone who makes the jewelry
would end up standing on their heads to see the case her special project.
pieces. Best is to put it on the top shelf, and make sure Rio Grande Albuquerque (above) sells Sunshine
that the top surface glass is kept free of clutter that Cloths, which are cleaner than rouge to handle, and
would obstruct the view. do a great job on metal. Using the display aids men-
Jewelry needs lots of light and works best on a tioned above will facilitate tidiness.
gray, or soft colored background. Black and dark Order 3 to 6 weeks ahead of need so that your
colored backgrounds tend to overpower the jewelry. display won't appear depleted. When placing an
Background materials are unlimited: matte boards order, remember which pieces sold quickly, and which
and pantone papers, velveteen jewelers pads, lucite ones had someone asking for them after they were
cubes, mirrors, fabrics, rice, etc. Ideally, the back- sold. Try ordering something new for excitement in
ground should “disappear,” not be eye catching. the display.
Traditional jewelry display items are available Enterprising bookstores should have no problem
through such companies as Gerald Fried, 550 Fillmore finding quality sidelines to add spice and excitement
Ave., Tonawanda, NY 14150, and Rio Grande Albu- to the store. It may sound like a lot of work, but like
querque, 6901 Washington NE, Albuquerque, NM any other aspect of doing business, finding the person
87109. These places also carry traditional display cases who enjoys doing the job is essential to successfully
and other display aids such as ”grippits” for rings, buying, displaying, maintaining, and selling jewelry
easel type boards for pendants, earring display units, and other sidelines. All it takes is a dash of imagina-
ring trays with any number of slots. Most of these tion, a big handful of creativity, and a tad of intuition
things are fairly inexpensive and contribute to the btlenhdede nwit.h a H wilalinvgnees s tfo utakne a chaantc e niowt !a nd O
visibility of the jewelry.
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:44:19 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
9,"Feminist Bookstore News
By Pat Stone videos of interest to the women’s community could
Charis Video become inaccessible, and 3) to propose a way to solve
this accessibility problem, which would also increase
I'll bet this has happened to you: a customer your buying power and access to information about
walks into your store and asks you for a copy of a videos. Let me start with some basic economic infor-
video. The title sounds familiar, but you're not sure mation that will give you an idea about how profitable
your supplier carries it. When you call them, you find videos could be for your store.
out they do have it, but it’s out of stock. They back-
order it for you. Six weeks later, you get lucky. They
actually find a copy. They ship it out to you. Since you
don’t do enough business with them to make it worth
their trouble to give you credit, you have to pay a COD
charge - close to $5. The video retails for $29.95. You
pay $23.00 for it wholesale. Plus the $5, and you've
made a whopping $2 on the sale. That’s if, after six Why Videos?
weeks, the customer remembers that she ordered it, or Lesbian /feminist/women’s videos are a natural
hasn't already found it some place else. for women’s bookstores. You're perfectly positioned
Let's face it . . . videos could be a real pain. Which for them. Your store is the logical place for your
titles do you stock? How do you keep track of the customers to look for these titles. They're loyal. They
latest releases? How do you set up a rental system? Is want to give you their business. Besides, they might
it worth the shelf space? Is it profitable enough to be feel funny asking for Desert Hearts, for example, at
worth the effort? Which titles are rentable and which their local video store. But even if they felt comfortable
are “for sale only”? What’s the difference anyway? asking, they wouldn't find titles like Ancient Women’s
And how do you avoid the above scenario? Spirituality or Olivia's 15th Anniversary Video. Whether
There seem to be a lot more questions floating you just sell, and especially if you get some sort of
around about videos than there are answers. The fact rental system going, women’s videos could make you
is you just haven’t had access to very much informa- a profit. Your customers have an interest and a need
tion about videos — info on new releases, pricing, etc. for videos with positive images of women. Since these
How can you make an intelligent decision about in- videos can't be found anywhere else, you're in a
vesting in a video sideline when you don’t even have unique position to fill that need.
the basic facts about the industry? So what kind of initial investment are we talking
The answer is, you can't! Or couldn't, until now. about? Well, a shelf or two ought to be able to handle
I'm hoping this article will change all that. There are your video sideline. I always keep 30 specific titles in
actually three reasons I'm writing this: 1) to provide stock here at Charis — my best sellers. Any combina-
you with some of that missing information, 2) to make tion of the 30 titles ought to be enough to get you
you aware of the serious possibility that many of the started.
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:44:19 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
10,"Feminist Bookstore News
Videos vary greatly in price. The best figures I titles, because they’re worried about losing access to
have for us to use in a profit analysis are averages I've them (and with good reason). Your customers will rent
calculated from my own business experience. Over videos, but they'll buy them, too.
the last year I've paid an average wholesale cost of Women’s videos will rent. They’ll sell. They can
$23.21 per video. The average price paid per video by be profitable. So if they're such a terrific sideline, why
my customers (not including the discount I usually aren't more of you carrying them?
give) was $38.24. That’s an average profit of $15.03 per One reason is that you're a bookstore — you
video. Depending on how many tapes you start with, know books, not videos. Keeping up with the latest
you would be talking an initial investment of $232.10 book titles is a chore in itself. How the heck do you
(ten tapes) to $696.30 (thirty), potential gross receipts keep up with the latest releases in video too?
of $382.40 to $1147.20, and a potential net profit of Another reason is the scenario given at the begin-
$150.30 to $450.90. (Please keep in mind that these ning of this article. Believe me, I know what it’s like. I
averages include both mainstream and independent deal only in videos, and I still don’t do enough busi-
titles. In reality, mainstream titles are less expensive ness to get the mainstream distributors to pay atten-
for your customers, but the markup is a lot lower than tion to me.
independent titles.) So what's the answer? How can you get the vid-
Now, here's the $64,000 question: Who makes eos your customers want without making yourself
more money on any one video tape — the store that crazy or bankrupting your store? Well, one sure way
sells it, or the store that rents it? The answer is: the to protect your business (and your sanity) is to be as
store that rents it. At $2 per rental, you would break informed as possible about what you are trying to do.
even on a $23.21 tape after 12 rentals (12 x $2 = $24). I have a plan that I think will increase your access to
You would equal the net profit of the sale of the tape the videos and the information about them, and in-
after 19.5 rentals ($2 x 19.5 = $39 minus $23.21 cost = crease your buying power as well. But before we get
$15.79 net profit). The beauty of this formula is that into that, you need some basic information about the
you don't have to stop there. Videos are good for video industry first. How does all of this video stuff
hundreds of plays and continue to earn you money work anyway?
long after they've paid for themselves. And you only
have to buy it once. A Few Helpful Hints About The Video Biz
As far as the lesbian /feminist video “industry” is
concerned, there are really two kinds of videos. I refer
to them as “mainstream” and “independent.” The
basic difference is how they are released, that is,
through what channels they are made available to the
public. This distinction is important because it affects
how the tapes are priced and what you can do with
Okay, but isn't renting a little like giving the them after you purchase them (i.e., rent, sell, etc.).
store away. After all, your customer will reason, Let's start with definitions of both:
why buy when you can rent? Well, strangely Mainstream: These titles are those released
enough there is evidence that renting might actually through major studios (MGM/UA, CBS/Fox, Orion,
improve your sales. A recent study done by the A.C. etc.). You can always find the logo of the studio (aka
Neilson company indicated that a video renter is the manufacturer) on the packaging. Even if a film was
twice as likely to buy a video than a non-renter. If independently produced, if it is released through a
they see something they like, renting it over and studio, it is a mainstream title. These titles are the
over is going to seem like money down the drain. staple of your local neighborhood video store.
This will be true of your customers, too — particu- Independent: These are produced by someone
larly considering the types of videos we’re discuss- who has been able to scrape together enough money
ing, Which are not just more cop /cowboy dreck you to get them made. They are sometimes marketed by
can see on TV. These women want to own these the filmmaker herself or through a non-mainstream
August 1990 Summer Supplement
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:44:19 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
