PageNumber,Text,ISBNs
1,"The University Press Issue
November/December 1992 Volume 15 Number 4
Fernina Seiat am F32918 111 19/2
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:02:51 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
2,"BOOKPEOPLE has
some dazzling faculties!
Sure, we're known for supplying th books you need, and getting
them to you quickly. But wer
university presses we car r all yfur iwseonm eonf’ s t shteudies
Ki
X Arižonh đ X New Mexito
X California X Oklahoma
X Chicago X] Princeton
X Colorado X] Syracuse
X] Ne raska X] Temple
Nevada X Washington
X] New a X a
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:02:51 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
3,"Feminist Bookstore News
0-0; 0,0,0 0:000 O
Welcome to FBN’s Seventh Annual University challenge to Canada Customs, and more.
Press Issue. We started doing special university press Thanks to Ann Morse's diligent efforts and re-
issues during the “first” round of mainstream press porting skills, we also have a follow-up on the rumor
mergers and corporate buy-outs that set the stage for that five people were arrested for bombing The Closet
the “massification” of mainstream publishing and the bookstore last spring. (See News.) We forwarded the
“Decline of the Midlist.” At that point, university information that Ann found to ABA, ABFFE, and PW,
presses began publishing many of the titles that so watch for case updates in Newswire, et al. We want
would have been published by mainstream presses in to see the book thrown at the people who bombed The
previous years. University presses were generally, at Closet and threatened to kill bookstore owner Nancy
that time, expanding their publishing mandates and, Helm. We'll be doing everything in our power to
not incidentally, expanding their women’s studies encourage the prosecution to take this case very seri-
lists in a big way. We thought it was a trend worth ously and to also go after all the co-conspirators. One
noting and ended up doing an entire issue around the favor: If anyone can put us back in touch with Nancy
theme — our first University Press Issue. Helm, please give us a call.
In this year’s University Press Issue Joan FBN’s January issue will focus on children’s
Catapano tackles hard questions about the present and books. Send us a rave about your favorite kids’
future of women’s studies publishing and the number book(s), your bestsellers list for your children’s and
of books currently being published. She challenges us
all to take pride in our successes. We've also reprinted
a disturbing study of sex discrimination and sexual
harassment in academic publishing houses (Does the
upper management read what it publishes? — Appar-
ently not.) and Firebrand’s query, “What would hap-
pen if every women’s studies class used one feminist
press title?” We ran this question last year and it’s the
kind of question we're likely to keep on asking until it’s
adequately heard. This issue also features an excellent
article by Sandi Torkildson on selling textbooks.
And that’s just the beginning! This issue wel-
comes Theresa Corrigan as FBN’s official Feminist
Bookstore Humor columnist. This column was in-
spired by the laughter at Feminist Bookstore’s Day.
The issue also includes some notes on writing press
releases that I hope will be inspirational to every fem-
inist bookseller in the land, more on newsletters, a
profile of feminist publishing in The Netherlands,
more responses to the International Feminist Book
Fair in Amsterdam, an update on the Little Sisters
Volume 15 Number 4
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:02:51 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
4,"Feminist Bookstore News
young adult sections, tips, suggestions, great ideas, It looks as though FBN is going to have a job
graphics and drawings, news, and funny stories. opening sometime in the next two to six months. Ann
Of course we realize that we’re putting this issue has decided to pursue her dream of publishing feminist
together during the busiest time of the year for book- books and will be looking for a job with a feminist
sellers — but we've decided to make this production (book) publisher. I'm very sorry to see her go and envy
cycle easier by starting production on November 23. the publisher who is lucky enough to get her. Our
We'll go to press on December 18. This is early, but it timetables aren't clear yet, but I do know that we'll be
should work better for everyone. As always, we'll looking for someone with a passion for feminist and
take letters to the editor and late-breaking news lesbian books who knows and loves the world of femi-
until a week before press date, December 11th in nist bookselling and has writing, reporting, editing, and
this case. See page 4 for details of our schedule for proofing skills. My wildest dream is to find a woman
the next year. with all these skills and a past in feminist bookselling.
Speaking of holidays, November 20 to December This is the first time FBN has had a job opening with
20, the month preceeding Hanukkah, is National Jew- time for someone to consider moving to San Francisco,
ish Book Month. One of my favorite bookstores in the so please pass the word to any ex-bookstore workers
world does a special display of Jewish feminist books who might be qualified. We should have a job descrip-
every December as their contribution to fighting the tion by the time this issue reaches you. Publishers who
dominant Christian/Christmas norm. Coming out of anticipate openings in the next two to six months would
this electoral season, I think it’s safe to say that we've do well to give Ann a call. I'm not sure how all of this is
all had too much “Christianity” jammed down our going to work out time wise, but I'm willing to believe
throats this year. If you haven't done it before, this is that Ann's next job and FBN’s next coworker will all
a good year to start celebrating Jewish Book month arrive with a perfect amount of overlap for training.
and to do displays to celebrate al! of the cultures in YoCurs ain rspreoadinlg th e Sworeds,ajay O
your community that don’t celebrate Christmas.
|A G TREAVTE L SUURPVI V A&L K ITG FOOR women
ÁINE MCCARTHY
GET UP AND GO
A Travel Survival Kit For Women
by Áine Mc Carthy
ISBN1 85594 0 37X PRICE $13.99 160pp
Distributors: The Inland Book Company and Bookpeople.
Tel: 010 353 1 616128 Fax: 010 353 1 616176
November /December 1992
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:02:51 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
5,"FBN CONTENTS
Editor & Publisher
Carol Seajay UNIVERSITY PRESSES
Assistant Editor The Evolution of Feminist ScholarlyPublishing ..19
Ann Morse WISP Survey Reveals Sexual Harassment . .... 23
News from the Universities ............. 27
Advertising/Production
Cill Janeway A Short Course in Selling Textbooks ........ 29
Columnists Favorite University Press Titles of the Moment . .39
Art Books Tee Corinne University Press-Bestsellers . . 5 0 2 42
Canadian Books NEC Penny Goldsmith ARTICLES
' G May a in M ste rn e’ as m L i Pte ur ba lt isu hr ee rs SR ai nch dia r d T o rL kab ilo dn sote n Publishing Women in the Netherlands ....... 45
Science Fiction Susanna Sturgis Booksellers Share Interview Questions ...... 55
University Presses Ann Christophersen New Magazines onthe Scene ........... 57
Young Adult Books Christine Jenkins Store Newsletters: Starting from Scratch . ..... 53
TCB: Press, Releases, u. ke r. 49
Proofreading NeWwS/ShHOr SIOries.- ... h 4- e aan 11
Pat Kelso Suspects Arrested in Closet Bookstore Bombing • Feminist
Sud C io ev e r R A akrt usin F eP Nr a me ias dse is U n pC d ir ae sta et tse B“ T o Foh ke us tL noi rb e nr a Lr iiy s e t sPr .o je c 3t” . • C =ro .w ..n v =s. . L i tt sle . S is 1ter 4s’ •
Feminist Bookstore News News From the BOOksIores . . . . . -s - 15
456 14th Street Suite 6 Watching the Middle Man: Nett Hart. ....... 63
PO Box 882554
San Francisco CA 94188 DEPARTMENTS
415-626-1556 FAX: 626-8970 Advertising Index... e eie 111
Back to Press & Other Good News ........ 48
FEMINIST BOOKSTORE NEWS is the communications Classified AdS.. b a 112
v Fe Bh Nic l re e af co hr e s t h 3e 5 0 i n ff eo mrm ina isl t n ae nt dw o r fk em o inf i s tf -e im nci ln ii ns et d b bo oo ok kst -ores. Short. Raves.: 2. a s b aaka 71
stores in the U.S. and Canada as well as feminist book-
sellers in England, Europe, Australia, New Zealand, Subscription Information: =. 22. S85... 110
bIn od oi ka ra en vd i e wJ ea rp sa ,n . p uL bib lir sa hr ei ran s s , a n w d o m fee mn’ is n i ss tt u d bi ie bs l i ot pe hac ilh ee srs, T Th Iey V IW en tt T ah a t F-A e- W a Sy i. a . . R = a. 5 . T N .: 6 6 59
comprise the remainder of the subscribers.
Writing Wanted n 52
Letters, articles, news items and announcements should
be received the tenth of the month preceding publication.
aSuigtnheodr s .articles and letters are the responsibility of the THE BOOKS
FEMINIST BOOKSTORE NEWS (ISSN: 0741-6555) is Art BOOKS iN. e e e r S ASA 77
published bi-monthly in January, March, May, July, Gay Men’s-Literature . . . webm adk 73
S Ne Ep Wte Sm b ae tr , 4 5a 6n d 1 4 N tho v e Sm trb ee er t b Suy i t eF E M 6, IN SI aS nT FB rO aO ncK iS sT coO ,R E CA OUr. Own Bresses: > st daei 83
9 C F4 EA1 M.0 I3 NP. O I SS S Te T c M o Bn A Od S O- TC KEl SRa Ts : s O P R P l Eeo as st Nea Eg We se n Sp ,d a i Pd a O d a d t r B e osS xsa n 8c h 8F 2ar 5na 5gn 4ec ,s i s Sc to ao n, P Su cb il eis nh cer es FR IO CW H O2% N ..s ie t > a s t e9 9 79
Francisco, CA 94188-2554. The'Small:Presses sS N 91
$S 9U /yB r S CC anR adIP ianT I pO osN taS g: e ; $$ 16 9/0 y/ ry fr o/ r 6 o v ei rs ses au s e ps o, s t ag$ e1 .15/2 years. Plus University Presses > e. e 35,
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:02:51 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
6,". O
AD),
AMA Ppi
Kids' Books Issue
January 1993
Ad Reservation: Nov. 25
Ad Copy Due: Dec. 3
Booksellers: Send us your bestsellers list, rave about your favorite
kids books, share tips and anecdotes on selling children’s books.
We want all your news and great ideas!
Issue Articles Due Ads Due Last Minute News
Kids’ Books Nov. 23 Dec. 3 Dec. 10
Spring Announcements Jan. 27 Feb. 4 Feb. 11
| ABA Issue March 24 Apr. 1 Apr. 15
Sidelines /Calendar May 5 June 7 June 21
Summer Announcements June 25 June 28 July 15
Fall Announcements Aug. 13 Aug. 12 Sept. 2
University Press Oct.5 Oct.5 Oct. 21
|
Feminist Bookstore News • PO Box 882554 • San Francisco CA 94188 • 415-626-1556 • Fax: 415-626-8970
November / December 1992 4 Volume 15 Number 4
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:02:51 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
7,"Feminist Bookstore News
Pandora Book Peddlers 20% discount. We've also developed a good reputa-
885 Belmont Ave. tion for the quick turn-around on those rush orders.
N. Haledon NJ 07508 By the way, when we first heard about this situation,
, Dear FBN, we placed a call to Norton Stillman at Bookmen, but
In the previous issue of FBN we read with sym- did not get our call returned.
pathy of the plight of such stores as Reader’s Feast in Vivian Scheinmann
Hartford contending with the onslaught of super- Pamela Sheldrick
stores. Fortunately, we have not been invaded by
Barnes & Nobles, Encore, et al., in our neck of the
woods. We have a different problem.
Bookmen, a wholesaler in Minneapolis, has been Woman to Woman Books
courting customers Pandora Book Peddlers has 106-12404-114 Ave.
worked diligently with for over five years. As a whole- Edmonton, Alberta T5M 3M5
saler, they are offering 40-43% (!) discount on books Canada
for a special program called SEED — Seeking Educa- Dear FBN,
tional Equity through Diversity. Bookmen called the Thank you very much for sending us copies of
director of the program trying to convince her to re- FBN. They have been very helpful to us.
lease the names and addresses of her seminar leaders We began the venture last Winter after the only
who would be ordering books. She refused, but Book- feminist bookstore in Edmonton closed. Originally we
men managed to get the names from another source. were a group of 10, but this slowly narrowed to four
It looks like the chain has been broken: Writer -> who were willing to make the small investment in
publisher > wholesaler/distributor — bookstore => time to get a mail-order service operational. The small
reader. What Bookmen is doing is not illegal, but how size is a definite asset as we are able to divide the work
about some ethics here. If they want to go after special evenly and develop the trust necessary to do this
customers, why not drum up business of their own business and carry on with our own busy lives. We
and not play on an independent women-owned also found that to carry lesbian titles and be able to
bookstore’s turf. take the books to women’s events and conferences,
We hope other feminist bookstores will take note meant that everyone involved had to be comfortable
of what Bookmen is doing. Institutional orders are an with their own sexuality. This is a sad statement about
important part of our business, even in our new loca- the conservatism in our Province and the potential for
tion near a state college. We're happy to say that the harassment around books.
co-directors of SEED have sent a letter to leaders ex- What we hope to do is to bring books into areas
plaining the situation. However, some potential and where women have limited access to anything not
former customers had already bitten on the 40% bait considered mainstream. For the most part we will not
and we've lost their business. Happily, others have carry titles that we know are available in most book-
chosen to remain with us because of their loyalty and stores; that is those who now find it politically correct
our commitment to the books we make available at to carry “safe” feminist titles. Thus we are looking for
November / December 1992
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:02:51 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
8,"Feminist Bookstore News
the unusual, small press works, and off the beaten
track feminist and lesbian theory. If we get a reputa-
tion for being provocative and controversial, we'll
THE WISDOM know we're filling our purpose.
So far we've published a short list of titles in
OF WOMEN conjunction with Pride Week (June) and now our first
major catalogue is out. We hope word of mouth will
carry us into the more rural and isolated parts of our
Edited by Carol Spenard La Russo region. It is a great adventure to all of us even on those
days when we look at each other and wonder where
we got the nerve to do this.
Thanks again.
Sincerely,
WISDOM Sheryl McInnes
o
Calyx Books
PO Box B
Corvallis OR 97339
Dear FBN,
Does anyone know of any good software pro-
From Virginia Woolf to Gloria Steinem! grams for journal subscription fulfillment? After 16
years of publishing Calyx we are learning that few
“I love books that I can dive into and quickly small literary magazines have adequate fulfillment
come out with a pearl. This is such a book! The systems for their subscriptions.
ideas and inspirations contained in The Wisdom Best,
Of Women are an excellent source of encourage- Margarita Donnelly
ment and strength when the going gets tough as 503-753-9384
well as a heart-lifter at any time.” fax: 503-753-0515
— Sue Patton Thoele
author of The Woman's Book of Courage Ruth Wiens
Tulsa City-County Library
400 Civic Center
A by p 7as 5s i o wn oa mte e n c o oll fe c t ai lo l n a go ef s w anr dit i n fg rs o m a n ad l l r fem iela dr sk , s this Dear FBN Readers, :Tulsa OK 74103
book celebrates women's profound insights into
the ways of life and the future of humanity. Tulsa's Multiple Sclerosis Society asked the Li-
brary to track down a book for people who have MS
and are also dealing with the loss of their partner. We
$11.95, cloth / ISBN 1-880032-09-0 128 Pages have a fairly good selection of titles on MS, but nothing
NEW WORLD LIBRARY along these lines.
If you can recommend a book on this topic, or
know of some titles we definitely need to have (espe-
|DJ NN NA cially from small presses), I would appreciate hearing
from you.
Ruth Wiens
91f8-5a96x-79:7 7 918-596-2641 O
November /December 1992 Volume 15 Number 4
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:02:51 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms","['1-880032-09-0', '7 7 918-596-2']"
9,"Feminist Bookstore News
The following are two letters we received from Joyce Brown program. All four categories had to be paid for sepa-
and Renee Albrecht from The Women’s Bookshop (333 rately. Hidden costs were everywhere.
Main Street West, Hamilton Ontario.) To dress the entire figure which they had created
was a special invitation-only official opening program
By Joyce Brown and ceremony. None of the Canadian booksellers pos-
sessed the required “pass.” It seemed that none of the
I am writing this report to address my concerns American booksellers had one either.* Furthermore,
with regard to the Fifth International Feminist Book- none of the Canadian writers who were women of
. fair hosted by Dutch women in Amsterdam. colour had one either. The appropriate attire for the
First of all there appeared to be little correspon- official opening was European white skin.
dence between the organizers and the women who
were traveling from abroad. Journeying to interact $
with women from other lands is a mechanism for not
only bringing back information to our sisters in the
struggle but also to carry with us new issues and
concerns. My traveling companion who is both my
employer and a white woman, had very similar and
simultaneously mixed feelings about the conference.
We arrived in Amsterdam with the address of a va-
cant building. The office housed the co-ordinators of
the bookfair but, since the bookfair was in progress,
it was vacant. Many thanks go out to the young male
receptionist in the Orthopedic Hospital; otherwise This was a anthropological observation. We
we would have wandered about for much longer women who stood “outside” of the doorway watched
than we did. for one hour. The Western women both white and of
We found ourselves booked into a youth hostel. colour were excluded. The African and Indian women
This was not an objection with us when we departed from the southern developing countries were admit-
from Canada. The organizers arranged this accommo- ted. As an unofficial recorder of facts, I noted that five
dation for us. What we found appalling was that we Black women entered the 900-seat auditorium. What
were placed into a room with no fewer than seventy do you call this? How can you accuse the organizers
other people and that it was co-ed. A critical analysis of being racist? It was very subtle indeed. Women of
would indicate a curious form of feminism. I don’t colour from Canada, America and England were ex-
mind sharing a space with other women whom I don’t cluded, but African and Indian women from the
know but will soon come to know, but I am particular Southern developing countries were admitted.
about sharing space with unknown males. I did not So, why some and not others? Who defined the
appreciate being made privy to a young male working difference? Why was the Black Dutch author invited
off his “urge”. This was one of our first experiences of to speak as an afterthought? Whose bookfair is it
“Feminism” at the Book Fair. anyway? It painfully and slowly became very obvi-
Everything was unexpected. The entrance fee for ous. No one had to say it but it was there.
the bookfair was divided into halves. The private and Yes it is true that a panel of Black French-speaking
the public, inside and outside. There was a further women presented in French, but it was the only occa-
division between the day program and the evening sion that there were not any translators in this audito-
November / December 1992
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:02:51 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
10,"Feminist Bookstore News
rium. Who could access what these women had to say *Editor's note: “Invitations” were distributed to exhibitors
— a limited audience. Other Blacks who would have at the rate of one “pass” per stand regardless of the number
found value in their words, in their “Truths,” were cut of women working at the stand or the number of publishers
off by the barrier of language. The organizers had who shared the stand.
done it to us “in our faces.” Furthermore any white
woman who may have benefited from their Truths A Letter to Other White Feminists
could not unless she was French-speaking. In effect
those writers were “silenced.” The words came out of By Renee Albrecht
their mouths but fell on uncomprehending ears so that
language was the tool utilized to divide us. White women need to make the effort to travel and
socialize with women of color if white women are to
have any hope of achieving solidarity amongst all
women. Through close association in everyday life and
by allowing ourselves to listen and learn from women
who are silenced in our culture, we shall become aware.
Initially that awareness will be uncomfortable. One of
the first things we will notice is the lack of enthusiasm
among many Black women with (white) mentors, our
(white) history, our (white) intellectual development.
I have found that when white women mingle
amongst ourselves it is easy to pat each other on the
back and spout off about our progress in political and
social arenas. However, when there is a Black women
within our midst we are defused. Then we must admit
that our white professors, white clergy, white busi-
nesswomen, white social workers are generally closed
to the reality of women who make up the majority of
the planet's population.
S 3 v Occasionally, white women working towards lib-
eration attempt to include a woman of colour in panel
There were no Black American women present. If discussions as a guest speaker, or ask them to join the
my eyes do not deceive me and I know that I am not organizing committee for some conference or event.
blind, the official poster which came out announced These efforts are usually not organic and women of
that Alice Walker was to be present. She was not there. colour are easily able to see through these thin veils of
Why? Either this was a lure or false advertisement. “equal representation.” Then the tendency is to con-
Enough of the Black Issue. The women of colour faired vince ourselves and each other that we’vè tried but
(no pun intended) no better. The Indian wcmen from just haven't been appreciated, and/or that Native
the developing countries were also cut off in their women, Asian women, or Southern women have com-
speech. One such women was placed on a panel with plex, difficult social and political communities, and
five white women. Each presented a different perspec- that these are the obstacles that prevent them from
tive on the possibility of co-publishing. Co-publishing working with white feminists. We manage to delude
exists only when there is equality. When all women ourselves and avoid listening to the women who go to
have an equal voice. When language is not used to the trouble to tell us — for the millionth time — that
conquer and divide us. When we are not separated we are racist or unaware.
into geographical contexts, only then can there be a Over the last decade white women in Canada
solidarity within the feminist framework. Women of have become aware of our failure to address racism.
colour are tired of being the matte or the borders; we This awareness can be regarded as the first step in the
are also the picture itself. right direction. However we must not let pride cloud
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:02:51 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
