ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
0-9631468-0-7,,,,,,,,,,,,,,Error,2,15.Sidelines
0-87634-861-3,,,,,,,,,,,,,,Error,20,15.Sidelines
62-216 95 2 1,,,,,,,,,,,,,,Error,26,15.Sidelines
0- 962-8913-3,,,,,,,,,,,,,,Error,13,15.Sidelines
0-87654-881-8,"Cal 97: Edward S. Curtis (mini Wall Calendars , No 6)",Library Of Congress,Pomegranate (cal),,1996.0,,Calendar,,en,5.0,,0.0,https://images.isbndb.com/covers/88/13/9780876548813.jpg,Success,20,15.Sidelines
0-88961-167-X,,,,,,,,,,,,,,Error,4,15.Sidelines
0-87654-844-3,,,,,,,,,,,,,,Error,20,15.Sidelines
0-9632526-0-7,Weenie-Toons!: Women Cartoonists Mock Cocks,"Roz Warren, Editor -",Laugh Lines Press -,,1992.0,,Paperback,,en,,,0.0,https://images.isbndb.com/covers/26/09/9780963252609.jpg,Success,14,15.Sidelines
1-55050-020-1,,,,,,,,,,,,,,Error,19,15.Sidelines
1-56341-018-4,,,,,,,,,,,,,,Error,44,15.Sidelines
