ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
,,,,,,,,,,,,,,Error,,17.SP
6 - 8 65 55 1,,,,,,,,,,,,,,Error,44,17.SP
0-9624836-6-4,,,,,,,,,,,,,,Error,32,17.SP
8 5 554 706 9,,,,,,,,,,,,,,Error,49,17.SP
0-929999-03-7,,,,,,,,,,,,,,Error,23,17.SP
800-32 6-10 6,,,,,,,,,,,,,,Error,34,17.SP
0-89594-680-7,,,,,,,,,,,,,,Error,33,17.SP
0-89594-678-5,,,,,,,,,,,,,,Error,33,17.SP
10-682-5593 3,,,,,,,,,,,,,,Error,12,17.SP
0-89594-679-3,,,,,,,,,,,,,,Error,33,17.SP
1-56280-059-0,,,,,,,,,,,,,,Error,72,17.SP
1-883850-01-0,,,,,,,,,,,,,,Error,29,17.SP
1-56341-041-9,,,,,,,,,,,,,,Error,31,17.SP
1995 0-8351-2,,,,,,,,,,,,,,Error,38,17.SP
0-89594-551-7,,,,,,,,,,,,,,Error,33,17.SP
1-56280-065-5,"Up, Up and Away","Ennis, Catherine",Naiad Pr,240,1994,,Paperback,,en,First Edition,"Height: 8.5 Inches, Length: 5.75 Inches, Weight: 0.5 Pounds, Width: 0.25 Inches",9.95,https://images.isbndb.com/covers/06/59/9781562800659.jpg,Success,72,17.SP
0-935155-15-5,,,,,,,,,,,,,,Error,25,17.SP
0-935155-16-3,,,,,,,,,,,,,,Error,25,17.SP
0-88961-191-2,,,,,,,,,,,,,,Error,34,17.SP
1-877920-05-3,,,,,,,,,,,,,,Error,38,17.SP
4 1 58-0303-1,,,,,,,,,,,,,,Error,40,17.SP
