PageNumber,Text,ISBNs
1,"Feminist Bookstore News
Source: Reveal Digital, 07-31-1994
Contributed by: Dawn L. Martin; Kaylen Rose; Suzy Stone; Suzanne; Denise Sallee; Jan
Fenton; Genevieve; Angela Powell; Glenda Martin; Lisa Mariotti; Joan Denmen; Rachel
Pepper; Johanne Cadorette; Jim Bennett; Laurel Hastings; Mary Ellen Kavanaugh; Jane
Brooke; Jo derBoer; Kasha Songer; Jane Brooke; Nett Hart; Dell Richards; Cathy Andrews
Stable URL: https://www.jstor.org/stable/community.28036362
Licenses: Creative Commons: Attribution-NonCommercial
JSTOR is a not-for-profit service that helps scholars, researchers, and students discover, use, and build upon a wide
range of content in a trusted digital archive. We use information technology and tools to increase productivity and
facilitate new forms of scholarship. For more information about JSTOR, please contact support@jstor.org.
This item is openly available as part of an Open JSTOR Collection.
For terms of use, please refer to our Terms & Conditions at https://about.jstor.org/terms/#whats-in-jstor
Reveal Digital is collaborating with JSTOR to digitize, preserve and extend access to Reveal Digital
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:37:39 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
2,"Feminist
Bookstore
News Iiv
The 1994 Sidelines Issue
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:37:39 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
3,"omplete
Support from
When your customers are looking
for a calendar or a magazine, they ©
don't think of them as sidelines, Frontlist
they simply know they can count on
you to find it for them.
We would like you to think of Bookpeople in the
same way: As an important part of your community that you O
can count on to supply you the books, cassettes, magazines and
other sidelines that your customers require.
For more information or an c c
Early-Bird Calendar checklist, SI c Nes
please call our Order Department .
at (800) 999-4650.
BOOKPEOPLE.
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:37:39 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
4,"Feminist Bookstore News
Welcome to FBN’s Tenth(!) Annual Sidelines bookstores were a nightmare yet undreamed when
issue. We produced our first Sidelines Issue in 1985 we did the first sidelines issue. (See Chain, Chain,
to answer the question booksellers asked FBN most
frequently: “Where can I get sidelines to sell in my important to feminist bookstores as a way to
store?” Since we were spending so much time on the emphasize the ways we are unique and special to
phone answering this question, we decided to write our communities — and to provide our community
it all down and publish it as a special issue of FBN. with things the chains and superstores can't and
Booksellers used the information to order holi- won't carry.
day stock and kept the issue handy to use during
the rest of the year as well. It worked so well that This special issue also compiles the experience of
we did it again — and again and again! three different feminist bookstores in their successes
The world of feminist bookstore sidelines has at providing safer sex information and parapherna-
changed a good deal over ten years. Albums have lia. It suggests fusion marketing as a way to increase
disappeared, CDs and videos are in. Buttons still both jewelry and book sales, discusses renting audio
sell to the crunchy-granola generation while the tapes, looks at new trends in “women’s music” and,
next generation eschews buttons for day-glo stick- last but not least, initiates FBN’s first regular video
ers. Safe sex paraphernalia is de rigueur and, even review column. And, of course, the sidelines ads
through there are many more “safe” environments and listings make up the heart of the issue. Our
for women who want to buy vibrators, there are thanks to everyone who contributed faves and
still towns where the women’s bookstore is the only raves, ideas, information, articles and ads to this
safe place to go. issue. It takes all of us to make this community.
The bookselling world has changed a bit over
ten years, too. Predatory superstores committed to So enjoy it! And please remember to tell our
competing with feminist and other independent advertisers that you saw it in FBN. O
July 1994
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:37:39 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
5,"Feminist Bookstore News
I Am Becoming
You'll Want
the Woman
These Posters and
I’ve Wanted
T-Shirts Too!
edited by
Sandra Haldeman Martz Papier-Mache offers fine art
This newest title from the best- posters and attractive 50/50
T-Shirts based on I Am Becoming
selling anthology series explores the Woman I've Wanted.
the intriguing dynamics of wom- The beautiful full color, fine
en’s relationships with their phys- art quality posters feature the dra-
ical selves. In the emotionally matic cover art and the full text
evocative style that has character- of the stunning title poem
ized Martz’s collections, women “Finding Her Here”; 10x21, rec-
delve into a broad range of per- ommended retail $12. Posters and
sonal experiences, from coming a discount schedule are available
of age and budding sexuality to NOW.
0 0ot l - -leh d 9 9n e 1 1e r 8 8g . 9 9 4 4 e 9 9p s - -5 4h 0 9 y - -t 5 1hs , , i ac c pt l aa o p tl e h ra , , c c $ch $1 1o 6a 0mng pe as n y a n gd r oc wh ia nl- g 1gsc bkts1wo hr hr aun f i me a eata t otcy tm ,h w k c e sb b p awa dao ne abt h wd css e t oha y lc u et oa t mo e a,ph u ue 'm tis v ige tl h nd , lehbi ea gn e ra y t rsl g g tei e tg o m s dc ah tlh u o it i ap r tmfth dt bl .e ve b'ee eaesd ies es sv, l , p k,low ke errno t—,m .owan n I b'v ite t e rwanted, i a e so pn yn od es r- c t p a s tT t oo cs- ahts eoh i nr muir s gr . ut , s l tp G h io ca r ipr ogeu le a h o l t -a r n qr ef u da ot a a lu rn i g r tt ra ygh al i po f l T hc too - isg csm ,i .h e p is o ra u tn r-
P5 u-c bo . lo dr a tc eo : v pe Or c, t o 7 b e rx i 19 9.2 9 e5 4, 230 i pages, 1 1 atwt 1t k bw ww W wna h h h un im h hh hde e i ht ta ofs o oo o h m ow i n tm g k b s w rdb kk kr a n reo ab a pl oro nn nec ou v wt ne mwm lmo oo oh wh es ecd hm ww whi ne lo aes se n sern mr e tss sm i r g ss n yl s s ey u i w bg t b hss sn ln er s hh h' u ie eg v trts ruo cl p ee e’ oet hh sso irn o '' h s ls v e p mf lg e I e 'd se w nru s ss s p hir sa h . il oe na au sua l aw en !n sg pen g f r g 's c ss t oo l, efd mh i se. oe im o .i cnnt md c n po ae ta git ,o .rrr epn ye n ecnan ,ces st d i—sI , o' e ,v ure s, , longed for, lS e m atdi ez e e n ss ur d me et ml da a e r i rl .g r e e$, t 1 a 5 iX l.0 - 0l $a ; 1 r 9g X .e 0X: 0 - . r la e Arc g vo em a: i lm ar be e ln c eod m- -
(© 1994 Papler Mache Presa. “Hin Ninde #2."" 0 An Pcr negha 19M.
4G07
July 1994 Sidelines
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:37:39 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
6,"Feminist Bookstore News
CONTENTS
FBN
Editor & Publisher
ARTICLES
Carol Seajay
Sidelines: Faves & Raves 5
Editorial Assistant
Dawn Lundy Martin Fusion Marketing:
Every Piece Tells a Story 11
Advertising
Susan Buie TCB: Renting Audio Tapes... 13
Columnists Selling Safe Sex Products and Sex Toys ....15
Art Books Tee Corinne Superstores: Chain, Chain, Chain....….......….…... 19
Canadian Books Jana Williams Video R6VI6WS......... s.a 57
Canadian Books Dorothy Seaton Women’s Music: Hot New Releases ....…....... 59
Gay Men’s Literature Richard Labonte
Humor Roz Warren A Different Kind of Women’s Music...…….….…....…... 65
Mainstream Publishers Sandi Torkildson S Aub Is Ncr Aip Eti Xon I 3n .f .o .. .. 6 5 88
Mysteries Nan Cinnater
Science Fiction Susanna Sturgis
University Presses Mev Miller
Proofreading AUDIO. saeia 23
Pat Kelso
Si nC éo v e Ar n aA hir tt a BuCttConas &l AeTchnotchdkdes..a.....…r .…..s.… …..…..…S..…… ….… 5…<2…..<.6 25
Feminist Bookstore News
2358 Market St. Chocolate... see 41
San F rP aO n c iB sco ox C8 A82 5 95 44 188 C CO rM aI fX t... s .l .a .e a 4 4 21
415-626-1556 FAX: 415-626-8970
FEMINIST BOOKST P Or Rin Et e Nd E Win S U iS s A the communications DISIIDUIOIS ...... eiere 45
v re eh aci hcl ee s f 5o 0r 0 t fh ee m ii nn if so t r m ana dl n fe et mw io nr isk t - io nf c l if ne em d i n bi ost o k sb to oo rk es st o ir ne s . t hF eBN Interactive BOOKks........ rre 46
U.S. and Canada as well as feminist booksellers in
England, Europe, Australia, New Zealand, India and Japan. SEWEIFY es ereseeeeag eeste ei 46
Librarians, women's studies teachers, book reviewers, pub- SOUMAIS..... o aeee ei iaas iin 49
tlihseh e rsus b sacnrdib efresm.inist bibliophiles comprise the remainder of MUGS... senasa 50
Letters, articles, news items and announcements should be POSISrsSS S. eR 51
receiaved tuhe tentth of h the moonth prrecedinsg pub.lication.
Signed articles and letters are the responsibility of the
RSUÍDSbS r SSISAXMP.S esrrient e a taae 5151
FEMINIST BOOKSTORE NEWS (ISSN: 0741-6555) is pub-
lished monthly in January, March, May, July, August,
NS Ee Wp St e fm or b $e 7r 0 , p ea r n yd ea r N peo rv e stm oreb e ar t 2 3b 5y 8 M F arE keM t I SN t.,I S ST an BOOKSTORE F-SVhirts e &.S por tsw5ear 5 0.. 52
FFrranacnisccoi,s cCoA, 9 4C11A4.. S ePcoOndS-TClMassA PSoTstEagRe : p aiPd l eaat s Sea n send address SPIDS... seniais eeste aeeie 55
changes to FEMINIST BOOKSTORE NEWS, PO Box
882554, San Francisco, CA 94188-2554. 3 July 1994
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:37:39 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
7,"Feminist Bookstore News
What do thousands of
women refer to daily?
Everywoman’s Almanac 1995
In 1995, disabled women across North America come together sharing struggles and
celebrations in their fight for inclusion. Strong and frank, these women discuss how
their disabilities affect their work, relationships, sexuality, self-esteem, womanhood
and goals.
Special features include:
• stunning full-colour cover
photographs, artwork and interviews
menstrual calendar
resource directory
section for addresses
Comes in a compact size and two formats:
* sewn bound, sturdy enough to carry in your
hand bag or back pack * spiral bound, to lie flat
or open for use at your desk or work table.
This year for the first time the almanac will offer
discount coupons for women's periodicals,
products and services.
$11.95 sewn bound 4 1/2 X 6 1/2
$12.95 spiral 5 X 6 1/2
July 1994 4 Sidelines
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:37:39 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
8,"Feminist Bookstore News
Compiled by Dawn L. Martin We can do Anything.” From Nome Middleton, 2761
with help from the booksellers Cleveland Hill Rd., Roseburg OR 97470.
Beautiful hand-printed cards for holidays and
This year we're celebrating the 10th anniversary of everyday. Our best-sellers are those dealing with
our sidelines issue. In the proper celebratory manner, change and transformation. Amazing colors, and
we are once again adding to the growing number of each card is unique. From Me, Too Productions, PO
sidelines that may be of interest to feminist bookstores. Box 25082, Albuquerque NM 87125.
And we're keeping in mind that lists like this one may
be of growing importance in the coming years since
the invasion of the chainstore forces feminist book-
sellers to come up with inventive initiatives to support
the bottom line. This year’s list of booksellers’ favorite
and best-selling sidelines is as diverse and unique as
it's ever been. Hand-painted cards, kitty pillows, les-
bian/gay refrigerator magnets are just a few of the
unique, but salable sidelines on this year’s list. Many
sincere thanks to all the booksellers who took time out
to share their bestselling non-book items. And for
those of you who are inspired by this column, please
send us information about your best sidelines and Arachne
we'll print them in next year’s supplement. —DLM
Handmade “Goddess” figurines starting at one
Our favorite sidelines are: inch high (pocket Goddess) in many beautiful col-
Outrageous political buttons like “If Gay and ors. Larger seated figures, necklaces and earrings
Lesbian people are given Civil Rights then every- are also available. Many sold for gifts. From
one will want them.” From Ferne Sales Co., PO Box Arachne, Karen Fredrickson, Rt. 1 Box 102A, Clear
113 TCB, W. Orange NJ 07052. Lake WI 54005. — Sweet Violets
Bumperstickers like “Women are Wonderful, Marquette MI
Sidelines July 1994
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:37:39 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
9,"Feminist Bookstore News
Alchemist earrings are a tried and true sideline. are perfect for any occasion. High quality paper and
They are very reasonably priced, beautiful and the envelopes complement the images and justify the
folks at Alchemist are very easy to work with. Take retail price of $2 a card. Contact Ruth at 800-988-
advantage of their display unit. It’s perfect. The 2688 or PO Box 66433, Scotts Valley CA 95067.
Alchemists, Inc., PO Box 1660, Green Valley AZ Dream Pillows from Under the Willow Moon
85622; 602-295-8900. — great price, an easy gift item that practically sells
—My Sister's Words itself. These hand made pillows are fantastic —
Syracuse NY beautiful fabrics, fresh herbs, with a velcro opening
so that herbs can be replenished or small crystals
Although we haven’t been open for even a year for dreaming can be placed inside. Available in
yet, these are the sidelines that have been consistent Magical Dreams, Restful Sleep, Ease a Headache,
“rave” sellers here in Santa Cruz: Healing, Rekindling Energies, and our number one
Hand tinted photographs from Looking Out top seller: Kitty pillows filled with organic cat nip.
Productions are easily our best sellers with the high- My cats freak out, they get so playful. Also baby
est turn over. These cards are beautiful; images of pillows, perfect for showers. One of the best things
women kissing and cuddling in everyday settings about these pillows is that they’re good gifts for
men, as well, which customers appreciate at
Solstice and other gift giving times. Pillows retail
for $11 each, kitty pillows at $5. Contact Andrea at
408-688-9060 or PO Box 2525, Aptos CA 95001.
What do you do — Kaylen Rose
Herland Book-Cafe/Santa Cruz CA
when Two Sidelines that have done well for Purple
Moon:
February and March Little Blue Woman Hand-Crafted Candles —
ceremonial candles with 13 different scent and color
come around and you can't combinations. Unique shape, wonderful scents and
find any Helaine Victoria long burning time. Write for a wholesale catalogue.
Press Postcards? Rt. 2 Box 579, Floyd VA 24091 or call 703-789-7222.
Bottman Designs, Inc. — They carry card lines
from three women artists. The Erika Oller cards are
You call hot sellers for me. Call 800-365-5564 for catalogue or
write 990 South 7th West #11, Salt Lake City UT 84104.
Clothespin Fever Press —Suzy Stone
1 800 231-8624 Purple Moon Books/Fredericksburg VA
for a list of photo cards at f aH vere o’s r a i tco eu spl !e o f : Two Sisters Bookshop
trade discounts
Ceremonial Rattles by Rose Javelin. All hand
made, hand painted, using natural gourds and
Harriet Tubman, Madame CJ Walker, rawhide features... beautiful work. PO Box 2374,
Santa Cruz CA 95063; 408-429-7425.
Sojourner Truth, Amelia Earhart, Sterling silver jewelry by K Robins. She’s a
sculptor and it really shows in the depth and vitality
Gertrude Stein, Susan B. Anthony of her images. Goddess and women symbols include
& lots, lots more explanation cards. Rt. 1 Box 383, Roseland VA 22967.
Greeting Cards by Brush Dance. Features won-
' July 1994 Sidelines
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:37:39 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
10,"Feminist Bookstore News
derful quotes with art by Renee. Greeting cards and
postcards by artist, feminist, lesbian Rashani and
other women’s art! Journals, too, with recycled
paper and soy ink (on all cards, too). 100 Ebbtide
Ave. Bldg. 1, Sausalito CA 94965; 800-531-7445.
—Suzanne
Two Sisters Bookshop/Menlo Park CA
Four months old and doing great — we feel
very positive about the success of the new store!
Here is a sideline recommendation:
Earrings, pins and bolo ties crested with “objects
'of hardware.” Cotter pins, washers, springs, hinges
and more combine to make fun, interesting and good-
looking jewelry. Items average $20. The response to
this line has been excellent! The two women jewelry
a Jr Dtis ,t s P c aa cll i f t ih ce m Gse rlv oe vs e T h Ce A M e t 9a 3l. 9 T 5h 0e . M —et Dal e, n P iO se B o Sx allee NO MINIMUMS
Raven in the Grove/Pacific Grove CA Call for w 8hole 0sale 0 in for m sation
People’s Pins — handcrafted enamel pins with
lots of good woman-, lesbian-, gay /lesbian-positive 225-2551 > g
messages. One of the first pin-makers I've found to
have messages about bi-sexuals and about fighting
anti-Semitism and with the black triangle. 9412 1st loved — for color, texture, coolness, comfort. They
Dr. SE, Everett WA 98208. —Jan Fenton continue to be on my list of favorite, best-selling
Laughing Horse Books/Portland OR sidelines. 1134 Van Buren, Eugene OR 97402.
Featherplay Designs makes T-shirt with saying
Lavender Rose Artworks — Maggie Dunlop. “Eve Was Framed” set in a “frame” of alternating
Maggie’s cards sell faster than any other cards. snakeès and apples. Clearly states what many
Each one has an original 4 inch square piece of art women know. Everyone comments, chuckles,
with a wonderful quote from one of 50 women: agrees. Good seller. Retails for $15. Featherplay,
Lucille Clifton, Alice Walker, Gertrude Stein, May Patrice Federspiel, 222 South Midvale Blvd.,
Sarton, Audre Lorde, Adrienne Rich, Virginia Madison WI 53705; 608-233-5876.
Woolf. She's filling a real need — making woman- K Robins. Her simple, elegant silver goddess
words easily shared. Cards retail for $3. PO Box jewelry is attractive to many women looking for
6061 Yale Station, New Haven CT 06520; 203-562-6071. spiritual meaning — Healer, Changer, Kali Ma,
Ginger Rudisill paints cat faces on stones — Gaia, The Virgin — are wonderful woman-affirm-
delightful detail (each cat has a tail). People buy ing pendants. $25-45. K Robins, Route 1 Box 383,
them in quantities. (She paints large stones into cats Roseland VA 22967.
as well but I've stayed with the small cat faces.) Gina also makes a goddess figure — and pins of
Retails for $2. 777 Loma Vista, Pomona CA 91768; “five friends,” “three friends,” a wolf — but they
909-622-4235. are made out of cut sheet metal that’s semi-painted.
Hilary's Comfort Beads. Hilary's multi-layered, You'd better ask her. I buy them through her dis-
multi-colored, cool-smooth beads — each strand of tributor. But they're really fine. $25-35. Gina, 1716
seven or eight beads has one white bead with a sin- Cedar Street, Calistoga CA 94515; 707-942-6446.
gle word: comfort, healing, freedom, focus, joy, — Genevieve
play, etc. I can't tell you how much these beads are Wild Iris Bookstore/Claremont CA
Sidelines July 1994
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:37:39 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
