1-58005-026-3,Dutiful Daughters: Caring for Our Parents As They Grow Old,,Seal Press,310,9/6/1999,"Aging parents--Care, Aging parents--Care--United States, Daughters--Family relationships, Daughters--United States--Family relationships, Caregivers, Caregivers--United States--Biography, Adult children, Adult children--United States--Biography, Daughters--Family relationships--United States, Adult children of aging parents, Adult children of aging parents--United States--Biography, HQ1064.U5 D87 1999, 306.874/0973",Paperback,"Women Caring For Aging Parents Recount Their Experiences As They Adapt To Changing Family Relationships With Sometimes Unexpected Results. Autonomy Of The Hovercraft / Kathryn Morton -- To Kill A Deer / Debra Marquart -- Taking Leave / Caroline Jackson -- Margie's Discount / B.k. Loren -- Taking Care Of Charlie / Cathleen Calbert -- Good Morning, Dear / Sandra Butler -- The Minyan Connection / Sheila Golburgh Johnson -- A Bridge Of Sparrows / Maija Rhee Devine -- She's Fine / Sandell Morse -- The Decisive Match / Martha Henry -- Cookie And Me / Patricia A. Gozemba -- The Promise / Diane Reed -- Somebody / Janet Mason -- Mother May Be The Death Of Me / Martha K. Baker -- You Always Come Too Late And Leave Too Early / Marion Freyer Wolff -- Chocolate / Mary Anne Maier -- Life With Mom / Florence Ladd -- The Manila Envelope / Linda-marie -- The Gift / Susan L. Feldman -- Sheer Grace / Bonny Vaught -- The Dress / Marian Mathews Clark -- Her Hair / Wendy W. Fairey. Edited By Jean Gould. Includes Bibliographical References.",en,1,"Height: 9 Inches, Length: 6 Inches, Weight: 0.91 Pounds, Width: 0.79 Inches",17.41,https://images.isbndb.com/covers/02/65/9781580050265.jpg,Success,100,22.3.4
0-06-440772-1,Kissing the Witch: Old Tales in New Skins,"Donoghue, Emma",HarperTeen,240,2/27/1999,"Fairy tales, English, Fairy tales, Contes de fées, PR6054.O547 K58 1999x, [Fic]",Paperback,"<p>Thirteen tales are unspun from the deeply familiar, and woven anew into a collection of fairy tales that wind back through time. Acclaimed Irish author Emma Donoghue reveals heroines young and old in unexpected alliances—sometimes treacherous, sometimes erotic, but always courageous. Told with luminous voices that shimmer with sensuality and truth, these age-old characters shed their antiquated cloaks to travel a seductive new landscape, radiantly transformed.Cinderella forsakes the handsome prince and runs off with the fairy godmother; Beauty discovers the Beast behind the mask is not so very different from the face she sees in the mirror; Snow White is awakened from slumber by the bittersweet fruit of an unnamed desire. Acclaimed writer Emma Donoghue spins new tales out of old in a magical web of thirteen interconnected stories about power and transformation and choosing one's own path in the world. In these fairy tales, women young and old tell their own stories of love and hate, honor and revenge, passion and deception. Using the intricate patterns and oral rhythms of traditional fairy tales, Emma Donoghue wraps age-old characters in a dazzling new skin.</p>
<p>2000 List of Popular Paperbacks for YA</p>


                        <p>A collection of thirteen interconnected stories that give old fairy tales a new twist.
</p>",en,Reprint,"Height: 8.12 Inches, Length: 4.75 Inches, Weight: 0.4 Pounds, Width: 0.55 Inches",11.99,https://images.isbndb.com/covers/77/24/9780064407724.jpg,Success,82,22.3.4
0-8142-5035-1,The Fierce Dispute,"SANTMYER, HELEN HOOVEN",Ohio State University Press,208,9/1/1999,Literary Collections,Paperback,,en,1,"Height: 8 inches, Length: 5.25 Inches, Weight: 0.57 Pounds, Width: 0.75 inches",0,https://images.isbndb.com/covers/03/58/9780814250358.jpg,Success,124,22.3.4
0-8263-2049-X,"Passion, Memory and Identity: Twentieth-Century Latin American Jewish Women Writers (Jewish Latin America Series)",,University of New Mexico Press,261,5/1/1999,"General & Miscellaneous Latin American Literature - Literary Criticism, Women Authors - General & Miscellaneous - Literary Criticism, General & Miscellaneous Jewish Literature - Literary Criticism, Psychology & Literature",Paperback,"<p>This collection of essays, written by a distinguished group of literary critics, explores the Jewish woman's experience in Latin America. It came about as an attempt to define the cultural experience of Jewish Latin American women writers, as well as their relationship with their various countries. Included are Ilan Stavans and Magdalena Maiz-PeÃ±a writing on Mexico, David William Foster on Argentina, Regina Igel and Nelson Vieira on Brazil, Elizabeth Ross Horan on Chile and Uruguay, Joan Friedman on Venezuela, and Ruth Behar, Ester Shapiro Rok, and Rosa Lowinger on Cuba.</p><p>As Marjorie AgosÃ­n notes, the role of memory for the writers included in this volume is a central theme. The majority of them are daughters of Sephardic or Ashkenazi immigrants, many of whom fled the Holocaust. They write openly about their identity and their hybrid condition as Jews in predominantly Catholic countries, an issue that has not, until recently, been addressed with candor.</p>",en,1,"Height: 8 Inches, Length: 5.25 Inches, Weight: 0.7 Pounds, Width: 0.5 Inches",1.99,https://images.isbndb.com/covers/04/90/9780826320490.jpg,Success,128,22.3.4
0-8166-3497-1,Wanda Ga'g: A Catalogue Raisonne of the Prints,"Winnan, Audur H.",Univ Of Minnesota Press,336,8/23/1999,,Paperback,,en,"Second Edition, First Printing","Height: 10.75 Inches, Length: 8 Inches, Weight: 2.61 Pounds, Width: 0.7 Inches",34.95,https://images.isbndb.com/covers/49/72/9780816634972.jpg,Success,55,22.3.4
1-890159-10-7,The Strap-On Book,"Barr, Donna",Greenery Press,100,2/25/2015,,Paperback,"<p>Whether you’re male, female or transgendered, gay, bi or straight, conservative or wild or somewhere in between – strap-on play offers a multitude of options for sexy, safe fun.</p>
<p>A.H. Dion, the alter-ego of a well-known San Francisco author/educator, explains how to choose, wear, use and accessorize your strap-on. Award-winning cartoonist/illustrator Donna Barr provides lighthearted drawings of strap-on users of all kinds. Imagine the possibilities...</p>",en,1,"Height: 9 Inches, Length: 6 Inches, Weight: 0.4078551847 Pounds, Width: 1 Inches",1.99,https://images.isbndb.com/covers/91/08/9781890159108.jpg,Success,51,22.3.4
0-9659091-6-6,"Catch Shorty by Rosie (Broadway Ballplayers, Book 7)",Maureen Holohan,The Broadway Ballplayers,,1999,,Paperback,,en,,"Height: 8.5 Inches, Length: 5.75 Inches, Weight: 0.45 Pounds, Width: 0.5 Inches",6.95,https://images.isbndb.com/covers/91/67/9780965909167.jpg,Success,91,22.3.4
0-375-70521-X,Almost a Woman,"Santiago, Esmeralda",Vintage,336,9/7/1999,"Biographies &amp; Autobiographies, General",Paperback,"<p><P>Moving beyond her poignant childhood story, <i>When I Was Puerto Rican,</i> Esmeralda Santiago recalls her extraordinary journey into womanhood.<P></p> <h3>Publishers Weekly</h3> <p>This sequel to the story of Santiago's childhood (When I Was Puerto Rican) covers her life as an adolescent and young woman when she lived in Brooklyn, New York, with her mother (Mami) and 10 siblings during the 1960s. Puerto Rican immigrants, the family suffered through periods of poverty exemplified by the author's trips to the welfare office with Mami, where she translated her mother's Spanish so that they could obtain benefits. Santiago's good humor, zest for life and fighting spirit permeate her chronicle and moderate the impact of the hard times she describes. She studied acting at the prestigious Performing Arts Public High School and, despite feeling out of place because of her heritage, Santiago was able to obtain work in a children's theater and had a small role in the film Up the Down Staircase. Mami prevented her from dating until she was 17, but Santiago details several romantic involvements, including an affair with a Turkish filmmaker. Forced to lose her Puerto Rican accent to widen her acting range, Santiago never lost her connection to Mami, her family and her heritage, and her love for them all shines through this engaging memoir. (Sept.)</p>",en,1st Vintage Books ed,"Height: 8 Inches, Length: 5.25 Inches, Weight: 0.65 Pounds, Width: 0.75 Inches",0,https://images.isbndb.com/covers/52/12/9780375705212.jpg,Success,153,22.3.4
0-8147-2676-3,A Law of Her Own: The Reasonable Woman as a Measure of Man,"Forell, Caroline, Matthews, Donna",NYU Press,261,1/1/2000,"Gender & the Law, Abuse & Violence - Psychology, Abuse & Violence, Family Abuse & Violence, Criminology - Sex Crimes, Criminal Law, Feminism & Feminist Theory, Criminal Procedure",Hardcover,"<p>Traditionally, in determining culpability for an injury, the law has asked whether the actor behaved like a reasonable man, a standard that was supposed to abstractly represent the values and expectations of the community as a whole. Although recent law has reformulated this to the standard of the reasonable person, the authors argue that the standard remains deeply rooted in male assumptions and that this is an inappropriate standard to apply to the category of cases in which the majority of victims are women and the majority of perpetrators are men (i.e. sexual harassment, stalking, domestic violence, and rape). They call for a reasonable woman standard that would be applied to all people in these cases. Annotation c. Book News, Inc., Portland, OR</p>",en,First Edition,"Height: 9.01573 Inches, Length: 5.98424 Inches, Weight: 1.1904962148 Pounds, Width: 0.7499985 Inches",75,https://images.isbndb.com/covers/67/61/9780814726761.jpg,Success,43,22.3.4
0-345-42653-3,Black Glass: Stories (Ballantine Reader's Circle),"Fowler, Karen Joy",Ballantine Books,272,5/25/1999,,Paperback,"Carry Nation is on the loose again, breaking up discos, smashing topless bars, radicalizing women as she preaches clean living to men more intent on booze and babes. As for Mrs. Gulliver, her patience with her long-voyaging Lemuel is wearing thin: money is short and the kids can't even remember what their dad looks like. And what of Tonto, the ever-faithful companion, turning forty without so much as a birthday phone call from that masked man? In fifteen short fictions, Karen Joy Fowler turns accepted norms inside out and fairy tales upside down, pushing us to reconsider all our unquestioned verities and proving once more that she is among our most subversive writers of fiction. Filled with imaginative virtuosity, replete with wicked insights and cunning conceits, Black Glass delivers everything readers have come to expect of her fiction.",en,1,"Height: 8.25 Inches, Length: 5.25 Inches, Weight: 0.5 Pounds, Width: 0.75 Inches",1.99,https://images.isbndb.com/covers/65/36/9780345426536.jpg,Success,134,22.3.4
