ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
,,,,,,,,,,,,,,Error,,9.1.2
0-89594-209-7,A Faith of One's Own: Explorations by Catholic Lesbians,Barbara Zanotti,"Crossing Press,U.S.",224.0,1986,,Paperback,Edited By Barbara Zanotti. Bibliography: P. [201]-202.,en,No Edition Stated,Weight: 1.01 Pounds,0.0,https://images.isbndb.com/covers/20/98/9780895942098.jpg,Success,74.0,9.1.2
0-931122-42-2,The Death of Long Steam Lady,"Wong, Nellie",West End Press,71.0,1986-12-31,,Paperback,,en,First Edition,"Height: 8.75 Inches, Length: 5.75 Inches, Weight: 0.25 Pounds, Width: 0.25 Inches",5.95,https://images.isbndb.com/covers/24/22/9780931122422.jpg,Success,75.0,9.1.2
23 22 62 56 0,,,,,,,,,,,,,,Error,43.0,9.1.2
00 88 66 22 3,,,,,,,,,,,,,,Error,42.0,9.1.2
625 32 52 - 6,,,,,,,,,,,,,,Error,77.0,9.1.2
0-935834-51-6,Truth About Women: How Women Can Advance the World,"Bray, Caolyn H.",Rainbow Books,141.0,1986,"Women, Psychology, Feminism, Sex Role",Paperback,,en,First Edition,,8.5,https://images.isbndb.com/covers/45/12/9780935834512.jpg,Success,51.0,9.1.2
0-934770-62-X,El Bronx Remembered: A Novella and Stories,"Mohr, Nicholasa",Arte Publico Press,179.0,1986-12,"Children's Fiction, People & Places",Paperback,,en,2nd,Weight: 1.01 Pounds,0.0,https://images.isbndb.com/covers/06/20/9780934770620.jpg,Success,64.0,9.1.2
0-89594-211-9,"Hear the Silence: Stories by Women of Myth, Magic and Renewal (Crossing Press Feminist Series)","Moran, Johanna",Crossing Press,194.0,1986-09,,Paperback,"Magic In A World Of Magic / Anne Cameron -- In The Beginning There Was Humming / Deena Metzger -- Baby Town / Becky Birtha -- Why The Sea Is Salty / Kitty Tsui -- Blood, Sweat And Fears / Dale Colleen Hamilton -- Fruit Drink / Bode Noonan -- The Healing / Sandy Boucher -- Sticktalk / Vickie L. Sears -- The Saints And Sinners Run / Becky Birtha -- The Plasting Project / Merlin Stone -- Why The Moon Is Small And Dark When The Sun Is Big And Shiny / Judith Stein -- Ernesta / Judy Grahn -- The Love Chapter / Martha Waters -- The Tree On The Mountain / Deena Metzger -- She Unnames Them / Ursula K. Le Guin. Edited By Irene Zahava. 15 Spiritual Short Stories By: Anne Cameron, Deena Metzger, Becky Birtha, Kitty Tsui, Dale Colleen Hamilton, Bode Noonan, Sandy Boucher, Vickie L. Sears, Merlin Stone, Judith Stein, Judy Grahn, Martha Waters And Ursula K. Le Guin.",en,,Weight: 0.58 Pounds,0.0,https://images.isbndb.com/covers/21/11/9780895942111.jpg,Success,74.0,9.1.2
0-15-652798-7,Little Birds: Erotica,"Nin, Anais",Harcourt,168.0,1986,,Paperback,,en,,Weight: 0.4 Pounds,1.98,https://images.isbndb.com/covers/79/89/9780156527989.jpg,Success,72.0,9.1.2
0 8 0 68 26 3,,,,,,,,,,,,,,Error,43.0,9.1.2
0-399-13174-4,The Century's Daughter,"Barker, Pat",Putnam Adult,284.0,1986-10-10,"PR6052.A6488 C4 1986, 823/.914",Hardcover,Pat Barker.,en,First Edition,"Height: 5.86 Inches, Length: 8.82 Inches, Weight: 1.13097140406 Pounds, Width: 1.14 Inches",1.99,https://images.isbndb.com/covers/17/45/9780399131745.jpg,Success,46.0,9.1.2
03 33 39 19 3,,,,,,,,,,,,,,Error,83.0,9.1.2
0-87542-761-8,The Women's Spirituality Book,"Stein, Diane",Llewellyn Publications,1000.0,1986-01-08,,Paperback,By Diane Stein. Bibliography: P. 255-262.,en,First Edition,"Height: 8.75 Inches, Length: 0.75 Inches, Weight: 0.771617917 Pounds, Width: 6 Inches",12.95,https://images.isbndb.com/covers/76/14/9780875427614.jpg,Success,83.0,9.1.2
22 66 22 10 4,,,,,,,,,,,,,,Error,42.0,9.1.2
0-87542-760-X,The Kwan Yin Book of Changes,Diane Stein,Llewellyn Publications,320.0,1985-01-01,"Women & Religion, Socio-Cultural Anthropology - General & Miscellaneous, Asian Studies - East Asia - China, Fortune Telling & Divination",Paperback,"A modern reclaiming of the ancient Chinese I Ching. Kwan Yin, the Chinese Goddess of Mercy &amp; Knowledge, is evoked in this adaptation of the ancient divinatory system. This book returns the I Ching to women's use and is a simple-to-use tool of great power. The book stands the I Ching side by side with the Tarot as an aspect of women's spirituality, and it is a remembering of the submerged skills of women's matriarchy.",en,Reissue,"Height: 9 Inches, Length: 6.25 Inches, Weight: 0.67461452172 Pounds, Width: 0.75 Inches",1.99,https://images.isbndb.com/covers/76/07/9780875427607.jpg,Success,83.0,9.1.2
0-15-625277-5,Delta of Venus: Erotica by Anaïs Nin,"Nin, Anais",Harcourt,,1986,,Paperback,,en,Reissue,Weight: 0.6 Pounds,0.0,https://images.isbndb.com/covers/27/75/9780156252775.jpg,Success,72.0,9.1.2
03 34 42 23 3,,,,,,,,,,,,,,Error,83.0,9.1.2
