PageNumber,Text,ISBNs
1,"Feminist
Bookstore
News fsIvAlzhn
IN THIS ISSUE
u u Y Letters 5
l ty International Booking 3
U Náew s B freosmt stehel l Meridsw es t1 141
U n [V Morals, Politics & Importing Books 9
t l ng Cust omTarry i Tvreiatam en t2? 217
[S On the International Publishing Scene 18
i u Young Adult Gay T haenyd W Leenstb i aTnh a tB-Ao-oWkasy 2 246
UMnivyerssityt e Prresis e Ssec ti on6 129
Fantasy/Science Fiction 62
From Qur Own Presses 67
From the Small Presses 73
On Publishers Row 81
Classified Ads 89
Femina Serial Am F 329738
Volume 9 Number 3-4 January-February 1987 > | (4/7
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:39:34 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
2,"THE FEMINIST BOOKSTORE NEWS is a communications for further information and for information
vehicle for the informal network of feminist regarding mailing list rental. Pre-publication
bookstores. It reaches 200+ feminist and ads are encouraged. Small press publishers are
feminist-inclined booksellers in the US and encouraged to include distribution information.
Canada and a number of feminist booksellers in
England, Europe, Australia, New Zealand, and
Asia. Librarians, women's studies teachers, book BOOKS FOR REVIEW and book announcements should be
reviewers and feminist magazine and book pub- sent as early as possible. Pre-publication
lishers make up the remainder of the subscribers. announcements and orders facilitate early orders.
Feminist publishers are invited to write their
THE FEMINIST BOOKSTORE NEWS is published six own (short!) listings. Small press publishers
times a year in January, March, May, July, Sep- should include bookstore terms and distributors
tember, and November. Letters, articles, news whenever possible to facilitate orders from small
items and announcements should be received the and mid-sized bookstores. If you prefer that
fifteenth of the month preceding publication. booksellers order directly from you, please
Signed articles and letters are the responsibili- include that information as well.
ty of the authors and will not be edited. FBN is
compiled and published by Carol Seajay. AT THE RISK OF SOUNDING LUDICROUS, FBN can only
publicize books that we hear about, so make sure
SUBSCRIPTIONS are $40 per year for six issues. that FBN is on your book review and catalog
$75 for two years. + $6 for Canadian postage, and lists.
$12 for overseas postage per year.
FBN welcomes letters, articles, announcements and
ADVERTISING RATES are $300 per full page, $175 trivia from publishers as well as bookstores. We
p Ce or n h ta rlf a c tpa g e d, i s$ c8 o5 u p ne tr s q u aa vrt ae ir l a bpa lg ee . . DAg ee an dc ly i n a en sd for ad are the left and right hands of the same goal.
reservations and camera-ready copy are the 5th THE FEMINIST BOOKSTORE NEWS, PO Box 882554, San
and 25th respectively of December, February, Francisco CA 94188. 415-431-2093.
April, June, August, and October for publication
the following month. Ad preparation services c 1987 The Feminist Bookstore News
available at nominal fees. Please call or write ISSN 0741-6555
ACH NE DC K M AA IL LL T T OH E F B B NOXE BS O XY O U 88 2 C 5A 54N I am / We are: DD CO ow -n owed n e a dn d a n o dp e rr ua nte d b yb y w ow mo em ne n and men
Librarian I/We are especially interested in:
Name D Writer D Feminist fiction
Address DD PB uo bok lis se hl ele rr D [D L Le es sb bia ian n f nic ot ni -o fn iction
City/Zip D D P Oe tr hi eo rdical D D F We om min enis ’t s t sh tue dor iey s a tn itd le spolitics
D One Year — $40. Check enclosed. D History
D D O Spn ee c i aY l e a Tr r ia— l O$ f45 f. e r Bill us. Is your focus primarily: DD D WH Ge ao ya ml t eh mn e na ’n s d l iw teo rr ak ture
1/2 year — $20. Check enclosed. D SE s BOn D Peace and anti-nuke boks
D Please send 3 sample copy. $4 enclosed. D Gay D Children’s books
D + $13 for international postage. D Alternative/political D Other
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:39:34 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
3,"The Feminist Bookstore News
NOTES 9V COMPUTER TABLE
O ;
o
o
o
o
: Welcome to the university press choice between a sales rep and a larger
issue! This project has been a long time discount, many booksellers would choose
in the making, but the goal was to create the extra discount, and some question the
a statement of the increasing importance value and effectiveness to the bookseller
of university and academic press feminist of sales reps in at least some situa-
publishing and I think this issue accom- tions. This is particularly interesting
plishes that. Let me know how it can be to me giving the number of -publishers
better next year. abroad who think it essential that their
books be published in the US by publish-
The great. news «this -fall was the ers with a sales force. Maybe the point
Northern California Booksellers Associa- is that sales forces have done a better
tion's legal victory in the antitrust job selling themselves to publishers than
sutith aegai n stc Ahvoan'is n illseg.a l diMscouuntcs hto s ermvicinog r beook s ellleersg? al action to
come, of course, as Avon will appeal (if One has to have a moment of wild
they're allowed to), and when NCBA makes hopes that this decision will have a far-
the decisions about filing for an injunc- reaching impact and that it will end the
tion or damages or both. NCBA's suit system of (illegal) discounts that has
against Bantam is still pending. given chains unfair advantage over inde-
The court also found (as if you pendent stores. Though one local booksel-
hadn't noticed) that: ""the extra revenue ler, when asked if she thought the deci-
provided to the chains by the defendant's sion would have this effect said, ""Naw,
preferential discount ($12 million to the they'll just have to bury their deals a
three chains from 1981-1984) helped the little more carefully.... But you still
chains increase the number of their re- have to fight this kind of thing in every
tail store outlets and dramatically in- -arena you can.""
crease the volume of their purchases from
defendant."" (Multiply that by the number In any case, take a few moments out
of publishers giving extra discounts and to celebrate this one if you haven't
services to chains.... and see how many already done so, and to send a check to
branch stores you can open and/or how NCBA for their continuing legal expenses.
many independent stores you can drive out
of business with the kind of unfair com-
petition that extra revenue allows.)
Another interesting note from the
NCBA/Avon trial was the testimony that
sales reps are not essential for book-
stores to buy books, that given the
Volume 9 Number 3 1 January 1987
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:39:34 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
4,"The Feminist Bookstore News
o0o0000
Disagreement, conflicting opinions I woke up to the image of the box where I
and more than one view on the matter.... had been filing items for ""the next
T lh ee a s tla s t t wiss ou e s s up bar jk ee cd t s o : f f t hco em m eten ht is c so n o a ft import- i wss au s e "" f i nla is st h e dsp r ai nn dg baf efte or r e t h I e le J ftu n fe o ri s s Ou se lo.
i cfn o/g ls u f m b no tio t k l ies n, a tWn hd ii s n dc iro sn i sd uf el eri c . t r i e(n S sg e pe o n o S dp u ii nn sa gi no n n ts a o 's o pn a g a es B i tt hu e et m m si t hi n aw vta o es t ht h ao e do i tl sa ost ue e w t aao it t i h un nac no tr d ilp , o tr s hoa it s e m it a sh n suo y es .e of
48 and 59 in Volume 9 #1/2.) This kind of My apology to everyone whose news was
dialogue makes FBN infinitely more valu- delayed. That 80-page wonder, by the way,
a rb eale d. iW n h e Fn B N y , o u p r oh a v ore c co om n,m oe rn t s a n o on th ew r h a pt e r -you s th hou el d c h oa vv ee r ,sa i d r a"" tV hol eu rm e t h9 a N nu m jb ue sr t 1 / ""2 N"" u o mn ber 1"".
spective altogether, please reach for a The things one fails to think of at 2 AM
piece of paper and jot it down. Neither are legion, and are the best reason for
the Final Word on feminist bookstores or not working that late...
the Correct Line will be achieved in our
lifetimes. The more we talk to each other ""Short Raves"" becomes a regular
along the way, the better decisions we column with this issue (that means it's
make as a whole community. Or in other appeared two issues in a row) with ""short
words: Keep those cards and letters -- raves"" about books that matter. It's
and conflicts -- coming. yours for a sentence or a paragraph (or
several) about any book you want to talk
Speaking of which, everyone seems to about to other bookstores: frontlist,
be thinking about the Meese Commission (I backlist, old favorite, back-in-print,
mean the one on pornography, not the one newly discovered wonder, unexpected trea-
on arms-running), but little is being sure or whatever. Write a paragraph, copy
written. Take a minute to jot down your your co-worker's note, clip a blurb from
thoughts/fears/hopes/rants/paranoias on your catalog.... Include your name, city
its long and short-term impact on femi- and bookstore/library/whatever and any-
nist and gay bookstoring and publishing. thing pertinent like publisher, price,
If you want to write the definitive arti- and distribution information if you have
cle, that would be great, but a few sen- it.... I think it couid be one of the
tences or paragraphs for the rest of the best-read columns in the rag. Thanks to
gang to bounce off of would be great. Ann Christopherson of Women & Children
First, for bringing up the idea again.
Deadline for the next issue is Feb-
ruary Il5th unless other arrangements are
made. The 10th Anniversary Issue is now
scheduled for May, partly so that it will
be the ABA issue, and partly because I've
spent the last couple of months writing
The very last morning of pasting up grant proposals rather than FBN articles.
the last issue (and that turned out to be
a 120 hour proposition, Barb Wieser put- Keep the faith and enjoy the issue.
ting in about 40 hours, and me the rest) Carol Seajay
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:39:34 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
5,"I have to say that I'm surprised by import figures of the six stores, compar-
the flurry of ... nervousness from both ing them with those same stores sale
mainstream and a few movement publishers figures for more readily available US
in response to FBN's coverage of books editions of similar titles.... And they
published in England and elsewhere. I decided to publish the book. The import-
think it's worth paying some attention to ing stores sold far more of the domestic
and spending some time naming the con- edition than they ever would have of the
cerns that underlie the nervousness. Each edition they had to order seamail, et
time any part of this movement makes a al., from England. Myself? I think that
quantum leap (and I! do think that at- they bought the book in the end because
tending to international feminist pub- another of the author's books fit well
lishing is a quantum leap), it raises all into another promotion area they were
kinds of issues, requires us to educate selling to and they wanted it. Then they
ourselves and each other in a number of sabotaged the title they Originally want-
ways, shifts balances and creates new ed by publishing it in cloth only, and
understandings. This leap is no excep- never doing a paperback edition.
tion. What's the moral of this story?
Ruth Gottstein raised the important
issue of authors' rights (see her
article) from the perspective of American
authors who sell rights to their work AE
abroad. It would be great to get similar
information from British, Canadian, Aus-
tralian, NZ perspectives as well as from
the perspective of American writers with
books published in England that are then
imported to the states. I think there are
a number of other issues to be discussed I do know that feminist booksellers
as well: how does availability or absence are activists of the first order. If we
of a writer's work in a country affect were content to wait for books to fall
their audience and long-term sales. How into our laps, none of us would be doing
does it affect the rights sale of a book this work. Feminist booksellers have
(say to the US), if copies of the book brought hundreds of titles into print by
have already been exported to the US? I proving and providing a market for them.
once watched a publisher turn down a We know that information is power, and
title with ""There wouldn't be any inter- I'm certain that as feminist booksellers
est in that here,"" then turn around with becoming increasingly knowledgeable and
interest when they were told that there sophisticated about international pub-
IS a market -- that six US feminist book- lishing we will have a strong and posi-
stores were importing the title from tive effect on the international publica-
England -- only to have the title reject- tion and distribution of feminist and
ed at a higher level (""We won't make any lesbian books.
money, the market's already been sated."") The way that will happen is with a
(By six bookstores?! Wow! What power we lot of communication. It's essential that
wield, flooding the bookmarket in six we take the time to educate ourselves and
coastal cities!) Then we provided the one another about all aspects of the
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:39:34 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
6,"The Feminist Bookstore News
My concern isn't so much for the
titles that get published (eventually) in
both or several countries. It's for
titles that are published in one country
and never make it abroad. The ""reasons""
are legion: no one will buy them, perhaps
neither the publisher nor the buyer un-
derstands the market for the book inter-
nationally, selling rights isn't a prior-
ity, selling rights has never been seen
as important (a few US publishers as case
in point), or the book isn't that big a
deal to the publisher -- and they don't
take the time to sell or market it. Or,
no one cares.
Pan Con Dignidad”
(Bread with Dignity.) One of 6 postcards (6 x 9) in our Pueblo de Nicaragua series In any case, it makes no sense that
by batik artist Lisa Kokin. By mail (#18c) 6/$6.25. Specify Pan Con Dignidad or books about Caribbean women published- in
mixed pack. Syracuse Cultural Workers, Box 6367FB, Syracuse, NY 13217 (315) England aren't available to women here.
474-1132. Send 50¢ for our full color catalog of posters, cards, calendars. For good lesbian fiction. NOT. to..make the
WChoalelsalle w eflcoomer. Ne wi nlinef oof rbeamutifual t Wioomenn’s . p o stsersw aviaimlable i n a Fecbrruaory.ss an ocean, when so many of us
have crossed so many oceans in the pur-
suit of identity and community, speaks to
inadequate communication rather than to
issues as they come up. And it's essen- anyone's political goals. And we can
tial that we take time to communicate. If remedy that.
you've just bought/sold rights to a
title, let FBN know. If booksellers know
that a good title is going to be avail-
able domestically, well, most of us are
more than glad to wait to order it the S
eIta s idesote s nw'ta y m. aTkhea t 'as ljouts t o fp r ascetniscea l ittoy o-r- d eVr VND
something seamail and pay that post, (not
to mention paying proforma) for a book
you're going to be able to get locally
that might even get some domestic promo-
tion). At the risk of stating the obvi-
ous, most feminist booksellers have a lot
of respect for the publishers and authors
of lesbian novels. If Sheba Press, Fire- Graphic Courtesy of Booklegger Archives
brand Books and Barbara Buford, with
their combined expertise agree that the On a less global scale, I mentioned
best way to distribute The Threshing to a publisher here that I'd just talked
Floor is for Sheba to do it in England to a bookseller that imports the British
and Firebrand in the US, that will get edition of one of their titles because
general support from the booksellers. the cover on the the US edition is so
Writing and talking about the books as syrupy, a complaint no one had mentioned
they come out, covering the rights sales, to the publisher. Look for the cover to
and their international publications ẹis change on the next printing, and that's
gcoirnge atot ein cr eaaseu ddemieannd c feors th ea bnoodks , tihne cenrd e oaf s mey dbiatoriobek o n scoamlmeusn.ic at io3nC. Ss
January 1987 4 Volume 9 Number 3
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:39:34 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
7,"Giovanni's Room Boudicca Books
345: S. 12th St. NE PO Box 901 Station K
Philadelphia, PA 19107 Toronto, Ontario M4P 2H2
December 3, 1986
Dear Customers & Colleagues,
Dear Carol & FBN, Boudicca Books closed on July I1.
The holiday season is upon us in Färst, l :wantsto thank all `of you
full force already! We have been extreme- for your encouragement and support: for
ly busy here -- that's good, I guess, orders, good books and kind words. The
though I'Il never be a full-fledged capi- wonderful material we have shared these
talist! At any rate, it looks like we may last four years has brought me great
begin work in the building next door this pleasure, and I have also enjoyed meeting
month, though plans have had to be scaled and learning from many of you, by post
down dramatically because of costs. and in person.
I'm passing along these items from The difficulties of the business
Jane Cholmeley of Silver Moon (London) -- have all been financial. It became clear
thought you'd be interested in the latest this spring, after a second full year of
Gay's The Word aftermath. Last issue of operation technically in the black, that
FBN was super, as usual. It never ceases the business was too small and too ""cash-
to amaze me how you can amass all that poor"" to afford to begin to pay me wages.
info. and turn it loose onto the feminist Unfortunately, I am now personally too
b ao no dk w eo nr jld o. y iK nee gp i tt h eup ! c H oo mpe f oy ro tu s (a /r )e w oe fl l your new c ta ios nh ! p So oo r I t ho a v c eo n dt ein ciu de e d w tit hh ao tu t a n r e em nu dn e tr oa-
space. this particular effort is the best alter-
Donna native. I will continue wholesale and direct
Naiad Press Eve Zaremba, New Visions: Feminist Books
PO Box 10543 on Women and Mental Health by Janet
Tallahassee FL 32302 Rogers and Pornography: A Feminist Survey
by Margaret Smith and Barbara Waisberg
Dear FBN, until other arrangements are made with
David Wilk of Inland Book Company their authors.
told a large group of (principally) Once again, my personal thanks and
straight folk at the last New England good wishes to you all!
Booksellers Association Meeting that if Sincerely
he were going into small press publishing Betsy Nuse
he would choose genre publising and the
genre he would pick is Lesbian and gay. [Ed. Note: Boudicca was a feminist OP and
Barbara rare book search service.]
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:39:34 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
8,"The Feminist Bookstore News
Jill Johnston writes:
everybody, not just lesbians.
Other titles of interest:
LEGENDE, by Jeannine Allard, $5.95. A hauntingly
LIFETIME GUARANTEE, by Alice Bloch, $6.95. The beautiful story of lesbian love, set in Brittany a century
personal and powerfully-written chronicle of a woman ago, and based on a legend still told in France.
faced with the impending death of her sister from cancer, WANDERGROUND, by Sally Miller Gearhart, $6.95.
at the same time that she must also face her family’s reac- Here are stories of the hill women, who combine the con-
tion to her as a lesbian. trol of mind and matter with a sensuous adherence to
BETWEEN FRIENDS, by Gillian E. Hanscombe, women's realities and history. A lesbian classic.
$6.95. Through letters written between four women, the CHOICES, by Nancy Toder, $6.95. An ever-popular
author weaves an engrossing story while exploring many novel depicting the joy, passion, conflicts and intensity of
vital lesbian and feminist issues. love between women.
~
Carrier Pigeon.
January 1987 Volume 9 Number 3
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:39:34 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
9,"The Feminist Bookstore News
v To all of you who have offered your
SF Women’s Press Closes support over the years, we thank you. We
couldn't have made it this far without
The Women's Press you.
50 Otis Street Julie Twichell
San Francisco CA 94103 Lisa Mischke
Dear Women, Lee Mosswoo Jodsie Brown
After ten years of printing for the Cheryl DeYoung
community, the Women's Press has decided Bo Brown
to close its doors effective January I, Annie Armstrong
1987.
Our closure is due to a number of
factors, primarily financial. Over the
years we've been committed to serving a
community that's been hardest hit by
Reaganomics. That directly affects us. As
a grassroots organization, we've never
had any capital or surplus to work with.
Our equipment needs upgrading in order to
maintain quality and cost efficiency. In
addition, due to burnout, several of our
longtime members have decided to move on
and it has been difficult finding
replacements.
We've tried to consider every option
for staying open as a women's union print
shop, but that is not possible for us. PO Box 39
Our first preference is to sell the busi- West Tisbury MA 02575
ness to interested women. We've built a
solid reputation in the community, and Dear FBN,
with some financial investment and ener- ""Anon's"" letter about Faith/Life/
gy, there is potential for the Women's Room of One's Own reminded me of an ad I
Press to continue and grow. We are also once conceived but never did anything
considering: 1: selling the equipment and about: ""Did you hear the one about The
lease to progressive people; 2) selling Woman Who Loved The Moon/Who Lived in a
the equipment and lease to a commercial Prologue/Who Owned the Shadows/Who Slept
shop; and 3) selling the equipment piece With Men to Take the War Out of Them?""
by piece and finding someone to take over More later, of course!
the lease. Please help us pass the word Susanna Sturgis
that we are looking for buyers. Interest-
ed people should call us at 415-626-4477 [Ed.'s note: Anon has no doubt added Tret
for an appointment. We'll be returning Fure's record ""Edge of the Heart"" to her
calls throughout January. window....]
Volume 9 Number 3 7 January 1987
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:39:34 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
10,"The Feminist Bookstore News
The Seal Press
3131 Western Ave. Suite 410
WOMEN & WORK | a2
December 16, 1986
Hope this letter finds you well.
Here's our new catalog and notice of our
new address. We have incredible new of-
fice spaces overlooking Puget Sound and
the Olympic mountains. The story of the
various moves is too complicated to go
into; it all had to do with the city and
its bus tunnel. Suffice it to say that
with the help of our lawyers, Real Comet
Press and Seal were compensated. And this
new place is truly soul-inspiring. (Ex-
cept now our furniture looks even, more
dreadful). We all have our own offices, a
warehouse, shipping area, kitchen, compu-
ter room production room library confer-
ence room promo room....and Real Comet
has their own offices too....
Other changes are that Ruth Gundle
(Eighth Mountain Press) has come to work
for us two days a week from Portland and
Evelyn White is starting to read and edit
manuscripts for us by women of color. All
in all (as they told us never to end in
elementary composition), it looks like
1987 is going to be a good year.
Edited by Maureen R. Michelson Hope your new office is working out.
and Michael Dressler The last issue was a little masterpiece
of information for booksellers, I
thought. Concise, witty and wide-ranging.
Women & Work, Photographs and Personal Keep up the good work. t
Writings is a photographic art book as Barbara Wilson
well as a personal journal by 85 dif-
ferent women exploring the great diver-
sity in their work and lives. Dear FBN,
Tea Rose Press (East Lansing MI) is
no longer in business. We thank all the
NewSage Press women who hav deu r idngo n oeur briuses iannde s dse m wisei tfhor tuhseir
P.O. Box 41029 work, their good will, their criticism
Pasadena, CA 91104 and their patience.
(818) 791-4122 Sincerely,
Marilyn Frye
January 1987 8 Volume 9 Number 3
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:39:34 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
