ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
0-941300-03-X,Fear or Freedom: A Women's Options in Social Survival and Physical Defense,"Smith, Susan E.",Mother Courage Pr,212.0,1987,,Paperback,,en,,"Height: 11.25 Inches, Length: 8.75 Inches, Weight: 1.4 Pounds, Width: 0.5 Inches",0.0,https://images.isbndb.com/covers/00/32/9780941300032.jpg,Success,6.0,11.6
0-8741-7127-x,Western Trails: A Collection of Short Stories by Mary Austin (Western Literature Series),,Univ of Nevada Pr,309.0,1987,Literary Collections,Hardcover,,en,First Edition,"Height: 9.5 Inches, Length: 6.5 Inches, Weight: 1.4 Pounds, Width: 1 Inches",1.99,https://images.isbndb.com/covers/12/73/9780874171273.jpg,Success,83.0,11.6
,,,,,,,,,,,,,,Error,,11.6
0-939165-06-6,The New Americans,,NewSage Press,176.0,1988-10,"Immigrants--Social life and customs, Immigrants--California, Southern--Social life and customs, Social life and customs, F867 .S83 1988, 979.4/9053",Paperback,Ulli Steltzer ; Introduction By Peter Marin.,en,,175 p. : ill. ; 30 cm.,2.49,https://images.isbndb.com/covers/50/63/9780939165063.jpg,Success,56.0,11.6
0-06-255494-8,"Old Patterns, New Truths: Beyond the Adult Child Syndrome","Larsen, Earnie",HarperCollins,104.0,1988,,Paperback,,en,,"Height: 8.11 Inches, Length: 6.11 Inches, Weight: 0.42 Pounds, Width: 1.11 Inches",9.95,https://images.isbndb.com/covers/49/49/9780062554949.jpg,Success,32.0,11.6
0-89594-350-6,The Zombie Pit: Stories,"D'Allesandro, Sam",Crossing Pr,100.0,1989,,Paperback,,en,First Edition,Weight: 0.3 Pounds,6.95,https://images.isbndb.com/covers/35/07/9780895943507.jpg,Success,68.0,11.6
0-9616572-0-0,Leaving Texas: A Memoir,Carolyn Weather,Clothespin Fever Pr,,1986,,Paperback,,en,2,,6.95,https://images.isbndb.com/covers/72/08/9780961657208.jpg,Success,24.0,11.6
0-89594-334-4,,,,,,,,,,,,,,Error,81.0,11.6
0-941121-00-3,Three Glasses of Wine Have Been Removed from This Story: A Novel,"Michener, Marian",Inland Womensource,147.0,1989,"Women alcoholics, Women alcoholics--Fiction, Lesbians, Lesbians--Fiction, PS3563.I344 T47 1988",Paperback,Marian Michener.,en,First Edition,147 p. ; 22 cm.,0.0,https://images.isbndb.com/covers/10/02/9780941121002.jpg,Success,23.0,11.6
0-87477-505-1,Uniting Heaven and Earth: A Jungian and Taoist Exploration of the Masculine and Feminine in Human Consciousness,"Colegrave, Sukie",TarcherPerigee,244.0,1989-05-01,,Paperback,,en,1,"Height: 8.2 Inches, Length: 0.8 Inches, Weight: 0.7 Pounds, Width: 5.5 Inches",9.95,https://images.isbndb.com/covers/50/51/9780874775051.jpg,Success,94.0,11.6
