ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
,,,,,,,,,,,,,,Error,,21.5
0-553-26914-3,A History of Women in America: From Founding Mothers to Feminists-How Women Shaped the Life and Culture of America,"Hymowitz, Carol, Weissman, Michaele",Bantam,416.0,1984-09-01,,Mass Market Paperback,"<p><p>from Colonial To Modern-day Times This Narrative History, Incorporating First-person Accounts, Traces The Development Of Women's Roles In America. Against The Backdrop Of Major Historical Events And Movements, The Authors Examine The Issues That Changed The Roles And Lives Of Women In Our Society. Includes Photographs.</p>",en,Reissue,"Height: 6.87 Inches, Length: 4.12 Inches, Weight: 0.51147244784 Pounds, Width: 0.96 Inches",8.99,https://images.isbndb.com/covers/91/47/9780553269147.jpg,Success,44.0,21.5
0-8070-8546-4,LOST WOODS - The Discovered Writing of Rachel Carson,"Carson, Rachel",Beacon Pr,267.0,1998,,Hardcover,,en,No Statement of Printing,"Height: 8.5 Inches, Length: 5.75 Inches, Weight: 1.1 Pounds, Width: 1 Inches",24.0,https://images.isbndb.com/covers/54/62/9780807085462.jpg,Success,115.0,21.5
0-06-095313-6,What to Read: The Essential Guide for Reading Group Members and Other Book Lovers,"Pearlman, Mickey",Harper Paperbacks,368.0,1999-04-01,"Best Books, Group Reading",Paperback,"In This Revised Edition Of The Classic Guide For Book Clubs, Mickey Pearlman'editor, Lecturer, And Reading Group Expert—offers Annotated, Innovative Book Lists For Every Dedicated Reader. Whether You've Been In A Reading Group For Years, Are Interested In Forming Or Finding One, Or You're A Book Lover Looking For New Ideas, <i>what To Read</i> Is An Indispensable Resource, Listing Hundreds Of Contemporary And Classic Books Organized By Subject. By Updating Every List And Adding Many New Ones, Pearlman Now Offers Pages And Pages Of Fresh Ideas. Among The Lists That Have Been Revised Are: <p>stop Kidding Around (books For Children And Young Adults)</p><p>on The Beach</p><p>let's Talk About <i>me</i> (memoirs By Men And Women)</p><p>new Lists Include:</p><p>what An Adventure!</p><p>think About Health</p><p>who's On First?</p><p>keep It Short (short Story Collection) <i>what To Read</i> Also Includes Tips On Creating And Maintaining Your Own Reading Group, Organizing An E-mail Book Club, Or Joining On On-line. See Sections Called How To Read, When To Read, And Where To Read For More Help!</p><p>author Biography: Mickey Pearlman, Ph.d., Is An Editor And Lecturer. She Is The Editor Of <i>a Few Thousand Words About Love, A Place Called Home,</i> And <i>between Friends;</i> The Author Of <i>listen To Their Voices;</i> And The Co-author Of <i>a Voice Of One's Own.</i></p>",en,"Revised, Updated","Height: 8 Inches, Length: 5.3125 Inches, Weight: 0.6 Pounds, Width: 0.836364 Inches",14.0,https://images.isbndb.com/covers/31/33/9780060953133.jpg,Success,118.0,21.5
0-8070-0943-1,Restoring Hope: Conversations on the Future of Black America,Cornel West,Beacon Press,248.0,1999-01-27,,Paperback,"<p><P>'Cornel West is one of the most authentic, brilliant, prophetic, and healing voices in America today' &#151;Marian Wright Edelman<P>Nine of America's most influential artists, scholars, and public figures-Maya Angelou, Bill Bradley, Harry Belafonte, Patricia Williams, Wynton Marsalis, Charlayne Hunter-Gault, James Washington, James Forbes, and Haki Madhubuti-talk with Cornel West about their political awareness, art and politics, and the possibility of hope among African-Americans today.</p><h3>Publishers Weekly</h3><p>This book transcribes eight meandering conversations on race conducted by West (Race Matters) with such prominent people as Harry Belafonte, poet/publisher Haki Madhubuti and Wynton Marsalis. Several were held publicly at the Schomburg Center in Harlem, and many range far from the ostensible topic of race. Among the more substantive points here: ex-senator Bill Bradley calls for properly funding the Equal Employment Opportunity Commission; law professor Patricia Williams suggests that not talking about race leads to stress and mental illness in blacks; Maya Angelou urges listeners to ""use it all,"" to gain inspiration from any thinker. However, the speechifying West tends to applaud rather than challenge his interviewees, and this book does not fully engage many important issuesAfrocentrism, affirmative action, unwed motherhood, tensions between black men and black womenthat will likely affect the future of black America. This title is the first project of the Obsidian Society, a nonprofit organization that helps African American arts projects. Sealey, who edited these tapes, is founder of the Obsidian Society and a doctoral student in American history at the City University of New York. Author tour. (Oct.)</p>",en,1,"Height: 9 Inches, Length: 6 Inches, Weight: 0.73193470984 Pounds, Width: 0.56 Inches",20.0,https://images.isbndb.com/covers/94/37/9780807009437.jpg,Success,115.0,21.5
8- 0-835607-5,,,,,,,,,,,,,,Error,56.0,21.5
0-525-45643-0,Ten Queens: Portraits of Women of Power,"Meltzer, Milton",Dutton Juvenile,144.0,1998-05-01,,Hardcover,"<p>From the courage and beauty of Esther (5th century B.C.) to the fierce battle tactics of Boudicca (A.D. c. 62) to the reforming spirit of Catherine the Great (1729-1796), here are ten essays about the personal and political natures of ten queens by an author who has been called ""arguably the best writer of social history for children and adolescents ever."" Most of these queens were, by today's standards, astonishingly young. Some were schooled to rule, others not. But all were ambitious, passionate, and determined to hold power. And all, in their successes and failures, ideals and compromises, assumptions and privileges, present interesting contrasts with the lives of modern women. <i>Ten Queens</i> was celebrated as a Booklist Editors' Choice, a Notable Children's Trade Book in the Field of Social Studies, an International Reading Association's Teachers' Choice, and a Bank Street College Best Book, among many other citations.</p>",en,First Edition,"Height: 11.26 Inches, Length: 9.46 Inches, Weight: 1.99959271634 Pounds, Width: 0.67 Inches",24.99,https://images.isbndb.com/covers/64/38/9780525456438.jpg,Success,32.0,21.5
0-312-86306-3,White Chocolate,"Bowman, Elizabeth Atkins",Forge,349.0,1998,"Women journalists, Women journalists--Michigan--Fiction, Racially mixed people, Racially mixed people--Fiction, White supremacy movements, White supremacy movements--Michigan--Fiction, Women journalists--Fiction, White supremacy movements--Fiction, PS3552.O8757114 W48 1998, 813/.54",Hardcover,"In Detroit, Tv Reporter Taylor James, A White-looking Mulatta Goes Undercover To Unmask White Supremacists. Death Threats Follow, As Do Romantic Complications With Two Men, The Station Owner Who Is Her Fiance And An Ex-boyfriend. Elizabeth Atkins Bowman. A Tom Doherty Associates Book.",en,First Edition,"Height: 8.75 Inches, Length: 6.25 Inches, Width: 1.25 Inches",0.0,https://images.isbndb.com/covers/30/67/9780312863067.jpg,Success,75.0,21.5
0-385-47361-3,Divided Sisters,"Midge Wilson, Russell, Kathy",Doubleday,340.0,1995-12-01,"Women, White--Social conditions, Women, White--United States--Social conditions, African American women--Social conditions, Racism, Racism--United States, Race relations, E185.86 .W555 1996, 305.4/0973",Hardcover,"Since the advent of the women's movement, women have often expressed the belief that black and white women in society have a great many common concerns, and are in fact natural allies. The reality is more sobering. In <i>Divided Sisters</i>, Midge Wilson and Kathy Russell, the acclaimed authors of <i>The Color Complex</i>, tackle the nature of relationships between black and white women, and explore how they do, and don't, get along.<br>
<br>
Based on scores of interviews, cultural literature and extensive research, <i>Divided Sisters</i> examines relations between black and white women as children, as adults, at school and in college, at work and at home. Truthfully as adults relatively few women feel they are close friends with a woman from another racial background. The book exposes many of the challenges and obstacles that complicate interracial relationships in a society with a long history of racial inequality. What Midge and Kathy discover is that the concerns and frustrations of black and white women are often different, and that these differences are frequently not communicated. For example, women thrown together for the first time in college are often ill-prepared to handle cultural differences in dress, customs, attitudes and background. In addition, peer pressure, economic and historical inequality, real or perceived racism, and fear, play a role in dividing rather than uniting women.<br>
<br>
<i>Divided Sisters</i> is a landmark book that will open readers' eyes to the realities and challenges of bridging what is too frequently a cultural divide.""",en,First Edition,"Height: 9.75 Inches, Length: 6.5 Inches, Weight: 1.35 Pounds, Width: 1.25 Inches",23.95,https://images.isbndb.com/covers/36/13/9780385473613.jpg,Success,56.0,21.5
0-684-85204-7,Spending: A Novel,"Gordon, Mary",Scribner,301.0,1999-03-11,,Paperback,"<p>Monica Szabo, a middle-aged, moderately successful painter, encounters B, a wealthy commodities broker who collects her work. B volunteers to be her muse, offering her everything that male artists have always had to produce great art&#58; time, space, money, and sex.<p>Passionate, provocative, and highly engaging, Spending displays Gordon's maverick feminism, her extraordinary wit, and her unique perspectives on art, money, men, sex -- and the desires of women.</p><h3>Entertainment Weekly</h3><p>...[I]nverts the traditional male/female painter/muse dynamic.</p>",en,First Edition,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.85759819918 Pounds, Width: 0.8 Inches",20.95,https://images.isbndb.com/covers/20/41/9780684852041.jpg,Success,127.0,21.5
