ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status
1-880913-39-9,Everyday Edens: Experiences Of Personal Sacred Space,Phyllis Cole-Dai,,,1999,,,,en,,,0.00,https://images.isbndb.com/covers/33/90/9781880913390.jpg,Success
0-312-19952-X,Queer Astrology for Men,"Dearman, Jill",St. Martin's Griffin,240,1998-11-15,"Astrology, Gay & Lesbian Life, Love & Romance",Paperback,"<p>A hilariously and startlingly insightful astrology guide for gay men.</p><p>Jill Dearman is a breakthrough astrologer for our time. No one has approached the stars with her sass and class ever before! Her guide to astrology for gay men is lively, revealing- and naughty!</p><p>Sections include: in life, in bed, how to seduce him, doing him and dating him, how to last over the long haul, how to get rid of him, and the three faces of each sign.</p><p>And a complete compatibility profile of each astrological combination.</p>",en,First Edition,"Height: 8.38 Inches, Length: 5.42 Inches, Weight: 0.59965735264 Pounds, Width: 0.6 Inches",0.00,https://images.isbndb.com/covers/95/24/9780312199524.jpg,Success
1-889531-02-2,Food No Matter What! Stories & Recipes for Perfect Dining in an Imperfect World,"Szabo-Cohen, Laura, Kasdin, Karin",Sibyl Pubns,224,1999-03-01,,Paperback,,en,,"Height: 9 Inches, Length: 7.5 Inches, Weight: 0.95 Pounds, Width: 0.5 Inches",14.95,https://images.isbndb.com/covers/10/21/9781889531021.jpg,Success
0-345-42230-9,Flowering of the Soul,"Vardey, Lucinda",Wellspring/Ballantine,432,1999-03-16,"Prayers, Women--Prayers and devotions--English, BL625.7 .F56 1999, 291.4/33",Hardcover,"<p>In a book overflowing with grace, Lucinda Vardey—who collaborated with Mother Teresa to create her international bestseller <i>A Simple Path</i>—gathers an incandescent, unprecedented selection of nearly a thousand prayers and thoughts about prayer, set down through the ages by women of many faiths.</p>
<p>Queen Esther, St. Teresa of Avila, Meera, Simone Weil, Emily Dickinson, Annie Dillard, Julian of Norwich, Sun Bu-er, Marianne Williamson, Marion Woodman, and hundreds of others are among the saints, spiritual teachers, poets, healers, and anonymous women whose passionate words generate a dazzling arc of love between women and their most profound beliefs.</p>
<p>In prayers of praise and thanksgiving; calls for mercy and courage in the face of death; lives of surrender and holy love; in celebrations of the soul's unfolding, readers will find their burdens lightened, their paths illuminated, and their hearts inspired.</p>
<p>This collection is unparalleled. In itself, it defines for the first time what women's prayer actually is. And within these pages, readers will find spiritual sustenance to last a lifetime.</p>",en,1,"Height: 8.75 Inches, Length: 5.5 Inches, Weight: 1.7 Pounds, Width: 1.25 Inches",24.95,https://images.isbndb.com/covers/23/09/9780345422309.jpg,Success
0-7656-0354-3,Sandakan Brothel No.8: Journey into the History of Lower-class Japanese Women,"Yamazaki, Tomoko",Routledge,262,1998-09-30,,Paperback,"Chapter 1 A Prologue To The History Of Women At The Lowest Level Of Society 3 -- Chapter 2 A Chance Encounter--my First Trip To Amakusa 18 -- Chapter 3 My Attempts At A Second Trip 29 -- Chapter 4 Life With Osaki 32 -- Chapter 5 Osaki's Story--the Life Of An Overseas Prostitute 45 -- Chapter 6 Many More Voiceless Voices 108 -- Chapter 7 Ofumi's Life 116 -- Chapter 8 Oshimo's Grave 134 -- Chapter 9 Okuni's Birthplace 146 -- Chapter 10 The Home Of Gagnon Sana 162 -- Chapter 11 Farewell, Amakusa 171 -- Chapter 12 Epilogue--karayuki-san And Modern Japan 181. Yamazaki Tomoko ; Translated By Karen Colligan-taylor. An East Gate Book. Includes Bibliographical References And Index.",en,1,"Height: 9 Inches, Length: 6 Inches, Weight: 0.8157103694 Pounds, Width: 0.59 Inches",48.95,https://images.isbndb.com/covers/35/48/9780765603548.jpg,Success
1-55861-211-4,Women's Studies Quarterly (99:1-2): Teaching About Violence Against Women: International Perspectives,Mona Eliasson,The Feminist Press at CUNY,256,1999-06-01,"Social Sciences, Women's Studies",Paperback,,en,,"Height: 8.75 Inches, Length: 5.75 Inches, Weight: 0.6724098991 Pounds, Width: 0.75 Inches",18,https://images.isbndb.com/covers/21/12/9781558612112.jpg,Success
0-231-10543-6,Body Talk,"Zita, Jacquelyn",Columbia University Press,298,1998-03-15,"Human body--Social aspects, Feminist theory, Sex role, HM110 .Z58 1998, 305.3",Paperback,Jacquelyn N. Zita. Includes Bibliographical References (p. [267]-290) And Index.,en,,"Height: 8.92 Inches, Length: 5.98 Inches, Weight: 1 Pounds, Width: 0.82 Inches",27,https://images.isbndb.com/covers/54/39/9780231105439.jpg,Success
0-684-85764-2,Disco Bloodbath: A Fabulous But True Tale of Murder in Clubland,"St. James, James",Simon & Schuster,286,1999-08-11,"St. James, James, Drug addicts, Drug addicts--New York (State)--New York--Biography, Drug abuse and crime, Drug abuse and crime--New York (State)--New York--Case studies, Drug abuse, Drug abuse--New York (State)--New York--Case studies, Murder, Murder--New York (State)--New York--Case studies, Social conditions, Special K, HV5805.S7 A3 1999, 364.15/23/097471",Hardcover,"<br>
<b>Murder Was Never So Much Fun!</b><br>
<p>When Disco Bloodbath was first published, it created a storm of controversy for its startlingly vivid, strikingly fresh, and outrageously funny depiction of the hedonistic world of the New York City club kids, for whom nothing was too outré -- including murder. Nominated for the Edgar Award for best true-crime book of the year, it also marked the debut of an audaciously talented writer, James St. James, who himself had been a club kid and close friend and confidant of Michael Alig, the young man convicted of killing the drug dealer known as Angel.</p>
<p>Now the book has been brought to the screen as <i>Party Monster,</i> with Macaulay Culkin playing killer Michael Alig and Seth Green as author/celebutante James St. James.</p>",en,First Edition,"Height: 9.75 Inches, Length: 6.25 Inches, Weight: 1.2 Pounds, Width: 1.25 Inches",23,https://images.isbndb.com/covers/76/40/9780684857640.jpg,Success
1-57733-009-9,"You're Not Old Until You're Ninety: Best to Be Prepared, However","Lattimer, Rebecca","Blue Dolphin Publishing, Inc",212,2007-07-25,,Paperback,"<p>rebecca Latimer Shares Her Secrets In <i>you're Not Old Until You're Ninety</i> For Vigorously Aging: Maintain A Balance In All Things, Develop Good Friendships, Stay Interested In Learning New Things, And Listen To Your Intuition And To Your Body. These Pearls Of Wisdom Were Gathered Over A Lifetime, Day By Day, Leading To The Discovery Of The Key Thoughts And Attitudes One Needs To Live Life To Its Fullest. It's Not Arriving At The Destination That's Exciting, But The Journey Itself.<p>i Am Sure Of One Thing, That Meditation Is The Keystone To Ending Up In Pretty Good Shape When You Get To Be This Age, Says Rebecca, Age 92. The Second Most Important Thing Is To 'wake Up.' Most Of Us Live Our Entire Lives Without Ever Really Waking Up. We Just Float Along On The Surface Of Life, Pushed By The Daily Demands On Us. Other Suggestions Rebecca Offers For Staying Youthful Are To Not Cling To Old Habits, Rules, Or Behaviors, To Keep In Circulation, Volunteer, Use The Computer To Network, And If You Are Forced To Be Quiet, Reach Out With The Phone Or Write Letters. <p><i>a Refreshingly Candid Account Of A Life-long Journey Along The High Road Of Spiritual Adventure By A Remarkable Woman. If You Are Planning To Remain Fully Alive Until You Die, I Recommend You Read</i> You're Not Old Until You're Ninety. <b>sam Keen</b>, <i>fire In The Belly</i></p> <h3>barbara Schroder</h3> <p>just As Grandma Moses Didn't Begin Her Famous Painting Career Until She Was Well Into Her 70s, And Her Family Was Out On Its Own, Rebecca Latimer Waited Until She Was 92 To Publisher Her Latest Book. <i>you're Not Old Until You're Ninety - Best To Be Prepared, However</i> Is A How-to Manual For A Worthwhile Old-age Rather Than One Spent In A Rocking Chair, And Sleeping The Days Away. She Had Earlier Written A Children's Book And Articles In Various Magazines. -- <i>senior World Online</i></p>",en,First Edition,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.63 Pounds, Width: 0.48 Inches",14.95,https://images.isbndb.com/covers/00/97/9781577330097.jpg,Success
0-688-15863-3,We Remember: Women Born at the Turn of the Century Tell the Stories of Their Lives in Words and Pictures,Jeanne Marie Laskas,Hearst Books,144,1899-12-31,,Hardcover,Contains Interviews With Twenty-five Women Who Were Born At The Dawn Of The Twentieth Century In Which They Tell About The Triumphs And Frustrations Of Being A Woman In The 1900s. Includes Photographs. Jeanne Marie Laskas ; Photographs By Lynn Johnson. A Good Housekeeping Tribute--spine.,en,,"Height: 11 Inches, Length: 8.75 Inches, Weight: 1.6 Pounds, Width: 0.75 Inches",25,https://images.isbndb.com/covers/86/37/9780688158637.jpg,Success
