ISBN,Title,Author,Publisher,Pages,Date Published,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,volume,issue
0-87286-332-8,Close to the Machine: Technophilia and Its Discontents,"Ullman, Ellen",City Lights Publishers,189,1/1/2001,Paperback,"Ullman Tries To Balance Her Life, Close To The Machine As A Computer Programmer With The Social And Philosophical Repercussions Of Her Work. Space Is Numeric -- Transactions -- Sushi -- Real Estate -- Software And Suburbia -- New, Old, And Middle Age -- Virtuality -- Money -- The Passionate Engineer -- Driving. By Ellen Ullman.",en,(2nd),"Height: 8 Inches, Length: 5 Inches, Weight: 0.50044933474 Pounds, Width: 0.6 Inches",12.95,https://images.isbndb.com/covers/33/23/9780872863323.jpg,Success,31,22,1
1-880913-16-X,Raising Peaceful Children In A Violent World,"Cecil, Nancy Lee, Roberts, Patricia L.",Publishing/Editing Network,253,1997,Paperback,,en,,"Height: 10.25 Inches, Length: 7.25 Inches, Weight: 1.24 Pounds, Width: 0.75 Inches",16.95,https://images.isbndb.com/covers/31/61/9781880913161.jpg,Success,42,22,1
1-55074-113-6,The Science Book for Girls: and Other Intelligent Beings (Books for Girls),"Wyatt, Valerie",Kids Can Press,80,8/1/1993,Paperback,"<p>Studies show that many girls' interest in science falls off during the preteen years. In an effort to keep girls tuned in to science, this book demonstrates that science is fun — and that it is for girls. In this title in the Books for Girls series, lively text and illustrations help kids investigate what makes their toast turn brown in the morning and why their stomachs rumble. They'll find out how to collect and compare snowflakes, discover how genetics relates to family traits and much more. With brain teasers, puzzles and experiments in astronomy, physics, zoology, botany, geology and chemistry, The Science Book for Girls will help build science skills and confidence, as well as introduce readers to women who have exciting careers in science. With a distinctly female slant, this stimulating book gives girls a positive and non-threatening look at science and science careers — although there's nothing stopping ""other intelligent beings"" from taking a peek, too!</p>",en,,"Height: 9.5 Inches, Length: 8.5 Inches, Weight: 0.5 Pounds, Width: 0.25 Inches",1.99,https://images.isbndb.com/covers/11/31/9781550741131.jpg,Success,42,22,1
0-670-87367-5,Monkey Bridge,"Cao, Lan",Viking Adult,260,7/1/1997,Hardcover,"A Memoir Of A Vietnamese Refugee. The Narrator, Mai Nguyen, Was 13 When A Helicopter Lifted Her From Saigon. Scenes Of War Written In Lyrical Oriental Style Alternate With Reflections On America, Such As The Obsession With Winning And The Usurping Of Parental Authority By Teachers. By The Author Of Everything You Need To Know About Asian Americans. Lan Cao.",en,,"Height: 9.25 Inches, Length: 5.75 Inches, Weight: 0.95 Pounds, Width: 1.5 Inches",23.95,https://images.isbndb.com/covers/36/78/9780670873678.jpg,Success,42,22,1
0-452-27621-7,Storming Heaven's Gate: An Anthology of Spiritual Writings by Women,"Vecchione, Patricia, Sumrall, Amber Coverdale",Plume,496,7/1/1997,Paperback,"In This Powerful Collection Of Modern Prose And Poetry, Women From A Wide Spectrum Of Races And Religions Embrace Their Spiritual Heritage, Or Create One ... But All Are Searching For The Sacred In Their Lives.--back Cover. Invocation : Eagle Poem / Joy Harjo -- Sources / Adrienne Rich, Brooke Medicine Eagle, Madeleine L'engle, Mary Karr, Naomi Shihab Nye, Claudia Sternbach, Sarah Rabkin, Judith Harris, Becky Birtha, Robin Podolsky, Pat Mora -- Heart Of Compassion / Anita Endrezze, Joanna Macy, Brenda Miller, Lisa Vice, Sally Miller Gearhart, Charlotte Z©œe Walker, Priscilla Lee, Helena Mar©Ưa Viramontes, Nancy Mairs, Lucille Clifton -- Sacred Place / Laurine Ark, Anita Wilkins, Robin Drury, Melody Ermachild Chavis, Terry Tempest Williams, Amber Coverdale Sumrall, Kathleen Norris, Sue Bender, Daa'iyah Taha, Sandy Boucher -- Leaps Of Faith / Carol Staudacher, Ellen Cassedy, Barbara Kingsolver, Akasha (gloria) Hull, Daniela Kuper, Elizabeth Cunningham, Alison Luterman, Robbie Clipper Sethi, Jean Walton Wolff, Gene Zieger, Linda Gregg -- Spirit Breaks Into Song / Janice Marikitani, Flor Fernandez, Chitra Banerjee Divakaruni, Agate Nesaule, Linda Hogan, Deborah Shouse, June Hudson, Marilyn Chin, Deena Metzger -- The Long Journey Home / Riane Eisler, Dorothy Lazard, Ellen Grabiner, Vicky Phillips, Jane Kenyon, Martha Gies, Patrice Vecchione, Carole Maso -- Invocation : Still I Rise / Maya Angelou. Edited By Amber Coverdale Sumrall And Patrice Vecchione.",en,First Plume Printed Edition,"Height: 8.25 Inches, Length: 5.5 Inches, Weight: 0.8 Pounds, Width: 1 Inches",14.95,https://images.isbndb.com/covers/62/15/9780452276215.jpg,Success,42,22,1
1-55164-058-9,Women Pirates and the Politics of the Jolly Roger,"Klausmann, Ulrike, Meinzerin, Marion",Black Rose Books,280,5/1/1997,Paperback,"Written With Passion And Humor, But Without Romanticizing,or Ignoring The Unsavory Side, A Book That Turns History On Its Head.",en,First Canadian,"Height: 8.25 Inches, Length: 5.25 Inches, Weight: 0.72 Pounds, Width: 0.59 Inches",23.99,https://images.isbndb.com/covers/05/87/9781551640587.jpg,Success,43,22,1
0-15-100263-0,The Magician's Assistant,"Patchett, Ann",Harcourt,368,10/15/1997,Hardcover,"Just Before Dying, Magician Parsifal Of Los Angeles Married His Assistant, Sabine, Who Knew Nothing Of His Private Life, Veiled In Mystery. Not Wanting To Be An Ignorant Widow, Sabine Sets Out To Learn Who Parsifal Was Outside The World Of Illusion. Ann Patchett.",en,First Edition,"Height: 9.75 Inches, Length: 6 Inches, Weight: 1.35 Pounds, Width: 1.25 Inches",33,https://images.isbndb.com/covers/26/34/9780151002634.jpg,Success,43,22,1
0-520-20596-0,Our Guys: The Glen Ridge Rape and the Secret Life of the Perfect Suburb (Volume 4) (Men and Masculinity),"Lefkowitz, Bernard",University of California Press,428,7/11/1997,Hardcover,"<p>It was a crime that captured national attention.<br>
In the idyllic suburb of Glen Ridge, New Jersey, four of the town's most popular high school athletes were accused of raping a retarded young woman while nine of their teammates watched. Everyone was riveted by the question: What went wrong in this seemingly flawless American town?<br>
In search of the answer, Bernard Lefkowitz takes the reader behind Glen Ridge's manicured facade into the shadowy basement that was the scene of the rape, into the mansions on ""Millionaire's Row,"" into the All-American high school, and finally into the courtroom where justice itself was on trial.<br>
Lefkowitz's sweeping narrative, informed by more than 200 interviews and six years of research, recreates a murky adolescent world that parents didn't—or wouldn't—see: a high school dominated by a band of predatory athletes; a teenage culture where girls were frequently abused and humiliated at sybaritic and destructive parties, and a town that continued to embrace its celebrity athletes—despite the havoc they created—as ""our guys."" But that was not only true of Glen Ridge; Lefkowitz found that the unqualified adulation the athletes received in their town was echoed in communities throughout the nation. Glen Ridge was not an aberration. The clash of cultures and values that divided Glen Ridge, Lefkowitz writes, still divides the country.<br>
Parents, teachers, and anyone concerned with how children are raised, how their characters are formed, how boys and girls learn to treat each other, will want to read this important book.</p>",en,First Edition,"Height: 9 Inches, Length: 6 Inches, Weight: 1.90038469844 Pounds, Width: 1.6 Inches",57.95,https://images.isbndb.com/covers/59/63/9780520205963.jpg,Success,44,22,1
0-679-45731-3,The God of Small Things. A Novel.,"Roy, Arundhati",Random House of Canada,321,1997,Paperback,,fr,First Edition,Weight: 1.15 Pounds,23,https://images.isbndb.com/covers/73/12/9780679457312.jpg,Success,45,22,1
0-9644196-4-5,LISTENING FOR CACTUS,"Last, First",Sherman Asher Publishing,100,2/25/2015,Paperback,,en,F First Edition,"Height: 9 Inches, Length: 6 Inches, Width: 1 Inches",14,https://images.isbndb.com/covers/96/43/9780964419643.jpg,Success,47,22,1
