PageNumber,Text,ISBNs
1,"Feminist Bookstore News
Source: Reveal Digital, 09-01-1999
Contributed by: Laurie Toby Edison; Tee A. Corinne; Nikki Baker; Kathleen DeBold; Barbara
Johnson; Deborah Edel; Nancy K. Bereano; Roberto Friedman; Jewelle Gomez; Karla Jay;
Judith Katz; Lee Lynch; Mabel Maney; Donna J. McBride; Barbara Grier; Susan Raffo;
Ruthann Robson; Eric Rofes; Carol Seajay; Beth Dingman; Jacqueline Dumas; Sharon
Collinswood; Teri Mae Rutledge; Michael F. Hoynes; Tee A. Corinne; Laura Quilter; Barb
Smalley; Gretchen Dennis; Laurie Fuchs; Matt Nicholson; Cara Valenti; Linda Bubon; Mev
Miller
Stable URL: https://www.jstor.org/stable/community.28036391
Licenses: Creative Commons: Attribution-NonCommercial
JSTOR is a not-for-profit service that helps scholars, researchers, and students discover, use, and build upon a wide
range of content in a trusted digital archive. We use information technology and tools to increase productivity and
facilitate new forms of scholarship. For more information about JSTOR, please contact support@jstor.org.
This item is openly available as part of an Open JSTOR Collection.
For terms of use, please refer to our Terms & Conditions at https://about.jstor.org/terms/#whats-in-jstor
Reveal Digital is collaborating with JSTOR to digitize, preserve and extend access to Reveal Digital
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Tue, 26 Mar 2024 23:28:17 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
2,"Feminist
Bookstore
News IAs
uSN vA n e
N `e!
Fall 1999
Volume 22 Numbers 3 & 4
Ferm ına SRo Am F fA ZF i 9w7 8 L
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Tue, 26 Mar 2024 23:28:17 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
3,"Z PRESS GANG
Z
(A PUBLISHING
ALLIANCE
Working together to bring you more of the best in independent publishing.
Polestar Book Publishers Press Gang Publishers
Between Gardens Sojourners and Sundogs
Observations on Gardening, First Nations Fiction
Friendship and Disability by Lee Maracle
by Carol Graham Chudley & Dorothy Field
“.. fierce intelligence, hard-fought wisdom
A vibrant correspondence between and witty observances of life as
friends about life and gardens growing. ; a Native woman.” — Joy Harjo
isbn 1-896095-55-0 ~ 819.95 US -~ paper isbn 0-88974-061-5 ~ $16.95 US ~ paper
full-colour artwork throughout : WWW.pressgang.bc.ca
Distributed to the trade in the USA by the LPC Group/!nBook.
To order call 1-800-243-0138 or 1-800-626-4330. Fax orders to 1-800-334-3892.
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Tue, 26 Mar 2024 23:28:17 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms","['1-896095-55-0', '0-88974-061-5']"
4,"Feminist Bookstore News
It’s difficult being a bimonthly in the era of elec- ers — like to hold a magazine in their hands. They like
tronic communications — the gap between when the to flip through it and scan for what interests them at
news happens and when you read about it seems to the moment. Every time we broach the subject of
grow longer with every issue. e-publishing, we're inundated with wonderful tales
Sometimes timeliness matters: Booksellers of how FBN is the perfect size and format to read in a
needed to know about Ingram’s attempt to sell itself bubble bath, on the subway, the train, a plane, or at
to Barnes & Noble right away so they could decide the beach. We hear how important it is to be able to
where they wanted to spend (or not spend) their mark it up, circle books to order, make comments in
wholesale dollars — so they could take appropriate the margin, and circulate it to coworkers. On the
action (call their senators, put petitions on their coun- financial side, our advertisers tell us they prefer dis-
ters) while it still made a difference. Sometimes you play advertising. Publishers want booksellers to see
just need to know that there is a new feminist book- covers of their books, to be able to pick up the con-
store in New York City so that your best customer vincing quotes and key information at a glance, but to
doesn’t come back from her annual pilgrimage also have (the luxury!) of including all the details:
incensed that you didn’t tell her about the new ISBN, distribution, et al., without overwhelming a
feminist bookstore in her hometown. For that kind of text-only ad attached to an email.
news, waiting the one to three weeks it takes the post
office to deliver the issues, plus the week the issue is at We're opting for a new balance
the printer, the day or two it takes to get to the post
office, the week or so that it takes us to do “final
production” on a 124+-page issue, never mind the of timeliness and print.
time between when the news comes in and when we
go to press (which can be up to two months)... Well, And then there’s the reality that some informa-
sometimes it just takes too long to get the word out via tion is best savored in print. Most of our readers still
a printed bimonthly. prefer to read analysis, book reviews, announce-
ments, and catalogs in print. Graphics don’t exist in
We'll continue to do some email, and many of our readers lack either the time or
the equipment to visit hi-tech Web sites.
(big!) print issues, and we'll
So what's a bimonthly to do? We think we've hit on
supplement them with a great solution: We'll continue to do some (big!) print
issues (Fall Announcements, Spring Announcements,
e-bulletins in between. and Summer/Sidelines?), and we'll supplement them
with e-bulletins in between so our readers will be up to
date on all the important news stories but still get the
But then again, there are the aesthetic consider- information that’s best convened in print in the maga-
ations: Booksellers, publishers, librarians, and the rest zine format. We'll concentrate the book announcements
of our readers like the good old ink-on-paper format. in the printed issues, but we might experiment with
Most readers — and certainly most of FBN’s subscrib- sending some book columns out by email. Even better:
Fall 1999
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Tue, 26 Mar 2024 23:28:17 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
5,"Feminist Bookstore News
This new format could encourage and support a much We're also sad to be running Linda Bubon’s last
livelier discussion/letters column than most print Kids’ Lit column. She’s done a wonderful job and has
magazines have these days. Most of the readers we've been a great support to both FBN and the FB-Network
queried either have email or they have a friend, partner, Catalog during her tenure. We will miss her enthusi-
or devoted customer who is willing to receive email and asm and incredible knowledge of all aspects of
children’s literature. And now we're looking for a
print it Sou ot f wor e 't rh ee m . opting for a new balance of timeliness new children’s literature columnist. If that’s you, give
and print. To give us a chance to set up systems and us a call!
make a transition (and to deal with that annual prob- Thanks, too, to Cynthia Enloe, Joan Drury, and
lem of the November issue, which arrives at the Gail Leondar-Wright for their support this summer.
b lee sg si n cn ai rn eg f u lo lf y t th he a n h o tl hid ea y o t hm ea rd n ie ss ss u e sa )n , d w t ee 'vn ed pt uo b lib se h e r dead A otn hd e r st o t oC oa r nol uy mn e rG oa ub s e l t, o T moll ei ne t iM onil l e fr o, r J to hn ei i r S e va ig sie or n, , and
this issue as a super-sized September/October- skills, and enthusiasm over the last few months. To
November /December double issue and have borrow a phrase from Judy Grahn and Pat Parker,
shoe-horned all of the books we'd normally announce Where would we be without you?
in both issues. (Oh, and there’s another bit of activity And thanks to Teri Mae, Kathryn, and Lisa for
during the next few months: Some of us are going to everything — but especially for getting this ultralong
take vacations — real vacations, longer-than-a-week double issue to press. It’s been a long hot summer,
vacations, canoeing, kayaking, snorkeling.... We need and there were times when I didn’t think we would
a little R&R!) We'll start sending you news updates as ever tame that pile of information, ideas, and articles
soon as we've collected a reasonable number of email (and those wonderful, huge stacks of books) into a
addresses. (Send us that postcard attached to the single (or even a double) issue — but here it is!
cover of this issue right now!) Depending on how the
transition goes, our next print issue will either be Please accept our apologies in advance if you call
January/February or a combined Spring Announce- the office this fall and it takes us a while to get back to
ments/ ABA /BEA issue. you. Wish us luck, well-aligned electrons, renewing
vacations, and good speed with this next transition.
(And don’t forget to send us your email address.)
Yours in spreading the words,
Carol Seajay
Amid all this transition, we're very sad to be say- NEWS FLASH: P-FLAG just announced that it will
ing farewell to FBN’s incredible production and discontinue its association with b&n.com!
advertising coordinator Kathryn Werhane. I hardly
know how to begin thanking her for four and a half
incredible years of doing all of FBN and FB-Net’s FEMINIST BOOKSTORE NEWS is the communications vehicle
design, graphics, and layout. In addition to tracking for the informal network of feminist bookstores. FBN reaches 500
and coordinating advertising (our bread and butter in feminist and feminist-inclined bookstores in the U.S. and Canada
this industry), she’s brought a tremendous sense of a Ns e ww e Zll e a a las n df ,e m Inin di is at , Jbo ao pk anse l l ae nr ds Kin e n E yn a.g l a Ln ibd r, a rE iu anro s,p e , W oA mus et nr ’salia,
vision, great design, a passionate commitment to Studies teachers, book reviewers, publishers and feminist
deadlines, and the day-after-day tenacity that it takes bibliophiles comprise the remainder of the subscribers. Signed
wt mo o or sp k tr e o d od f u wc te it h h ee v ae blr oly o k o sfp e a l g lo ee u r r s .o f a W d v3 e0 e r wti is iss le lu re s as l l o o vf me r iF s sB t N h he. e rS y h e we a’ rs os n da en rd - a B i Fnr EOt MO ic JK Il a Ne S ns IT u S O Taa R rn yEd B, O Nl OMe Et Kat W Sre Tcr S h Os , R ( Ia ES Mr Se N a N y : Et , h W0 e J7 S 4 u r 1 l ae y- ts 6 , p 5 o 5 2Sn 5 1e)s 8p i 0 tb i ei s ml Bi t rp by yu e r ab n,o l if t s ah n Set ddh t r e e Nb e a i tomu v t e #oh mno 2t br 0hs e 7l. r , y F bE yMINIST
ful skills, her deep understanding of the work we do, S Fa rn a n cF ir sa cn o c i Csc Ao . C PA O S T9 M41 A1 S0 T. E P Re : r i Po ld ei ac sa el s s eP no dst a ag de d rp ea si sd ca ht a n S ga en s
and her commitment to its importance — and I shall to FEMINIST BOOKSTORE NEWS, PO Box 882554, San
miss her on a daily basis. We wish her all the best in Francisco CA 94188-2554.
her next adventures.
Fall 1999
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Tue, 26 Mar 2024 23:28:17 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
6,"THE PRICE OF THE SECOND COMING THIS IS WHAT
PASSION OF CURLY RED LESBIAN LOOKS LIKE
An Erotic Journey A Novel by Jody Seay Dyke Activists Take On the
by Jess Wells : The Liar’s Club meets 21st Century
Jc t co t ep pI e hr omhs n nan eu asf d s e bt ioh se tW ld e ia i t oi a e o d is nr s l op nl t sh ese r j n m, oo e o fn ts ud f oae a rk, r es a ne s xn nu s ew ia d nx p ee du o tu sl ly il st a - - ou n h r td o s o i hi fnl nr ey gto i ta d ob D“ n i e h vr eof a a aui er t tx te T hm t htd C h a ep e iu Se n r tn o or G eh ew fg r l dSr ey v o, e e e ar h Jc ee d bt fon iR nr y sen io e ai am fd s t d n sT wt t, ys o y h f il mC m hf o eo -a o v e e rna ym , e ymt t h o .o te ri ve tane raaa e - as igg r l k er H it sec- - seo rl od n, i oT wa tE n cK tc hwd a oiht tl e mi ie met e hmvn re ei iid t s s nn s m y t h d s - knb o t— usi nay huie ntx s os e in o e w i io K m rh tns l n er o it a e si l ell s b d ol o syi co n —a a,fn l ly
a f tl ral m ay v i e l ln y ine , g g l m e c tut hse etd ged a la oru bng e h , ht ee d m rr ep a lhc iy vioa n. n f eS hi r em ied ao nr,n g ie t, w e a t m ne ah ae c o l e mtto hr i - eo by sn y -- t b b tto rh y i a uo e nu s t T C tr h pu o ecn o r o as t ny uh wsi p di o s b l Mp we i la c oi ii m n otl l. ml i ei e nevW r s m ih h n e a in g vfa t en o m h rd be i e en c ni o s aL m t Reb — e e i r ef g te or l hhi i n p ee a n e e n d tw nO ae c rd e e -’ B , d u r p i O .e lirn fe, eg — oa n f , ol res- i of in n ftu o t u t l pWh ar ee r ne i r t g n t s e e u oo x n a nt f gw a c e lie t o n h tu eu t r br xhy o pt a. h t el e r hs ie sb ea p nri ta e c n a e a kh n e d sl l ap i u n sv ms t d e o asf r o t c s ltu , aas h rs e go n ew r dt e h a e i plm i on -o ev sse
tbs sha ti ag a rt n ue t ch e tt l oo p v i hl ge eh rr rie ms r . a g s e hT d awhy die li l o n whg y e e lo p d ug hn r e fg ra an mr d ew cm io lo n yo -m t ah hne i r s ’ ths o o r pl ye e —s s- e S vg l p ae le rd uet ea s db , i ”y no g f tt h h l ee i e a s fb i i rag ev no dt i arc ny fi d eo ao u r bf s r c i t mo h uh se c t h oa C e nr dh ea r s i a os ss ft m i a “ tn f he a emn R iit Mlg y h t t .c .ampaign fu- L hli o et o li pkc Ta ssl w tL oq oi u k e de ss o ht zi ai eo s p tn e s t, eh a s e s7 am/ ykh soii n vs e bd m y I s :o e nf W D t o.rh rea oat td h inL ye gs b tia hn at
the shape of lives lived without her. Goshen Church of the Righteous spills Allison, Victoria Brownworth, Karen
l e bruc i f n eito es a cs y etv m p . , a e o i Sf i dI r n ha l l s i en eo f a r7 o dv loT l re a tȚ e a i e rc, tm l n h u i sP e em in ar n si tcn ec i s hoi me v ud t i a to on ee O tt n dr if e t od r hs n s e e eP s ra o a s l es n i opi s n n o ri d it ko esf en ei d, o, ia s w n S s b poi s we y om r,fx iir o lc lhun e l i ne dte a g r gth l l ord y ri es oi- a n ut ei g xt h pi pa eot rsi a iso -in b s, i el -- o tI lt sn o hv to v e e eor wi , t r h s r n Je yTi e ag bhh r O n ue e t i ia r Dt l a t di S ae,n b Yne , mg c do a o a un a e n Sc dn t so m o Et m to C Aa rbm l o w y ll m e Y- eu t t hn r io ,tn io h s a gt g- ay otr t t . e O rha i wl fs h ao i nlc awf C lo o t sun r gr prf g l rl y e lea ai adg bt d nr R a a ye t t n g di oc eo d uo an d i n. t sa b ya f i d rt e ös s mt n r o a Dm y a e l l. a an sd J SC Q MB H M ue zau ue a aanr nal ē rrtl ni l ë lo tf e ee e e ic yr e n nn Pk r, , h , e, : ä J r D SF r SPo S,ui e ur caa rn Mm s hd n i an ia una n n n e n m a l iM, e lC a, R Ko c nBL aru Mh ;Je fü r ts a fie ēv c Ml n ew oi a he , ; an P e a r b l t e a MDlC t, le t , ea , a S kg tL eCG Jea t ge a n iro os r éol, m aL l e i n se a e R t M wz ,iF , N, ca en h Be i S Vd s an ah t ry reb l de r bee v sa , ar oy rg n a, ,
t k lo e n cf toe e iJwl oE, nl S e St s h d e Wg oEt i Lr n fLu g St h . ss i s h o otn h re e t i s a u stc h tap o oa r rb l ie o e f s o ,f f i v a e ac - c o nl- ovel, and t A ano d dv t a h n ae c e f dT i re sx C ta e -s r t it mis fi ed i ee d n o o Rf v eo llP if so e tr r .t , la an nd , a nO ir meg ao l n l, o ví es r ,an a OS nn fdi i t LK h C eR, fa Ir t SlU a r BK v aW La nEs kah Il Nli a BD cV oIe E. oa N ki d : sS, ,T C ti ha sr e m t sħe òn e l ë cV o ra - es o mq wu ane iz ne, r ing
t inh e S ae nd it For r a no cf i s ct ow .o anthologies. She lives 1 1- -5 56 63 34 41 1- -1 11 14 5- -8 6 $ $1 23 6. .9 95 5 p cla op te hr g Le on ùe isr ;a l M i in ssd oe up re in . d e Sn ht e b ho aò s k s bt eo er ne ai n l eS st b. ian
51⁄2 x 8⁄2 272 pages and an activist for most of her forty-six
years:
1-56341-116-4 $17.95 paper
1-56341-117-2 $28.95 cloth
FIREBRAND BOOKS 5% x 8⁄2 256 pages
141 The Commons, Ithaca, NY
14850 • 607-272-0000 • www.firebrandbooks.com
Distributed to the trä de 3by LP C/IN BOOFK • a1-800l-24l3-01 38 1999
Volume 22 Numbers 3 & 4
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Tue, 26 Mar 2024 23:28:17 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms","['1- -5 56 63 3', '41 1- -1 11 1', '1-56341-116-4', '1-56341-117-2']"
7,"Feminist Bookstore News
SUSAN BROWNMILLER,
the celebrated author of Against
Our Will delivers an insightful—
and inciteful—narrative that is
part radical feminist history,
part memoir, and part cultural
commentary. IN OUR TIME
gives new dimension to the women
and events that have shaped
feminism as the millennium draws
to a close, and finally addresses
that most relevant question: What
is the legacy of feminism today?
“When a coming together takes
place, when the vision is clear
and the sisterhood is powerful,
the human landscape is forever
changed.” —From In Our Time
0-385-31486-8 • $24.95/$37.95 in Canada
Visit the Dial Press website at www.dellbooks.com HE viat rrEess
Fall 1999 4 Volume 22 Numbers 3 & 4
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Tue, 26 Mar 2024 23:28:17 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",['0-385-31486-8']
8,"Feminist Bookstore News
FBN CONTENTS
EDITOR & PUBLISHER Carol Seajay
ASSISTANT EDITOR Teri Mae Rutledge ARTICLES
Bookselling in GANada. e s r r e e s 15
ADVERT. & PRODUCTION Kathryn Werhane The Orange Prize Winners... . .............. 31
ADVERTISING SALES Lisa McGowan Aitending the Zimbabwe Book Fair . . . u3. -5 .. 33
COLUMNISTS Womanspirit: A New Feminist Press... .......... 41
Art Books: Tee Corinne Indies and the Huge Surge in E-Commerce. ........ 45
C G Ka ia dn y sa ’d M i Lan e itn : ' sB Lo L io nk it ds e a: r aJ Btua uc r bq e ou : n e l Rin ice h aD ru dm Las abonté L B Ae Nev ne l e Bin Ef og it oW it knh g e SP Sfl ea r ny .oi sn m eg TF B Cie ol ho d k: e cS Nka Sle e ls n i s, sT te a . x . . .. S. . . s 5 .. 2 : . u 4 9E9 5 753
Music: Susan Frazier & Barb Smalley
SM cy i s t Fe ir /i Fe as n: t aN sa yn : LC ai un rn aa t e Qr uilter A tom a Fz io nn a' ns c eP r Le ali wm si un ita r y • AIn mju an zoc nti .o cn om D e vn si .e d A m• aA zom na .Gzo rn ee cF eu n •draising
VU in d i& ev o e : r H s Le ita izyt h e WPr r ee rW s mseh csi r:p a p nMl te e zv Miller F ANe nem w na i vl i B ea ro soB ak ra yn C n le •u d b Os i bn if t o uF r ar r a yWn :c o e m E le• e an nS , ou rp B e l ar Hcs ukit mse s e • s S He Hl el ad n gH ee ya bt re o o L ki 't ’s t 1o 0 t G hermans •
BOOKSIOIE NEWS > >: -> a ea e s e a a e 17
PROOFREADERS Feminist Publisher News... . ............... 25
Danielle Bauter, Suzanne Corson, Commentary & Trivia. . . . ...... (on vacation this issue)
Sarah Fallon, Sarah Holmes,
Kirsten Janene-Nelson, DEPARTMENTS
Lisa McGowan, Karen MckKevitt, Ad Index: WA Lhe u 156
Stephanie Provines, Dena Taylor, Announcements . ..... 59
Julie Van Pelt, Susan Waller Backto Press... 7.. 60
Bestsellers... e a. 71
CLlaSssiHfie.d. . A des.a.. . ..a... .. (sse e aA n naou n cuemae n ts7)
HOW TO REACH US Subscription Information. . . . ............... 74
TELEPHONE 415-642-9993 They Went That-A-Way. . .................. 61
FAX 415-642-9995 Writing Waed.. re e a h la 60
U.S. POSTAL SERVICE THE BOOKS
FPeOm iBniosxt B8o8o2k5s5t4o r en nN e wTasa A Tr t A B o oOk s 1 a77
San Frañcisco:CA 94188 Canadian BOOKS. . 2 e (on vacation this issue)
DELIVERIES KSIL .G a y A Lil 3 A A e Ns (o n ovac a tioen th8is 5 issue)
2180 Bryant Street #207 Musi USIG NEWS a e a a e e a se 81
e MYSISHSS: a e aa (on vacation this issue)
EMAIL Our OWN Presses. s s e 87
General Info: FBN@FemBkNews.com Publisher's Row... .......... 129
Editor & Publisher: Carol@FemBkNews.com : i
AAsdsviestratnisti n gE:d i tKoart:h rTyenri@MFaeem@BFkemNeBwksN.ceowms. c oOmV ORNA V ES S F <A M ea SeY en P =.
A d: v er,t i sUingn iSvaleesr: s iLtisya@ F ePmrBekNssewess. c om>. . S m2a.l.l PTreOssRes.. . 1 11039
Printed in the USA Video Reviews... .......... (on vacation this issue)
Volume 22 Numbers 3 & 4 5 Fall 1999
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Tue, 26 Mar 2024 23:28:17 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
9,"Feminist Bookstore News
Dutiful Daughters
Caring for Our Parents
as They Grow Old
E edited by Jean Gould :
“By turns poignant and humorous, and always pertinent,
| Dutiful Daughters offers insight on the rewarding and
complex relationship between daughters and their aging
parents.” — Ruth Harriet Jacobs
6 x 9, Paper Reunion
E vE A Year in Letters Between a Birthmother
and the Daughter She Couldn't Keep
Katie Hern and Ellen McGarry Carlson
“Poignant, dramatic, revealing and instructive, these long
luscious letters between a young woman and her
birthmother illuminate the dynamics and details of
reunion and post-reunion, in real, affecting voices. . . . An
absorbing and eloquent book.” — Judith S. Gediman
Restricted Access
Lesbians on Disability
edited by Victoria A. Brownworth & Susan Raffo
“In Restricted Access, a pioneering anthology, lesbian
women depict the challenges, losses and victories they
have confronted when physical and mental givens are
washed away in a flood of changed circumstances.”
-— joan Nestle
$15.95, 320 pp Wild Child
(eS
1-58005-028-X
edited by Chelsea Cain
Foreword by Moon Zappa
LKA e
Wise, funny, irreverent, political, poetic-the essays in Wild
Child capture the spirit of a social movement that pledged its 5 1 / 12 - x 5 8 7 0 01/ 52 -, 0 P 3a 1pe -r X
daughters the most revolutionary gift of all-freedom.
Distributed by .
eTe el AS
Fall 1999 Volume 22 Numbers 3 & 4
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Tue, 26 Mar 2024 23:28:17 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",['1-58005-028-X']
10,"Feminist Bookstore News
Dear FBN, Any assistance will be greatly appreciated.
I was in New York City doing a slide presenta- Please forward this message and see that it is
tion at Toys in Babeland and I walked around the published in the gay/lesbian /bi press and circulated
corner to find Bluestockings, the new women’s book- on the Net.
store. It was before an event, and the store was packed Send contributions and good wishes to: Victoria
with a very diverse group of women clearly having a Brownworth, c/o Hazel McPhee, 311 W. Seymour St.,
marvelous time. They have hung beautifully exe- Philadelphia, PA 19144.
cuted paintings of fat women on the walls. Sincerely,
It felt really good to be in a women’s bookstore in Tee A. Corinne
New York City. Nikki Baker
Best, Kathleen DeBold and Barbara Johnson
Laurie Toby Edison Deborah Edel
Nancy K. Bereano and Firebrand Books
Roberto Friedman
Jewelle Gomez
Karla Jay
A Call for Help Judith Katz
Dear FBN Readers, The Lambda Book Report
Lesbian/queer author Victoria Brownworth is Lee Lynch
ill and in desperate need of help. A Pulitzer Prize Mabel Maney
nominee, for two decades her writing has defined Donna J. McBride, Barbara Grier, and
issues and highlighted personalities. She is the Naiad Press
author of Too Queer: Essays from a Radical Life and Susan Raffo
editor of Out for Blood: Tales of Mystery and Suspense Ruthann Robson
by Women, Night Bites: Vampire Stories by Women, Eric Rofes
Night Shade: Gothic Tales by Women, Out for More Carol Seajay
Blood: Tales of Malice and Retaliation, Film Fatales: Inde- The women of Seal Press
pendent Women Directors (with Judith M. Redding),
and Restricted Access: Lesbians on Disability (with Editor's note: Victoria Brownworth was recently
Susan Raffo). thrust into an unforeseen financial crisis. She has a pro-
One of the things she wrote after we convinced gressive neuromuscular disease that has severely limited
her of the necessity of going public with her difficul- her mobility. She needs assistance on a daily basis for essen-
ties was, “i know i cannot be the only dyke out there tial, everyday tasks. She has applied for disability and is on
experiencing this, so in some way i am hoping that a waiting list for a ramp and wheelchair lift so that she can
t ch ouis l d w hil al p pa el nso tr oa i s ae n y a w oa fr e n ue ss .”s about how easily this l geav re e h aer t h ou fse i non a nher c io aw ln — d b iu ft f at i cth ue l m to ym .en t , o she’s in
Fall 1999
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Tue, 26 Mar 2024 23:28:17 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
