PageNumber,Text,ISBNs
1,"Ore
Lett INe TrHISs IS SUE : : 3 ;
NBS: Rosemary Curb's Statement : 10 :
LNBS: Nancy Manahan's Statement 13
LNBS: Naiad Press Statement 15
""1985 WIP Publisher' s Accords"" s19
""Statement on Feminist Publishing Ethics"" 20
WTIoP u Bgoohk se lDleros v Cea u cuBs o Sotkatesm en2t3 21
In Memoriam: Pat Smith : 23
T STh ee ly lr i nW gie nv t R ieT mhaat a - iA n - dWiea r3y s 20 5 2: 6
IfS Ict iMeaknes cYoeu C omFfoirctabtle-i-oLoonk Tw ic3e 633
TChael ePnerdilas r osf 1Ch9a8r6na s 4 319
Computer Chips 46
From Our Own Presses 48
Magazines & Toys : 55
From the Small Presses 56
U OPn ni vo e Preusi bttly ir s hPyer res s s ' e s R 6 o: w 86 0 65
Femina Serial Am F324978
Volume 8 Number 2: 3 September 1985
0/17/85
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:36:46 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
2,"THE FEMINIST BOOKSTORE NEWS is published six times a year, layout and paste-up services available at a nominal fee.
on or about the first of January, March, May, July, Contact FBN at P.O. Box 882554, San Francisco, California
September, and November. Deadline for articles, copy, 94188 or (415) 431-2093 during regular office hours,
Pacific Standard Time.
unless other arrangements are made. Signed articles are BOOKSFOR REVIEW AND BOOK ANNOUNCEMENTS may be sent to FBN
the responsibility of the authors; no editing is done on at P.O. Box 882554, San Francisco, California 94188.
such work. FBN is compiled and published by Carol Seajay. Feminist publishers are invited to write their own (short!)
Subscriptions are $35.00 per year. (Sliding scale blurbs for listings. FBN believes that you know more
available to feminist bookstores.) Make checks payable to clearly than we do why you choose to publish a particular
book. Books published by the feminist press are listed in
correspondence, news, letters, ads and articles to FBN, FBN only when FBN hears about them, so DO remember to send
A P re.O ac. h B edo x b y88 2 t5 e5 le4 p, h S oa nn e F dr ua rn inci gs c o r, e g C ua lali rf o or fn fia ic e9 4 h1 o8 u8. rs (Pacif m icay be ea an rn lyou n oc re dm ere sn .t s A. l lP r pe- up bu lib sl hic ea rt si o n sh oa un ln d o u inn cc le um de en t bs o of ka sc ti oli rt eate
terms. Please also include distributors who (will) carry
the title for the benefit of small stores that order
T H tE h eF E M iI nNI fST o r B mOO aK lS T O nR eE t wNE oW rS k is o a f c om fem mun iic nat ii so tn s bve oh oic kle s tfo or res. It reaches p or ri dm era r i dly ir e f ctr lo ym f rd ois mtr i b yu ot uo ,r s p. l eI af s e y io nu c l up dr ee f e tr h a tt h a int f ob ro mok as tt ioo nre s as
110 stores in the U.S. and Canada, as well as a number of vell.
bookstores in Great Britain, Europe, Australia, and New FBN welcomes letters, articles, announcements and trivia
Zealand. from publishers as well as bookstores. We are the left and
right hands of the same goal.
ADVERTISING RATES are $200 per full page, $125 per half c 1985 Feminist Bookstore News
page. Inside back cover is $225. Camera ready copy or ISSN No. 0741-6555
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:36:46 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
3,"The Feminist Bookstore News
NOTES W COMPUTER TABLE
OoOo000
This: issues 4. littleslarenithan planned. -- or a wonderful time, and am watching the issue fall into
earlier, depending how you look at it. The original place as I write this. My apologies to the women who
plan was to do a summer calendar issue that would come wrote articles for the summer deadline, only to have
out Aug. 7 that would cover ABA and WIP in detail. them appear a month later than expected.
Then the fall issue would come out Sept. 15th with This issue has most of the WIP Conference
late-breaking calendars and all the rest. It was a coverage in it. I'm assuming that everyone who's
great plan. But slow response to mailers for the interested has read the reports in OOB, etc., and so
calendar issue, combined with the sheer reality of FBN is not going to repeat that. I am trying to
spending 15 out of 20 working days in June doing the include as many of the formal statements as possible
spring alphabet (ABA, WIP, NWSA) and the amount of and all the letters received. As was true at WIP, a
follow-up work that follows a woman home from these disproportionate amount of energy and time/space went
events resulted in a decision to combine the two to the Naiad Press/Lesbian Nuns controversy, leaving a
issues. A fringe benefit is that this will put FBN lot of other issues less well tended. I'd like to see
back on it's proper publishing schedule (Sept., Nov., (more) workshop reports, myself, and hopefully they
Jan., Mar., May, and July) without squeezing an extra will come in over time.
issue in somewhere.
I sat back at the end of June, puzzled by this
uacpc u tmhue la atciocnom opfli s hpampeenrwtso rokf atrhoeu n fdi v me ym odnetshks a onfd fcuoluln-ttiemd e A l | | a
work on FBN: three full issues, the development of an AN u A
cad am r pa at ige n c a fr od r a tn hd e a sn id ea ld inv ee sr t i is si sn ug e ip na cc lk ue dt i, n gt h te h ea d a fra Z fA N
development of a 1000-name mailing list for the same f i t V
(a wild success!), the development of a calendar issue sa iA
a td o dca om tp hai eg mn , o 1 n9 ,8 4 a n t da x ae ts t, e na dn id n g l e a tr hn ei n cg o n a f e rc eo nm cp esu .t e Pr l u p srogram S sANIA s WALER
general and miscellaneous networking, computer studies
and a good start on writing a novel.
Suddenly I understood why the next issue wasn't
going to be ready to go to the printers by the time I
left on vacation! So I declared it all a wild
success, decided to combine the summer and fall issues
and added a week to my vacation. I'm home again, had
Volume 8 Number 2/3 1 September 1985
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:36:46 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
4,"The Feminist Bookstore News
oOo000
Also in this issue: ""If It Makes You Feel
Comfortable, Look Twice"", an article/letter by Susanna
Sturgis taking issue with an article in GCN
criticizing feminist bookstores for not selling (more)
of the (s/m) sex magazines. Hopefully GCN will run it
as well, but I publish it here as part of an ongoing
discussion and validation of the processes of feminist
bookstore workers in making these decisions as well as
ongoing discussion of the great sex-magazines/sex-
issues debate. I wish I had a report on the Selling
Sex Books workshop at WIP. The verbal reports I heard
were that most of the stores had carefully considered
positions on what they did and didn't sell. That
stores that didn't sell the sex magazines (or that
sold some but not others) made subscription and/or
sample copy information available on request. What was
remarkable was the degree of respect present for one
another's differing positions, a respect seemingly
lacking in the criticism feminist bookstores are
receiving for not carrying every magazine....
I find it ironic that none of the magazines in
the complaint zone has ever sent FBN a review copy or
an nouincem ent of A their m agaz ine tand/oer bolokstlore ter msea More Missing Piecees se . re
nor asked to rent the FBN mailing list... Combined
with Susanna's comment that she has never received è She other; th thing One, that is. mo
promo material nor. trade terms for one of the respectful and honoring of women's lives and work. I '
magazines in complaint makes me wonder if it's more think that it is time9 for u s an d th'e rest of the
pleasant to complain about lack of distribution than feminist press to begin running obituaries and
to do the basic publicity work. Not to mention the memoriam articles. Or to invent something better.
problems with content. Yes? Hopefully Nancy Pollak's piece about Pat is a
good beginning in that exploration.
I lear neİd at NiW SA oif th e :de ath s eof tw o s w om ena who hEinjoy. the: issu: Ihopesyou: find it, helpful,
h paedr s obn eaeltn fh rimieepnod r t Ia nn ht ae dinnx 't m t sye e n (i f iienst ssaon umd e e w t oirm ke i , O s no ne e w Owa a sci n tsaig oht bful e a rnd in 1sp 5iri tng h of . r es Kpon ese e. pDea d lin te h fo or se letters,
publisher, Pat Smith of Hress. Gang. columns, book reviews, and articles coming!
The news came unexpectedly in casual
conversations both times. I was barely back in : Yours in spreading the words,
balance from the first shock when the second one hit.
We deserve better than this: a gentler kinder way to Carol Seajay
September 1985 2 Volume 8 Number 2/3
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:36:46 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
5,"The Feminist Bookstore News
Women's Book, Gift, & Music Centre accept $15 for this years FBN subscription. We feel it
Gladstone Rd is vital to our network. Right now we need all the
Highgate Hill, QLD 4101 info we can get our hands on so send any relevant
Australia literature to us.
Dear Friends, Thanks
We are very interested in importing secondhand Pat Cohen
(pre-used) books in bulk from American sources. These
books need to be suitable for sale in a Women's
Bookshop, preferably with a feminist slant and good
condition. We are interested in both fiction and non- Lammas Bookstore
fiction, particularly lesbian fiction/non-fiction. We 321 Seventh St. SE
are writing in the hope. that you may be able to give Washington, DC 20003
us some contact addresses and phone numbers of
possible suppliers. Or perhaps you could pass this on Dear FBN,
toc soome n othter agrcoupt wsith. t he n:ecessary information I am H me or ve i n i gs tt oh e M l aa ss st a c f h/ us sf e t tc so l u onm n F of ur ro tm h oW f a s Jh uin lyg t o wn e, e k D eC n. d
Thank you for your assistance. (crazy, du mhuhp),ing all my worldly and otherworldy
Regards, possessions at my parents' house, then proceeding to
Anne Maguire Ithaca, where I'm giving a reading at Smedley's on
July 12. My first feminist bookstore reading!! 1'li
be at the Feminist Women's Writing Workshops again
this year, then back to my parents' and finally on to
A 37lt 4e r Wna ot oi dv fes ie lC d o r Rn de .r, Inc. the Vineyard on or about August 1. Then I'm going to
sleep for two months.
West Hempstead, NY 11552 As I mentioned in my column, I'm going to be
trying to get on review and PR lists for relevant
Dear FBN, publishers. Who knows how easy or impossible this will
Well, w-e - d id A itlternatives Corner is now a prove to be -- I expect that the mass-markets will be
corporation owned by the community of Lesbians. We the hardest (though DAW has been very good in the
sold 100 shares at $250 per share to buy 1/2 the past). If you or any FBN readers have any possible
partnership and gave the other partner 50 shares. helpful contacts among publishers' sales reps or in
bT ills,hing sos u na tr il e w e s gt epi trl e lt a t y p w o t siie tg ih vt e a al cs as so h f lg owo ,t p let ash ee p aro lm oot nio n Tg h o er . n e e d wi Wt o ar dia del ressst i s d e p BaTr ot xm ei n 3tss 9, ,bur yple,as e pMass Athem
September 1985
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:36:46 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
6,"The Feminist Bookstore News
02575. Since my mother works at Beacon Press, I think that order). ‘Also this month Mary and I are training
I can manage regular access to PW. my replacement, Donna Niles, who will become Lammas's
Although the Lammas Little Review will be going official bookie on July l. The training process is
into indefinite hibernation with my departure, I will bringing back the total confusedness I felt as I took
be continuing to do feminist-press reviews for over four years ago, when the store's inventory and
different publications, including off our backs. I'd gross sales were less than half of their current level
love to stay/get on the mailing list for any and all -- and also how incredibly much I! have learned and
feminist and feministically inclined publishers -- my done since then.
areas of review (interest are fiction, science fiction My major accomplishment of the spring, however,
(naturally), grass-roots (nonacademic) theory and is the completion of my first book Leaving the Island:
nonfiction, and feminist/pagan spirituality. Writings on Love and Change, which is now in search of
a publisher. I am staving off post-partum depression
by working on four (nonfiction) writing projects at
once, getting ready for a reading next week,
performing in two choruses, and freaking out about
moving. My current post-publication fantasy involves
hijacking a little pick-up truck and driving around
the country hanging out in bookstores and giving
readings. (Watch out, world, etc., etc.)
That's about it for the moment -- I'm running out
of steam and I promised to give Mary and Donna their
first word-processing lesson today!
Best,
Susanna J. Sturgis
Helaine Victoria Press
4080 Dynasty Lane
Martinsville, IN 46151
July 28, 1985
AN OPEN LETTER SUBMITTED FOR THE NEXT ISSUE OF FBN
| As you might expect, the pace at Lammas has not Dear Carol,
slacked off in the least. June is probably the busiest I am writing in reference to the Spring issue of
month of the year after December: We have out-of-store FBN in which Helaine Victoria Press was listed under
sales almost every weekend (International Conference ""Toys"". Helaine Victoria Press has been publishing
of Lesbian and Gay Jews, Gay Pride, and Sisterfire in | ""women from history"" postcards since 1973 and is a
eptember 1985 4 Volume 8 Number 2/3
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:36:46 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
7,"he Feminist Bookstore News
nonprofit educational organization committed to making inside periodicals (usually credited, but not always).
women's history accessible to a wide audience, using a FBN is an important link for us to the bookstores and
nonbook format. Our work is not frivolous as ""Toys"" I look forward in the future for FBN to view us as a
heading connotes. We uncover new research and new part of the women's press community and list Helaine
images of significant women and historical events. We Victoria under ""From Our Own Presses"".
began publishing and promoting images of women on Bread & Roses,
postcards long before other publishers started using Jocelyn Cohen
the postcard format, let alone to specifically portray
women. When there were virtually no images of women
available, we existed.
Of the seven cards described in the submission we FBN RESPONDS: It was certainly not my intent to
sent, five of which you included, three were trivialize Helaine Victoria Press's work by listing
researched by Sue Levi Elwell, a rabbinical student the cards in the ""Toys"" section. My apology to Jocelyn
and Jewish women's history scholar at the Hebrew Union Cohen and any of Helaine Victoria's researchers who
College, the Mary McLeod Bethune research was felt trivialized by the placement of the listing and I
submitted by the Bethune Archives, Emma Tenayuca by will be glad to list their work in ""From Our Own
Vicki Leighty from Helaine Victoria Press which Presses"" in the future.
utilized oral history interviews she conducted with The ""Toys"" column in FBN generally includes all
Tenayuca as part of the research. And I researched two the ""sidelines"" items ` in- the magazine. In the
of the cards. Some of the photos and histories will bookstores, the postcards are generally sold out of
not be found anywhere else. We have traditionally the card racks: listing the postcards in the ""Toys""
spent long hours looking for the unique, for the section reflected the placement of the cards in the
pictures that have not been seen before and the life stores, rather than the history and politics of the
stories that accompany them. We are serious women's publisher. Itn h hiandts ig hst,eems inappropriate in a
history scholars, feminist publishers and printers, print format, no matter how practical the placement
and do not see ourselves as the producers of ""Toys"". may be in the bookstores. A reasonable mistake for a
I often feel like we are struggling to be magazine that thinks it's a bookstore and forgets that
recognized as a ""real"" women's press. It isn't an it's a print form, but not one I want to repeat!
accident or chance that originally Nancy Poore and I It also makes me reconsider the heading for the
chose the postcard/nonbook format to publicize women's column. ""Toys"" can sound more trivializing than
history. We are a feminist press, one of the few humorous, and may not be the best heading for the work
that's been around for 12 years and publishes only of women musicians, artists, craftswomen, card
women's history. We are a viable women's press and our publishers, et al. Maybe it's time to switch the
materials are not to be dismissed as ""toys"". heading to ""Sidelines"" which we'll try as soon as we
Historians and many periodicals as well as the can get a new headline typeset and designed.
community recognize our worth. Our cards have appeared Thanks, Jocelyn, for writing about it.
as covers of journals, frontispieces of books and --Carol
September 1985
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:36:46 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
8,"The Feminist Bookstore News
Century Book Club attempt to ban or discredit Lesbian Nuns.
1560 North La Brea Ave. As one of the book's coauthors, Rosemary Curb,
Los Angeles, CA 90028 stated, ""even before pub date, we felt the effect of
July 16, 1985 ; censorship. The prejudice against the book is a
Feminist Book Review 6/21/85 pr)ejudice against enlightenment."" (Publishers Weekly
PO Box 882554 Any attempt to circumvent any book's
San Francisco, CA 94188 distribution, no matter how well-intentioned, must not
be tolerated.
Dear Etditor:
Sincerely,
The unfortunate tendency of the lesbian/feminist
community to view issues in terms of absolutes has M9ry «Gabriel
surfaced yet again in the controversy surrounding
publisher Barbara Grier's decision to sell serial
rights of Lesbian Nuns: Breaking Silence to Forum.
It is frightening that the outcry against Ms.
Grier's action caused her, however briefly, to
consider retiring. Does anyone really think that a
woman who as fought for 32 years to support, nurture
and sustain lesbian literature would sacrifice a
lifetime commitment for $2,000?
Although Forum is owned by Penthouse, they are
not interchangeable; Forum has a history of supporting
lesbian and feminist causes (whether we want that
support is another issue). Ms. Grier has stated that
her ""number one goal is the dissemination of material
about lesbians to lesbians."" This has to include the
women whose subscriptions to Ms. and occasional peeks
at Forum are the closest they've come to stepping out
of the closet.
Was Ms. Grier's action appropriate? I leave that
decision to those who are better than I at judging
others. What makes me uneasy is the sense of deja vu I
get from all the rhetoric about ""good taste"" and
""right to privacy"" and ""offensive material"": the same
phrases are being used by the Catholic Church in its More Missing Pieces
jeptember 1985 6 Volume 8 Number 2/3
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:36:46 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
9,"The Feminist Bookstore News
Daedalus Books the abundance of the right materials around her
2260 25th Place, NE combined grass and grasshoppers to make rough paper. I
Washington, DC 20018 thought she was an absolute whiz, but then she was
June 24, 1985 attacked by a group of women who thought it
politically incorrect and a direct attack on nature to
Dear friends and associates of the Women in Print combine grasshoppers with grass in a blender. Another
year a woman appeared at Women in Print and actually
Movement, stated that she worked in a gay bookstore with (gasp)
I truly believe from experience that one of the m alwen ay. s T h ha at d r te ha ell y g rd ei ad tn es't t g eo m po av te hr y w fe ol rl, ae li lt h te hr o. s eI wh oav me en
most telling characteristics of an oppressed group is who have blurted out all those PI statements because
that members of that group spend a great deal of time I'm secretly thinking to myself ""there but for the
oppressing each other. This seems especially true of grace of God go I."" And I'm not even supposed to be
t th o e a dW mo im t,e n b u i tn l .P r cin ant ' t moveme n tht. i n kIt ' s o fr a oth ne er W em omb ear nr a is nsi n Pg rint t sh ein sk si İn og n t sh i s are be c la au bs ee le dGod str us gh go lu el ,d c b re it i cG iso mdd /e ss es l. f -T -hese
gathering where some one person, or busin gerosusp, criticism sessions, etc., but from my viewpoint it
had not offended some öther person, or bu gsrionupe,ss seems that a lot of times women are simply being
to the extent that a grear deal of time and energy was trashed. I thiisnsk u ofe sth e and women that have
spent in dealing with that one conflict. In tone it been politically incorrect over the years and attacked
reminds me of the constant hagglings of neighborhood as such. What I see are many issues that just don't
w mo om nee yn af nr do m f o m ody . Tc hh eil d ih so so ud es a ir no u n thd e c Whi old mr ee nn , inh u s Pb ra in nd ts, m bea et nt e r d e aa ls t m wu itc hh aa tn y am ll o r (re, a c ia sn md ) . m Aa nn dy Ii s s su eee s t hth ata t a h a lov ten't
movement have varied from year to year, depending on of those women who have been attacked are just those
whatever the common acceptable politic is at the time. women in my mind who over the years have been the most
Some issues are ""hot"" one year and forgotten the next, committed, so committed to the concept of Women in
not because anything has really been defined; the mob Print that they have dared to be different, dared to
has merely moved on. I remember the conference when it make mistakes, dared to be outspoken, dared to not tow
was politically incorrect to publish a book with the the current acceptable lines, dared to take incredible
commercial press, and I remember the woman who was financial risk, and dared to be successful in their
publicly attacked because she had done so. At that endeavors. The attacks on these women have always
same conference it was considered politically correct bothered me, and I've become more suspect over the
to only use women printers (never mind that there years on what was the true intent of the attacker.
weren't any women-owned presses at the time that had Perhaps I've become more paranoid or more psych-babbly
large enough presses to publish and bind books). At as I've gotten older, but I now try to take a closer
that particular conference a friend of mine decided look at what real motives might be disguised by
that the next issue would probably be around women rhetoric, For some reason there seems to be a lack of
controlling the making of paper .S o s(hweho will direct confrontation. Whatever happened to the old
remain anonymous and therefore, aboye reproach) noting ""one on one"" fight where someone would deal directly
September 1985
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:36:46 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
10,"The Feminist Bookstore News
with the person they disagreed with? It seems to me
that something's amiss when instead of dealing
directly with the group or person that we disagree
with, we feel compelled to immediately get together
with a group of women and write a number of ethical
statements which we then proceed to distribute widely.
I'm having a hard time feeling that I! want to be
a part of this Women in Print movement. We don't fight
fair, and we simplify ocur disagreements to the point
that there is only a black and a white, a good and a
bad side to be on. There is little room or tolerance
for real, ongoing debate. We are a mercurial movement
with few real loyalties and no sense of debt or
gratitude. We have attacked and at times destroyed the
best of those amongst us including many of our natural
leaders. Our history is revisionist in nature, We
forget arguments, failures, successes, and even our
associates of past years. We change events in the Kitchen Table Press Catalogue
retelling. We have little respect for those who have
gone before us, and many or our associates whom we This year at the Women in Print Conference Naiad
attacked when they were alive have become our saints Press was attacked, which prompted me to break my
after their deaths. We don't remember the hours silence. There are a number of issues being discussed
associates have given us in teaching us what they around the stupendous success of Lesbian Nuns. Some of
already know, knowledge painfully gained, and those issues are pornography, the ethics of
certainly we don't feel a sense of gratitude. Most of publishing, the business of publishing, money, and
the time we don't care about this knowledge. We enjoy just about everything else we've been talking about
remaking that wheel, again, and again, and again. If over the past fifteen years or so. I'm not quite sure
we are going to break silence, then let us talk about why Naiad Press is getting all the heat, but I suspect
these issues too. Let us not remain quiet while women it has something to do with being the most successful
who have given years of their lives to the Women in sitting duck. Actually, the real reason I wanted to
Print movement and to women in general are soundly write this is that I wanted to talk about Gene Damon.
trashed in front of our eyes by other women who I'm not sure how many other women my age (32) and
oversimplify difficult issues. When we speak of younger remember her. I know her because when I came
dimensions of the heart let us remember that women we out sixteen years ago there wasn't a Women in Print
have worked with over the years and who have worked movement and little to read which cast a positive
for all of us merit our listening to their side of an light on lesbianism. Fortunately, a friend of mine had
issue. back issues of the Ladder, which I read over and over
September 1985 Volume 8 Number 2/3
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:36:46 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
