PageNumber,Text,ISBNs
1,"IN THIS ISSUE
Letters 4
Gertrude Stein Bookstore 7
Aunt Lute/Spinsters Ink Merge 8
ABA Convention 1986 9
Censorship -- New Zealand & Canada 10
TBhTaecyr k W i eTnvto iT Phaart -iAn -tW1 a y19 8 16
Remainders 22
Granite Press 23
Science Fiction 24
Our Own Presses 28
The Small Presses 39
University Presses 42
On Publishers Row 45
Mass Market Books 48
8
Volume 8 Number 5 April-May 1986 ;} 1 /,29/10 y x > Z A
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:36:54 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
2,"THE FEMINIST BOOKSTORE NEWS is published six times a year, layout and paste-up services available at a nominal fee.
on or about the first of January, March, May, July, Contact FBN at P.O. Box 882554, San Francisco, California
September, and November. Deadline for articles, copy, 94188 or (415) 431-2093 during regular office hours,
letters, ads, etc., is the fifteenth of the preceding month Pacific Standard Time.
unless other arrangements are made. Signed articles are BOOKSFOR REVIEW AND BOOK ANNOUNCEMENTS may be sent to FBN
the responsibility of the authors; no editing is done on at P.O. Box 882554, San Francisco, California 94188.
such work. FBN is compiled and published by Caro! Seajay. Feminist publishers are invited to write their own (short!)
Subscriptions are $35.00 per year. (Sliding scale blurbs for listings. FBN believes that you know more
available to feminist bookstores.) Make checks payable to clearly than we do why you choose to publish a particular
FEMINIST BOOKSTORE NEWS. Send susbscriptions, book. Books published by the feminist press are listed in
correspondence, news, letters, ads and articles to FBN, FBN only when FBN hears about them, so DO remember to send
P.O. Box 882554, San Francisco, California 94188. may be announcements. Pre-publication announcements facilitate
reached by telephone during regular office hours (Pacific early orders. All publishers should include bookstore
Standard Time) at (415) 431-2093. terms. Please also include distributors who (will) carry
the title for the benefit of small stores that order
THE FEMINIST BOOKSTORE NEWS is a communications vehicle for primarily from distributors. If you prefer that bookstores
the informal network of feminist bookstores. It reaches order directly from you, please include that information as
110 stores in the U.S. and Canada, as well as a number of
iibraries, women's studies departments, and feminist
bookstores in Great Britain, Europe, Australia, and New FBN welcomes letters, articles, announcements and trivia
Zealand. from publishers as well as bookstores. We are the left and
right hands of the same goal.
ADVERTISING RATES are $200 per full page, $125 per half c 1985 Feminist Bookstore News
page. Inside back cover is $225. Camera ready copy or ISSN No. 0741-6555
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:36:54 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
3,"The Feminist Bookstore News
NOTES i COMPUTER TABLE.
o0o0000
Just when I was beginning to think this magazine Lotsof comments. jon the last issue =- a bOT of
was working financially, along came a major glitch in women appreciated the Iowa City Press interview, the
the cashflow gud there was nO (ami 1 do unean NO) issue looked good, even the ads were informative,
money to print this issue. Which lead to six weeks of etc., but all the comments ended in consensus: not
major contemplation of finances, some business enough gossip in the issue. Apologies! May there
‘consultation with the Briarpatch small business never be such a dry FBN again!
people, some fundraising, and some time to do a few
other small projects -- taxes, mailings to bookstores If you know of sidelines vendors who haven't yet
on the sidelines issue, work on the (forthcoming) sent in their information, it may not be too late.
Feminist Bookstores List, and time to do several Looks like I'II be finishing layout after ABA, so
""little projects"" -- like sending copies of FBN off they may be able to get listings and ads in as late
for review in library journals, etc., hiring an ad as June 3rd or 4th. But they should call before
sales rep, and doing a mailing to some new (to FBN) mailing ads, to make sure there's room.
small presses that have books of interest to feminist
bookstores.
And sitting on a nearly completed issue that was
itching to go to print. And here it is! Thanks to a L
wonderful gift from Anyda Marchant and Muriel
Crawford -- payment of this issue's printing bill.
What really makes this magazine work is women's
belief in one another's work.
Meanwhile, ads are beginning to come in for the
sidelines issue, so FBN should be OK for awhile. Many
and deep thanks to the bookstore women who circulated
the ad fliers to craftswomen. Also for circulating
FBN subscription forms. If each bookstore found five
new FBN subscribers -- or if each FBN subscriber
found 2 1/2 new subscribers, FBN would be on solid
financial ground for at least the next year. You'll ""Period,
note that there's a tear-out subscription blank in
this issue -- please pass it on to someone you know
w prh oo v i dco esu .ld use the information and networking that FBN from p, riod
Volume 8 Number 5 1 April/May 1986
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:36:54 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
4,"The Feminist Bookstore News
OK, I give up. Probably eight different stores Speaking of the homefront -- I'm looking for
have requested a murder mysteries column that will someone to sublet my 2-room apartment while I'm gone.
cover who's publishing what of interested to feminist June 16 to August 1, or August 7, or August 14? It's
bookstores. (See -- I do read those evaluations.) So in the North Mission and comes equipped with library,
clearly there's a need. I HATE murder mysteries. I avocado tree and cat. $325/month. If you're
don't understand them as a form of escapism. interested in subletting it -- or know someone who
(Character assassination is so much more refined a might. be, give me a call at 415-431-2093.
sport! How about a nice character assassination
column instead?) No? No. OK. Hating the genre, I
obviously can't write it. Can you? If someone wants
to do the column, it will happen. The pay-off is What with everyone running off to see The Color
satisfaction, helping sister-booksellers and your own Purple and Desert Hearts, and all the people reading
personal subscription to FBN. Give me a call... the books, are you having tormented, demented
midnight thoughts like: ""Our Work is Done."" and
FBN goes to OSLO! Pretty amazing to me, but ""Success at last"" and ""It's over and the work's all
I/FBN am/are off to the Second International Feminist done!""
Bookfair in Oslo. I'm particularly interested working Are you having midnight doubts about the need
on ways to make non-American books more readily for your work? Do you wake up wondering why you're
available to US feminist bookstores, so my agenda is running a women's bookstore anyway, now that The
to talk about distribution systems, to make contacts Color Purple is playing all over town and everyone is
with European feminist publishers and booksellers, picking it up (along with Lesbian Nuns) in the
and to create channels of information that will lead supermarket, anyway, and what is it that you're doing
to more news of the international feminist bookscene in your understaffed/underpaid bookstore anyway? Just
in FBN. So far this trip looks like time in Oslo, for sanity, keep these chilling facts in mind: even
Amsterdam (landing site of the Cheap Flight), Paris as the #1 book on the NYT Bestseller list, even with
and London. How, you may be asking, is she going to 3 million paperback copies in print, (even with every
finance this? I'm asking that question, too. So far other woman on the bus gazing into a copy of The
the answer is charge cards -- Feminist networking IS Color Purple), remember that romance writers like
why the goddess invented charge cards, isn't it? Danielle Steel routinely list 60 million copies of
(Hmmm. Yes. I do think there's a problem in that last their books in print. I mean, three million. copies
sentence. Grammatical? Financial? Logical? Something. isn't bad, but we still have a ways to go, so don't
Well, I'll worry about that when I get back.) declare success yet, and fold up shop for the
Meanwhile, FBN 8#5 is off to print, I'm off to g ste in llt l e hr a, v ee a s ai e r lo t l ti af e w o of r k a l tm o o s dt o ..a .n .ything else. We
the ABA (yep, charge cards ride again!), and will get
the sidelines issue out before I leave for Oslo in
mid-June. The next issue will be the September/ Yours in financial wizardry and a fast next
October issue, so if you have anything pressing, get issue, Carol Seajay
it in quick!
April/May 1986
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:36:54 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
5,"The Feminist Bookstore News
W 1-N/ 6. BO WAPRES 5
THE MOTHERPEACE TAROT PLAYBOOK: Astrology and
the Tarot (Vicki Noble & Jonathan Tenney) Two ancient
sciences blend in the synthesis of “Sacred Play”: the journey
to self-understanding through guided exercises in astrology
and the Motherpeace system of Tarot. Vicki Noble’s many
readers are eagerly awaiting the Motherpeace Tarot Playbook,
THE a work sure to carry on the tradition of the Motherpeace Tarot
MOTHERPEACE Deck and Motherpeace: 4 Way to the Goddess in the rapidly
growing women’s spirituality market. 206 pages, illustrated,
TAROT plastic'comb binding, 0-914728-53-9, $9.95. July.
PLAYBOOK WINGBOW PRESS offers 45% discount for pre-publication
orders of ten copies or more. To receive a Motherpeace Tarot Playbook coupon
and other ordering information, call Bookpeople’s order department (toll-free
numbers at the bottom of this ad). Remember, this offer expires June 15, 1986
and you must use the coupon for the special discount!
HEARTS OPEN WIDE (Pam Wellish & Susan Root, editors)
Mothers and midwives relate their experiences of pregnancy and giving birth: a
unique collection, and a must for every store’s Health /Childbirth section.
224 pages, illustrated, 0-914728-54-7, $9.95. September.
Wingbow Press will be at Booth 125 at the ABA.
BOOKPEOPLE is the world’s leading distributor of women’s independent
publishing. We offer the books and services that provide a valuable resource
for women’s bookselling throughout North America - and we can help you!
For account information and catalogs, call Bookpeople’s order department:
(800) 624-4466 from California; (800) 227-1516 from the Continental U.S.;
(415) 549-3030 from Canada.
Bookpeople will be at Booth 1771-3 at the ABA.
BOOKPEOPLE / 2929 Fifth Street / Berkeley, California 94710
Volume 8 Number 5 3 April/May 1986
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:36:54 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms","['0-914728-53-9', '0-914728-54-7']"
6,"The Feminist Bookstore News
Dear FBN, Dear Carol and FBN,
The interview with Lorna of Iowa City was both Wise Woman Books is alive and struggling to stay
moving and useful. How I wish there Had been something that way.
silmeilaar r wnhen Pter shPe ap rhao etn ne t ic nrra gs he e Pdv. r eIi s ssw ea s h d aal s so tplehaseed to would W we e l ca or me e d e ga uli in dg an cw e i t fh r o a m n au nm yb oe nr e o wf h op r co ab nle m ofs f ea rn d it.
illustrations in It's My Body! since I'm one of the The first is, and has been for longer than I like
peiolplle u whso t wrrotae ta wndi eo t roneld st sh oe m tmthahit s ltah eeta df i ir nstIg e d it oio nn ly t ro i d t ih ci un lk o u a sb lo yu t , u nth de e rf fac int a w nthe cna et t dT h.I e si itn sot ro e s, t t ilh lis
recommended the book with reservations. Hey, writing struggling with very old debts because of this.
letters can help! The second is that about nine months ago we were
I saw Color Purple and, with a couple quibbles,
loved it. Don't know about the Bay Area, but in the
Northeast it seems to be the new touchstone of
political; correctness...
Susanna Sturgis about
PO Box 39
West Tisbury, MA 02575
Dear Carol and FBN,
Re: Coming to Power debate -- very little flack.
(Ed note: Full Circle shelves CTP in their Abuse
Against Women section. See Lesbian Connection for
letters of complaint and response.) Flack-ers still
shop the store and are very nice. We try to answer all
comments. It is amazing that 100% of the S/M dykes who
have communicated with us are incest survivors.
Perhaps child learns to confuse pleasure/pain. It is
so in my case.
Mary
Full Circle Books
2205 Silver SE
Albuquerque NM 87106
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:36:54 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
7,"he Feminist Bookstore News
The result of this has been both negative and performing the same services as before. The bookstore,
positive. Our rent went up significantly, and that has though a much larger organization than when it was
'been difficult. However, the new space is very first started, remains incorporated as a non-profit
beautiful (triangular, with real wood paneling, lots business. Recent changes include the expansion of our
of window display space, etc.), there is parking Board of Directors to include community and staff
available, and it's a lot bigger. We have also added representation. The staff are working on a transition
gallery space. from manager-run day-to-day operations to a more
In our favor, we have the wonderful retail space, collective format. We now have an equalized pay
a full basement, part of which is being rented to a structure. We have also installed a new accounts
. feminist business, Glass Roots Crystal, as office payable system (sorry for any delayed payments!)
space, truly incredible volunteers, and a growing We consider the central role of the bookstore to
women's community that is very supportive of us. be the sharing and distribution of information on all
We are interested in doing fund-raisers, but we issues of concern to women. We hope that TWB can be an
are a for-profit organization. Does anyone have exemplary workplace, one which furnishes adequate
suggestions? One thing we are looking at is producing financial and health provisions to the women who work
concerts because no one is doing that up here. Sweet here and which operates as an organization where work
Honey was brought up at New Years for two short and responsibility are distributed evenly.
concerts which were packed mostly by people who had We'd like to take this opportunity to thank all
never heard of them. the women and men who have supported TWB over the
Finally, I want to acknowledge Barbara Grier of years. We are all working hard and we're excited about
Naiad publicly for being so supportive and helpful. the future, but we'll continue to need your support
Enclosed is a few dollars which I hope will at through this transition time.
least help off-set postage costs for FBN. We welcome any suggestions or queries you may
T Kha an tk h ryo yu n, Baptista have. In Solidarity,
Wise Woman iBooks the TWB Staff:
652 Forest Ave. Sharon Fernandez
Portland ME 04101. Jude Johnston
Beth McAuley
Marilyn McCallum
Wendy Wine
Dear FBN, 73 Harbord Street
After eleven years as managers of the Toronto Toronto, Ontario M5S 1G4
Women's Bookstore, Patti Kirk and Marie Prins have
left the store to pursue other endeavors (including
for Marie a second child, due in April). As the
remaining staff at Toronto Women's Bookstore, we thank
them for their hard work and wish them well. Toronto Women’s Bookstore
Despite personnel changes, it's business as usual
at TWB. We will of course stay in the same location, 73 Harbord Street -Toronto -Ontario M5S IG4
April/May 1986
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:36:54 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
8,"The Feminist Bookstore News
Dear FBN,
Here's information on the Second International 2nd INTERNATIONAL
Feminist Bookfair in Oslo. You might be on the mailing FEMINIST
list and have already received this information, but I
thought I'd send it along in case you hadn't.
I have just returned from the frozen north, which
actually was very invigorating. I worked on
translation and on my own next murder mystery, which
will be out next fall. It's called Sisters of the Road
by the way. It's about teenage prostitution -- it's a
bit more somber than Murder but still has lots of
jokes.
The trip was just generally wonderful, the best
I've had. Frankfurt (International Bookfair) was quite
amazing -- like Disneyland, only books. Much more
exciting than ABA -- and there turned out to be lots
of people I knew. Of course publishers were very
interested in our translation series and it was easy
to feel in a wheeler-dealer mood (everyone was) but I
think I did find some interesting stuff. Only time and
sample translations will tell,
Gerd Brantenberg (Egalia's Daughters) is going to B OSLO / 19.8.6
be coming to the States in late March/April to do
readings. We'll be in the Bay Area April 7-12. She's
Ca al nhs dio c a hgg oo as,i n g T f ao mrt oo on u tP so o r la et n sla bdn i ad nt, h eE c hu eg arae s in ste m , c a o .M a si Atn . sn e S Sa h up e so ' asl ni s , v Ge M r ry ia f d fi f is u no n n n, say id bests M elo lr ee r n e tw hs i? s C o wra i n S ta en rde ..l . . h a Rs i b ge hen t s wou ir s es u r wpr eis 've e sold
recently to (Seal Press collective member) Sally Things That Divide Us to Sheba in England and Early
Brunsman recalling Gerd at the London book fair, Spring to the Women's Press. Women's Press is also
""She's one of those lesbians who's so...so lesbian."" putting out Valley of the Moon. And most
Hnum. satisfactorily, sales of Ambitious Women have
definitely increased with the new cover. We've sold
We're moving March 1. To wonderful light and airy 1,200 in five months, compared to Spinsters' sales of
offices under the Seattle Women's Gym and Lesbian about 200 in January to August of 1985. Covers do
Resource Center, Our dank dark warehouse will stay help!
where it is. I expect things to be a bit confusing for Barbara Wilson
a while. But there are many advantages (2 lines, Seal Press
phones!) (Fresh air!) so that will pull us through. 312 S. Washington
New address is 500 East Pike, Seattle WA 98122. Seattle WA 98104
April/May 1986 Volume 8 Number 5
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:36:54 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
9,"The Feminist Bookstore News
The Gertrude Stein Memorial Bookshop is an all- the envelope). Recently we expanded our hours (we
volunteer, nonprofit store run by a collective of 10 are still only open 15 hours per week) and have been
women, with help from a loosely-knit group of 10-20 doing a lot of programming in the store (including a
""friends of the bookshop."" We began as a floating visit from May Sarton). Our obvious goal is to not
‚bookstore in 1983 with a loan of $1000 from one of be all-volunteer (!) and to expand our hours and our
our members to establish an inventory. In November presence in the city. It will take a lot of
1984 we moved into our current space, a really fundraising to reach that goal.
charming three-room storefront with built-in
shelves, display case and an enclosed courtyard out
back. Thanks to lots of nest-building energy on the
part of our friends, the store is well-furnished and
very comfortable. During the opening month we did a
fundraising drive and raised about $1500. Since then
we have received a loan of $1000. So you can see our
equity is really sweat equity.
We received a grant from our local Lambda
Foundation to produce a Gertrude Stein poster,
celebrating our first anniversary in the store anđd,
of course, Gertrude herself who was born in
Pittsburgh. With the help of Elaine Gill 3t The
a photograph of Gertrude Stein by Carl Van Vechten.
The photograph we chose is rarely seen: Gertrude
relaxing in a chaise lounge with her dogs Pepe and
Basket, at Bilignin, 1934. The posters are designed
by a lesbian graphic artist, printed in two colors
on quality stock, 18 x 24. We are selling them for
$10 (including postage and sales tax).
We'd like to offer these to women booksellers, One unsolicited rave review on Booklog from Neil
at Category Six in Denver: ""We've got Booklog up and
editors and publishers as a way of asking support going. It's absolutely marvelous. It's fantastic. It's
and encouragement for our little store, as well as a amazing how little time it really takes to post the
way of making our contribution to women's culture. sales. Took us three months to enter the data and
We have no immediate plans to wholesale the poster we've been flying ever since. It was really worth the
to other stores, and we're not sure that other investment and we'd recommend it to anyone who wants
stores would want to carry a poster with our store's to do it. How did we finance it? We got a huge tax
name on it. But if anyone has any interest in that, return. I discovered that our accountant had computed
please do contact us. our taxes on the retail value of our inventory instead
Individual orders for posters may be sent to of the wholesale value...needless to say we have a new
the above address (write: ""poster"" on the outside of accountant! And a huge tax refund. And Booklog.
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:36:54 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
10,"The Feminist Bookstore News
Joan Pinkvoss in years to come. We hope you will share in the
HISTORY & Sherry Thomas Pex rc init te m he in stt o r w y.e Wfe ee l w a et l c ot mur en i yng ou ra n to hth ouer g h p tsa g e a n din i nW vo itm e e n y o uin
1895 and 1986 have seen, and will see, enormous to come visit us in our new, cheery warehouse.
changes for both Spinsters and Aunt Lute.
Sherry Thomas acquired Spinsters Ink in 1982 from ABA
its founders, Maureen Brady and Judith McDaniel. In Those of you attending the ABA in New Orleans
three years, with staunch support from several other will have a chance to talk with both Joan and Sherry
women, she build a list of five books into seventeen about the new company and our future directions. We
titles, greatly diversifying the issues and voices expect to have 28 books in print by the Fall and look
represented. In 1985, Spinsters also began producing forward to discussing our new titles with you.
the work of contemporary women artists in the form of
notecards and covers for blank books. Then, in FOR THOSE NOT NEW ORLEANS BOUND
November of 1985, Spinsters moved her offices, books Just as Spinsters did last year, we will be
and paperclips to a warehouse space where there is extending our ABA special discounts to those who will
room for the type of energetic expansion this merger not be able to make the convention. We will be mailing
prami ses. those rates to you in May, on a one-time order form,
Aunt Lute was formed in 1982 by Barb Wieser and return due by June 15.
Joan Pinkvoss, members of the founding collective of We are eager to work with bookstores in the most
the Iowa City Women's Press, in order to lend economic effective and mutually advantageous way. We missed not
support to the Press and to continue its original having meetings this year between bookstores and
intention to publish books. Aunt Lute bought the publishers at the 1985 WIP and hope we can begin to
Press' two skills manuals and, in three years of have more direct contact.
unpaid labor, produced five more books.
Iowa City Women's Press closed this past summer. USEFUL INFORMATION
(See FBN 8:4) That same summer, Barb Wieser left Iowa Spinsters mailing address will remain PO Box
City to seek adventure on the West Coast and, of 410687, San Francisco CA 94141. Deliveries and returns
course, in the Northern wilds. Joan was left to choose should be shipped to 223 Mississippi, SF 94107.
between keeping her electrical company and giving up As of July I, all Aunt Lute mail and deliveries
Aunt Lute or keeping Aunt Lute and starving to death should bypass Iowa (not without some sadness) and come
in Iowa's fading economy. Luckily, Sherry, expanding tLo uthte e a bo voe r ad S d press ishneso. s uA tl ell d rco srr eb sp aeon dde dnc re e f sor s eA dun t to
in giant steps, needed another fulltime woman to share
Spinsters' fate. And so the merger was born. Spinsters/Aunt Lute Book Company.
Our discounts: BOOKS: STOP orders -- 40%. 2-4
WHY WE'RE EXCITED books -- 20%. 5-49 books -- 40%. 50+ books -- 45%.
This merger is a consolidation in the best sense Textbook Orders -- 20%.
of the word. It brings together two successful NOTECARDS AND BLANK BOOKS: 2-4 dozen cards or 2-4
feminist and lesbian-feminist publishing businesses-- journals or 2-4 combination cards and journals -- 20%.
strong in esdkitiolrliasl and each with a clear 5+ dozen cards or 5+ journals or 5+ combination cards
vision of its goals. It brings together a complement and journals -- 50%.
of books -- many of them groundbreaking, all of the COMBINED BOOK/NOTECARD/BLANK BOOK ORDERS: Minimum
intent on increasing the quality of women's lives. 10 books will bring a 20% card/journal order to 50%.
And, finally, the merger consolidates a commitment to Invoices unpaid 90 days after invoice date will
pursuing vital books for diverse women's communities be charged at 100% retail.
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 17:36:54 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
