ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
0-939558-10-6,"Comiendo Lumbre / Eating Fire (mazorca Series, 4) (english And Spanish Edition)",Gina Valdes,Bilingual Review Pr,62.0,1986,"American poetry--Mexican American authors, American poetry--Women authors, PS3572.A386 C6 1986",Paperback,Where You From? -- Llegaba El Domingo -- Sunday Arrived -- Buscando Una Casa Nueva -- Searching For A New House -- A Mi Hermana -- To My Sister -- Between Two Worlds -- Cuando Venían A Nuestra Casa -- When They Came To Our House -- Mi Mamá Cose Blusas -- My Mother Sews Blouses – La Lotería --the Lottery -- Lamparas De Manzanilla -- Manzanita Lamps -- La Pelota Azul -- The Blue Ball -- Curaciónes -- Healings – Verano -- Summer -- Usted (vuestra Merced) -- Lo Necesario -- Necessities -- Nirvana -- Nirvana -- En Mi Casa -- At My House -- Koh -- Koh -- Comiendo Lumbre -- Eating Fire -- Muerto De Paz -- Peace Corpse -- Después Del Recital -- After The Reading -- Quemándonos Juntos -- Burning Together -- Ser Radiante -- Radiant Being -- Opresión Creativa -- Creative Oppression -- Working Women -- Quiero Escribir Un Poema De Amor -- I Want To Write A Love Poem -- Las Manos -- The Hands -- Author's Bio. Gina Valdès. English And Spanish.,en,,62 p. ; 22 cm.,5.0,https://images.isbndb.com/covers/81/00/9780939558100.jpg,Success,12,9.3.4
0-87546-099-2,A Dialogue on Comparable Worth,"Gold, Michael Evan",Cornell University Press,120.0,1983-06-01,Pay Equity,Paperback,,en,1,"Height: 8.25 Inches, Length: 5.5 Inches, Weight: 1.13317602668 Pounds, Width: 0.5 Inches",19.95,https://images.isbndb.com/covers/09/94/9780875460994.jpg,Success,41,9.3.4
0-8229-5384-6,Cold Comfort (Pitt Poetry Series),"Anderson, Maggie",University of Pittsburgh Press,80.0,1986-10-15,,Paperback,Maggie Anderson.,en,1,"Height: 8 Inches, Length: 5.5 Inches, Weight: 1.01 Pounds, Width: 0.4 Inches",0.0,https://images.isbndb.com/covers/38/45/9780822953845.jpg,Success,54,9.3.4
0-935834-51-6,Truth About Women: How Women Can Advance the World,"Bray, Caolyn H.",Rainbow Books,141.0,1986,"Women, Psychology, Feminism, Sex Role",Paperback,,en,First Edition,,8.5,https://images.isbndb.com/covers/45/12/9780935834512.jpg,Success,82,9.3.4
0-934770-46-8,The Last of the Menu Girls,"Chavez, Denise",Arte Publico Pr,190.0,1986,,Paperback,,en,1,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.54895103238 Pounds, Width: 0.5 Inches",11.95,https://images.isbndb.com/covers/04/60/9780934770460.jpg,Success,80,9.3.4
0-87546-114-X,Women Workers in Fifteen Countries: Essays in Honor of Alice Hanson Cook,"Farley, Jennie",ILR Press,224.0,1985,"Women & Employment, Women's Rights, Women & Employment - General & Miscellaneous",Paperback,,en,First Edition,,0.0,https://images.isbndb.com/covers/11/44/9780875461144.jpg,Success,41,9.3.4
0-934770-40-9,The Moths and Other Stories,"Viramontes, Helena",Arte Publico Press,118.0,1985-12,"Mexican American women, Mexican American women--Fiction",Paperback,Introduction / By Yvonne Yarbo-bejarano -- The Moths -- Growing -- Birthday -- The Broken Web -- The Cariboo Cafe -- The Long Reconciliation -- Snapshots -- Neighbors. Helena Maria Viramontes. Stories Originally Published In Various Periodicals.,en,4th,"Height: 8.48 Inches, Length: 0.35 Inches, Weight: 0.35 Pounds, Width: 5.4 Inches",0.0,https://images.isbndb.com/covers/04/08/9780934770408.jpg,Success,80,9.3.4
0-292-79029-5,"Women of the Left Bank: Paris, 1900-1940","Benstock, Shari",University of Texas Press,518.0,1986,,Hardcover,"<p>This ambitious historical, biographical, and critical study has taken its place among the foremost works of literary criticism. Maurice Beebe calls it ""a distinguished contribution to modern literary history."" Jane Marcus hails it as ""the first serious literary history of the period and its women writers, making along the way no small contribution to our understanding of the relationships between women artists and their male counterparts, from Henry James to Hemingway, Joyce, Picasso, and Pound.""</p>


                        <p>A fascinating exploration of the lives and works of two dozen American, English, and French women, whose talent helped shape the Paris expatriate experience in this century's early years.
</p>",en,First Edition,"Height: 9.75 Inches, Length: 6.5 Inches, Weight: 2.44933573082 Pounds, Width: 1.5 Inches",32.95,https://images.isbndb.com/covers/02/92/9780292790292.jpg,Success,43,9.3.4
0-8229-3542-2,Cold Comfort (Pitt Poetry Series),"Anderson, Maggie",Univ of Pittsburgh Pr,67.0,1987-01,,Hardcover,Maggie Anderson.,en,n,"Height: 8.5 Inches, Length: 6 Inches, Weight: 0.6 Pounds, Width: 0.5 Inches",19.95,https://images.isbndb.com/covers/54/21/9780822935421.jpg,Success,54,9.3.4
0-934770-20-4,The House on Mango Street,"Cisneros, Sandra",Houston: Arte Publico Press,103.0,1986,,Paperback,,en,First Edition,"Height: 0 Inches, Length: 0 Inches, Weight: 0.35 Pounds, Width: 0 Inches",0.0,https://images.isbndb.com/covers/02/00/9780934770200.jpg,Success,80,9.3.4
0-934770-62-X,El Bronx Remembered: A Novella and Stories,"Mohr, Nicholasa",Arte Publico Press,179.0,1986-12,"Children's Fiction, People & Places",Paperback,,en,2nd,Weight: 1.01 Pounds,0.0,https://images.isbndb.com/covers/06/20/9780934770620.jpg,Success,80,9.3.4
21 33 46 -0 9,,,,,,,,,,,,,,Error,91,9.3.4
0-934411-03-4,Death Strip,"Kirkland, Benita",Edward William Pub Co,150.0,1986,"Fiction, General",Paperback,,en,First Edition,"Height: 8.661417314 Inches, Length: 5.511811018 Inches, Width: 0.787401574 Inches",0.0,https://images.isbndb.com/covers/10/35/9780934411035.jpg,Success,24,9.3.4
