PageNumber,Text,ISBNs
1,"Feminist Bookstore News
Source: Reveal Digital, 05-01-1994
Contributed by: Carol Seajay; Margaret Phillips; Colleen Ernst; Carole Beu; Saralyn Chesnut;
Amanda C. Gable; Jamie Lee Evans; Dawn L. Martin; Bernard E. Rath; Tee A. Corinne;
Dorothy Seaton; Jana Williams; Roz Warren; Nan Cinnater; Richard Labonte; Cathy
Andrews; ""Lynette D'Amico""; Mev Miller; Karen Axness; Dorothy Holland; Mary Ellen
Kavanaugh; Sandi Torkildson; Nel Ward; Laura Zimmerman; Nel Ward
Stable URL: https://www.jstor.org/stable/community.28036360
Licenses: Creative Commons: Attribution-NonCommercial
JSTOR is a not-for-profit service that helps scholars, researchers, and students discover, use, and build upon a wide
range of content in a trusted digital archive. We use information technology and tools to increase productivity and
facilitate new forms of scholarship. For more information about JSTOR, please contact support@jstor.org.
This item is openly available as part of an Open JSTOR Collection.
For terms of use, please refer to our Terms & Conditions at https://about.jstor.org/terms/#whats-in-jstor
Reveal Digital is collaborating with JSTOR to digitize, preserve and extend access to Reveal Digital
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:43:17 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
2,"May/June 1994 Volume 17 Number 1
Femina Serial Am F32973 5/111 9Y
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:43:17 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
3,"This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:43:17 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
4,"BERELER m Feminist Bookstore News
0.0. O O0 O00100
In addition to traveling via mail to all of our in the Bay Area and want to be the first on your
regular subscribers, this issue will also go the block to read FBN, this opportunity is for you! We
American Booksellers Convention in Los Angeles also need more contributors to Publisher Row —
and to the Sixth (!) International Feminist Book Fair the job consists of “adopting” one or a few main-
in Melbourne. If you're picking up FBN for the first stream publishers and culling their catalogs for
time at one of these events, you'll find subscription essential titles. If you're interested, call Dawn or
information on page 134. Publishers, please call, me, or talk to us at ABA.
write or fax for advertising information. Look for Susan Buie, FBN’s administrative assistant and
reports on the ABA Convention in the August advertising manager, is going off to graduate
issue. We'll cover the International Feminist Book school in the fall, so we're hiring an administrative
Fair in September. assistant to start in August and hope to add a part-
The state of the bookselling industry is the topic time program development position in the fall. If
on everyone's mind. What’s happening to indepen- you're interested in either job — or know the per-
dent bookstores as the chains grow ever-larger and fect person for us, please give us a call and we'll
how does that impact the publishing industry and send job descriptions.
the books that are (or aren't) published? How do Yours in spreading the words,
these changes impact feminist bookstores? Feminist Carol Seajay
publishers? It’s a curious and challenging time. All
of these questions will be discussed in depth at
ABA and IFBF. One thing we know for sure: the FBN Deadlines
need for feminist stores is still strongly felt. More
feminist bookstores are opening now than at any
time H s igin hc le ig ht th se o7 f0 s t h(s ie s e i sF sB uN e iV n1 cl6 u d # e 6 a). look at the 1994 Sidelines Issue
changes at Aunt Lute, a profile of Charis Books, the
Atlanta feminist bookstore (including photos of the Call Now!
building they just bought, remodeled and moved
into), a look at feminist bookselling in New Zealand,
and Part I of our Women of Color Booklist featuring _ August Issue
titles from small and feminist presses. Many thanks June 10
to everyone who contributed to this issue, and espe-
cially to our regular contributors, all of whom got
their pieces in on time or early. I think this is a first Fall Announcements Issue
— and we loved it. We could get used to it! Another
first: we filled our ad space before reservation dead- _September/October
line and actually had to turn away ads.
But we do have room for some additional
proofreaders. It’s not a paid position, but if you live
Volume 17 Number 1 May/June 1994
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:43:17 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
5,"BY H AAUNAANLI-IS
LIGHT IN THE CREVICE NATALIE ON THE Photo by Mel Rosenthal
NEVER SEEN STREET COLOR DOCUMENTARY
by Haunani-Kay Trask by Ann Nietzke by Lu Ann Keener
The first book of poetry by an An inspiring testimony of effecting This remarkable collection of poetry
indigenous Hawaiian to be pub- change, Natalie on the Street is a exquisitely investigates our relation-
lished in North America, Light in the personal record of author Ann ships with the natural world—
Crevice Never Seen is a native Nietzke’s relationship with an elderly especially animals—while exploring
woman's impassioned and lyrical homeless woman. the dominant role of humans and
account of her land and people. There is no simple way, no easy or the endangerment of all life.
Trask’s poems range from lament uncomplicated way, to look into Keener explores not only the
to celebration, from exposé to the face of a filthy old woman on blood tie among humans, but
exorcism. — Joseph Bruchac the street. We are frightened, or between the human and animal
pI o ea td m wir he o t wh ais s f be or ro nc i o wu is t h a n ed y eg s r a ac ne dful s na od td e rn ee sd e n o tfr u lr , e p ae nl dle d t, h ef ne e l w eg u i al vt ey r t if cw oo llr el cd t. i o T nh . i s — i s M a a x im neo v i Kn ug m if nirst
heart of fire. — Joy Harjo our eyes. — from the book Poetry, Women's Studies, Ecology, Nature.
Poetry, W o $ $m 1 21 1e . .9n 95' 5s P up cS ba lt p lou ite cd hr ai t, ,e is o, I I n S S B BN N N da at t i 0v 0 e- :-e 9 9 3 3 JS 4 4 ut 9 9u n7 7d e1 1i - -e 3 3 1s 7 8, 9 - - 9 4 21 42 .8 pages. Ho m $ $1e 24l 4.e 9 .s 95s 5 n P e up cs ba ls p o l, i e t c r h aA , , t g i oi I In nS SBg B N, N d a W t0 0 e-o - : 9 9m 3 3 N4e 4 on 9 9 v7' 7s .1 1 - -4S 14t 1 92u - 9-2d 0 4ies. $ $1 21 1.9 .95 5 P c up lo bap t lihe cr , a , t iI oSI nS BB N N d a0 t0 - e9- : 9 3 3 4 N4 9 o9 7 v7 1 .1 - 4- 3 109 9-4- 90 4
May/June 1994 Volume 17 Number 1
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:43:17 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",['109 9-4- 90 4']
6,"Feminist Bookstore News
CONTENTS
FBN
Editor & Publisher
ARTICLES
Carol Seajay ABA Convention Watch 1994 13
Editorial Assistant
Charis Books: Flourishing and Expanding ..….………………...….….….……. 27
Dawn Lundy Martin Theory and Practice at Aunt Lute... 35
Advertising Women of Color Booklist... 41
Susan Buie Five Years in New Zealand....…….…....…..….…... >... 23
Columnists Bookstore NeWs........... adir e 17
Art Books Tee Corinne Women’s Music: Spring Releases ...….….............. 85
Canadian Books Jana Williams NGWS... seara siasraetae aeiae 7
Canadian Books Dorothy Seaton CD-ROM Market Discovers Women - Little Sisters
Gay Men’s Literature Richard Labonte Court Date/Canada Customs • Parallax Distribution
Humor Roz Warren Represents Gay/Lesbian/Femininst Pubs at Frankfort
Mainstream Publishers Sandi Torkildson Book Fair e SBÀ Proposes Repeal of Opinion Molder
Mysteries Nan Cinnater LP io gli hc ty / S Fe D Cr oe na fm ers e na cn ed Swords Vandalized • A Different
Science Fiction Susanna Sturgis
University Presses Mev Miller DEPARTMENTS
Proofreading AdVSISİNg. INdeX iake 134
Pat Kelso Back to Press & Other Good News... 55
Classified: Ads... 135
Cover Art DLeeadelrinse.s.... . 51
6th International Feminist Book Fair
Feminist Bookstore News
2 P3 O5 8 B oM xa r 8k 8e 2t 5 5S 4t. Subscription Information ............ >. 133
San Francisco CA 94188 TTheyI IWVentA T.ha.t.- A- Waayi e ...i...a....a.... ... . 5>...3 57
415-626-1556 FAX: 415-626-8970
Printed in USA Writing Wanted... ee 59
FEMINIST BOOKSTORE NEWS is the communications
v r Ue eh a .ci Shc .l ee s af 5o n0r 0 d t fh ee m C i ai nn nif s ao t r d m a ana dl an f se e t mw i wo nr isk et l- lio n f c l aif n se e m d i f n b ei os mt o k sb ito noo r ik e ss st t o ir n e b s . t o hF oeB kN sellers in TAHE B OBOKOS OKS... iia 61
England, Europe, Australia, New Zealand, India and Japan. Canadian BOOKS... 63
Librarians, women's studies teachers, book reviewers, pub-
lishers and feminist bibliophiles comprise the remainder of
the subscribers. Gay Men's Lilerature.............. 79
SaL r uiee gtct nhet ie eovr dres sd, . a r a t tr h it cei l c e l ste es n, a nt hn d e w o lefs t t ei tt rhe sem as m r eoa n n td t hh e a n p rn r eeo scu pen od nc ie n sm ig b e i ln p itt u ys b l is och fao t u io tld hn e. be H Mum Yor S I B EO rO ik es s . ... ... .> .. .:. .. . .é e a e i aen e 7 6 35
FEMINIST BOOKSTORE NEWS (ISSN: 0741-6555) is pub- OUr OWN Presses... iise 89
l NSis Eeh Wped St e m fm oo rn b t $he 7lr 0y , pi n era nJ yad en a u r a rN py eo, rv M e sa tmr oc rh eb , e a M tr a 2y 3,b 5 8yJ u Ml yF a, r E k A eM tu g I SuN ts .t ,I, S ST an BOOKSTORE P Su cb ieli nsh ce er s : F R icO tW io n - .i .a .a i 6 1 915
FFrranacnisccoi,s cCoA, 9 4C11A4.. S ePcoOndS-TClMassA PSoTstEagRe : p aiPd l eaat s Sea n send address Fhe Small Presses... rs 101
changes to FEMINIST BOOKSTORE NEWS, PO Box
882554, San Francisco, CA 94188-2554. University Presses... 111
8 May/June 1994
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:43:17 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
7,"Feminist Bookstore News
bestselling author of
The Mists of Avalo
John Jude Palencar
May/June 1994 4 Volume 17 Number 1
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:43:17 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
8,"Feminist Bookstore News
Northern Women’s Bookstore ticket sales not be given to her, but that it be set
65 South Court St. aside for one-time grants. They will be given to
Thunder Bay ONT P7B 2X2 those seeking to build sisterhood and brotherhood
Dear FBN, in Greater Cincinnati by encouraging education
We had a wonderful Anniversary Party — lots and action that increase human rights for gay, les-
of great conversation, camaraderie, and even some bian and bisexual persons.
sales. The wonderful warm “strokes” I got from These are a few of the tangibles. What was
customers, friends and colleagues were really probably the most wonderful aspect of the entire
affirming and give me new energy. I'll send pic- visit was the energy of Dr. Estés. This cannot be put
tures of the turn out. Then last Tuesday we had into words. Her energy, her presence, is now and
Jeannette Armstrong (Looking at the Words of Our forever a part of Crazy Ladies Bookstore. For all of
People: First Nations Analysis of Literature and Slash) us, th is iCs the obest l parlt eof alel.n Ernst O
read. It was a truly wonderful evening.
Margaret Phillips
Crazy Ladies Bookstore TO MAKE A HOUSE A HOME
4039 Hamilton Ave. FOUR GENERATIONS OF AMERICAN WOMEN
Cincinnati OH 45223 AND THE HOUSES THEY LIVED IN
Dear FBN,
Sunday, February 27, 1994 was a banner day for Jane Davison and Lesley Davison
Crazy Ladies Bookstore. Dr. Clarissa Pinkola Estés,
author of Women Who Run With the Wolves signed
books at our store for two hours in the afternoon “ I D r ae vad i s oJ nan ’e s book
and that evening gave a 2 hour uninterrupted talk and loved it...
Ct io n c in1 n3 a0 ti0 . people at the Emery Theatre here in I w ia tm h ga rg aa ti in t u df eil l e fd or
Dr. Estés had expressed interest in comiñg to its intelligence
Cincinnati after the human rights ordinance was \ and wit and
defeated here last November. Through the diligent A generosity.”
work of some extraordinary women, in particular --Joan Didion
Janice Jackson and Megan Richards, Dr. Estés’ visit
became a reality.
Counting the benefits of this visit is very diffi-
cult as there were so, so many. We sold tons of
books and tapes. People who never heard of the
store came and have returned since then.
Dr. Estés asked that the money realized from
May/June 1994
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:43:17 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
9,"Feminist Bookstore News
CHRYSTOS
Inaugural (1994) winner of the Audre Lorde International Poetry Competition.
In Her I Am, a special edition of erotic poetry 0-88974-033-x $12.00
Not Vanishing, her acclaimed first collection 0-88974-015-1 $10.95
Dream On, resiliant and celebratory poems 0-88974-029-1 $11.95
KISS & TELL
Her Tongue On My Theory, images, essays and lesbian sex fantasies
(new) 0-88975-058-5 $16.95
Drawing the Line, a postcard book of lesbian sexual imagery
0-88974-030-5 $14.95
SKY LEE
Bellydancer, stories of strippers, lesbians, and other subversives
(forthcoming) 0-88974-039-9 $16.95
MARUSYA BOCIURKIW
The Woman Who Loved Airports, short fiction layered with metaphors
and lust (new) 0-88974-035-6 $12.95
MAKEDA SILVERA
Her Head a Village, stories that speak eloquently of Black women’s lives
(new) 0-88974-056-9 $12.95
SHANI MOOTOO
Out on Main Street, vibrant stories told with wit and wisdom
0-88974-052-6 $12.95
Distributed in the U.S, by InBook; in Canada by General Publishing; in the U.K. by Turnaround.
6 Volume 17 Number 1
May/June 1994
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:43:17 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms","['0-88974-033-x', '0-88974-015-1', '0-88974-029-1', '0-88975-058-5', '0-88974-030-5', '0-88974-039-9', '0-88974-035-6', '0-88974-056-9', '0-88974-052-6']"
10,"Feminist Bookstore News
Pilgrim: their advisory board includes New Words’
Gilda Bruckman and a number of other feminists.
Pilgrim is soliciting suggestions for additional
titles and projects and is particularly interested in
Women make up 55% of the population but, hearing from scholars in women’s studies, African
buy only 6% of the CD-ROMs — in part because American studies, women’s health, childcare and
men tend to be proprietary about new technology development, and from people interested in invest-
and in part because little has been marketed that is ing in or expanding the access to the multimedia
of specific interest to women. market. Send suggestions to Editorial Advisory
That’s about to change. Board, Pilgrim New Media, 955 Massachusetts
Pilgrim New Media is a new CD-ROM publish- Ave., Cambridge MA 02139. Pilgrim can also be
er that will specialize in producing multimedia ref- reached at 617-491-7660 (voice), 617-491-6415 (fax),
erence works of particular interest to women and pilgrim @world.std.com (Internet), 71175,2217
parents. Their first publication, Her Heritage: A (Compuserve) or PLGRM (AppleLink). Advance
Biographical Encyclopedia of Famous Women will be orders for the library edition of Her Heritage may be
published in a library edition this spring. A book- placed at the same addresses. —CSsS O
store/consumer edition will be available later this
y Be la or o. mOt sh be ur r t yit l es G uon id eth e tir o a g Wen od ma i en ncl ’u sd e L T ith ee rature, The SBA Proposes Repeal _
Multimedia Treasury of Women’s Firsts, The New _of Opinion Molder Policy
Quotable Woman, and Our Bodies, Ourselves. Titles _ — Support Needed —
incorporate text, art, photos, video sequences and
audio clips and will be available in both library and It’s time to get out the old pen and paper and
consumer editions at a list price of $49.95. The write a letter:
library edition of Her Heritage will be available at a The Small Business Administration, thanks to a
special pre-publication price of $39.95 until May 31. lot of work inside and outside the SBA, some
Bookstore distribution information will be turnover in SBA senior staff, and the end of the
announced in Summer 1994. Reagan/ Bush administrations, has written a proposal
Pilgrim titles require a CD-ROM drive, a VGA- to repeal its “media or opinion molder policy rule.”
resolution color monitor, and a sound card, and This policy, written during the McCarthy era
will run on PCs equipped with Windows or Apple when the SBA was founded, prevents the SBA from
Macintosh computers. With an installed base of lending money or otherwise aiding small business-
nearly 10 million CD-ROM drives and with CD- es that might be engaged in the “creation, origina-
ROM drives now running at about $200, it’s reason- tion, expression, dissemination, propagation or dis-
able to assume that not only is there a market for tribution of ideas, values, thoughts, opinions or
women-oriented CD-ROM products, but that there similar intellectual property, regardless of medium,
will be demand for them in women’s bookstores. form, or content.”
And we can expect some good feminist bookstore The regulations that implement the policy pro-
titles and informed distribution policies from vide a very broad list of ineligible enterprises which
May/June 1994
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:43:17 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
