PageNumber,Text,ISBNs
1,"Feminist Bookstore News
Source: Reveal Digital, 09-01-1994
Contributed by: Carol Seajay; Sheryl McInnes; Linda S. McGann; Audrey J. May; Dawn
Lundy Martin; Dorothy Holland; Jana Williams; Dorothy Seaton; Roz Warren; Nan
Cinnater; Cathy Andrews; Tee Corinne; Jamie Lee Evans; Irene Reti; Mev Miller; Sandi
Torkildson; Karen Axness; Patty Callaghan; Mary Ellen Kavanaugh; Linda Bryant
Stable URL: https://www.jstor.org/stable/community.28036363
Licenses: Creative Commons: Attribution-NonCommercial
JSTOR is a not-for-profit service that helps scholars, researchers, and students discover, use, and build upon a wide
range of content in a trusted digital archive. We use information technology and tools to increase productivity and
facilitate new forms of scholarship. For more information about JSTOR, please contact support@jstor.org.
This item is openly available as part of an Open JSTOR Collection.
For terms of use, please refer to our Terms & Conditions at https://about.jstor.org/terms/#whats-in-jstor
Reveal Digital is collaborating with JSTOR to digitize, preserve and extend access to Reveal Digital
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:37:07 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
2,"s
L
SARANAN TS HN SN tak ZKA h a OVR AHNEN3 i aikaa 00kstore
VPIS ASE V N ei A
MINIMA TIES
PEA b
SENON AVA HN UBER N
URA REU MU RARS
ET Ty ar50 y
Fanll Annfounceements
September/October 1994 Voume 17 Number3
t ` Femina AA am si o
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:37:07 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
3,"FAYE MOSKOWITZ
Jewish to. appre cbiatee
Moskowitz’s work.
All you need is a mind,
‘a heart, a mother and
cı need for warmth
9J 0SBON 0- 80d70e-36r14-5
DISTRIBUTED BY FARRAR, SIRAUS & GIROUX - BEACON
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:37:07 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
4,"AEA Feminist Bookstore News
o
o
o
o
o
0.0 00 0
Australia was everything I had hoped it would trative assistant. FBN’s receptionist/administrative
be — a great Book Fair, exciting bookstores, and assistant position is also open again. Both positions
hours of intense and stimulating conversations with are now full-time. If you're looking for women-in-
„ new and old friends replete with insights and revela- print movement work and have skills in these areas,
tions. I came away believing more firmly than ever in give me a call to see if the positions are still open.
the work that we are all doing and with a wonderful Last, but not least, this issue marks the tenth
sense of well-being that refuses to be ruffled no matter anniversary of Susanna Sturgis’ f/sf column —
what else comes along. For all that it was a working FBN'’s first and longest-running regular feature. Her
trip, I feel like I've been away on a wonderful vacation. column in this issue features some wonderful early
This issue includes a preliminary report on the FBN and women-in-print history. Take a look even if
6th International Feminist Book Fair and a “Tour of you never read science fiction. Thanks, Susanna! And
Aussie Feminist Bookstores.” Next issue will include congratulations!
more Book Fair coverage — news of more presses, of Thanks, too, to Carole London for proof reading
books launched and, hopefully, some reports from this issue.
other women who participated in the Fair. Yours in spreading the words,
The next issue will also be our ninth annual Carol Seajay
University Press issue. If you have news, articles, or
suggestions for articles, please give me a call right
away as we'll be starting work on it in mid-September. FBN Deadlines
This year our theme issue will focus on Sports,
Fitness and Health. As with our travel issue last
year, we're looking for articles, ideas, suggestions,
leads, and just plain conversation about how these November Issue
sections are doing, what the new trends are, what University Press Section
feminist bookstore workers (and publishers) are
doing regarding sports and fitness and how these September 16
issues impact our lives as book trade workers. (How
about a photo-essay featuring bookstore workers
doing healthy things in and outside the bookstore?) Sports, Fitness & Health
We'll be collecting information and ideas all fall and
will start serious work on the issue in November. January ‘95 Issue
I say “we” with a great deal of confidence and a November 18
bit of uncertainty, not knowing exactly who that
“we” will be. Between last issue and this, Dawn’s
partner was offered a financial aid package that Spring Announcements Issue
made graduate school in New York City irresistible,
and she and Dawn have set off for the Big Apple. So January 13
we're looking for a new editorial assistant/adminis-
Volume 17 Number 3 September/October 1994
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:37:07 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
5,"Еетіпівё ВооКѕіоге Меуу5
Г СО
фа
Воок ЅАг.Е$ ® От твивоттом, Імс.
У
Тне Веѕт ім ІмреРЕ№рЕМТ Рувиѕнинв
1045 Меѕідаїе Огіуе, Ѕиїїе 90 е Ѕаіпі Рои! М№ 55114-1065
Тһе Мехї Ѕїер
Р ® с О ЕОџі І Т ЕЕ Ого т В уШ п Ја Ее Аг, М У о Ѕ[ Мит Ае Ш Т Ои Мо !
| Јеап Ѕилаом/“ Ятеї гесомегу оок, Оиѓ гот Шпаег, Бесате опе ої е тоѕї міећу Іомей Бооке іп ће Іеєіап
есомегу тометелі. Іп Те Мех бер, Івєбіапх Іоок аі їе івѕиеѕ мтомпїло Іопочіегт гесомегу мії ћеогіфтеаі-
іпо ѕіогіе, пе мигіїпо, апа гому соигаде.
МоуетЬег е Рарећаск, 59.95 е 1-55583-264-4
ДУТИ 5 ство
МаѓаГіе оп #һе Ѕ$ігееї
Т . ву Амм Метке
З Коре їїої опе регсоп сап Атп а ехкрїесіу , рооїп ќи іуа һїоНпеѕіе, гѕотеейптеѕс зећо.скіпо рісіие ої һотеівзпеѕс іп Атегісо іаї ѕхотећом геКіпаіёѕ оше
Моуетћвег • Рарећаск, 514.95 (0-934971-41-2) • Напісоует, 524.95 (0-934971-42:0)
@ Тне Еснтн Моинтлін Рвеѕѕ
Ѕемеп Напіѕ, Ѕеуеп Неагіѕ
Ргоѕе апі Роетѕ
ву ЕштлвЕтн Моору
Ѕејесіеб мийпдз Бу оѓ їе посі ромегіиі Маме Атегісап уоісеѕ миіїпо Іобау. Сопіоіпх іп й епітеіу Напа /піо
Ѕопе, иіппег оғ ће Атегісап Воок Амагі. “ће Гоһом іп іе ітааіїїоп ої реоріеѕ мо һоме ипаегіоосі е ромеег
о опоиаде, апф їће ріасе оѓ а ровї, зіпдет,/іогуіеег аі їе сепіег ої е могіі.”— Јоу Наго
Ѕеріетвег е Рареаск, 513.95 (0-933377-30-4) е Нопісоует, 522.95 (0-93337-31-2)
ЅеріетЬег/Оскорег 1994 2 УоІште 17 МитЬег 3
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:37:07 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms","['1-55583-264-4', '0-934971-41-2', '0-933377-30-4']"
6,"Еетіпіѕ+ ВооКѕіоге Меугѕ
З Тине Еєміниѕт Рвез5 дт СМУ
Аиѕігаїіа Ғог Мотеп
Тгауе! апа Сиһиге
Е0ІТЕО ВУ ЅШЅАМ НАМТнОВМЕ Амо ВемАтЕ Конн
Те їтѕї їйіе іп ће пем. Ғеттіпієі Ртез Тоомеі Гог отеп Ѕеіез ргеѕепіз ЯАу-зеуеп Аиѕітооп ммотпеп опо іпзїбе
їпѓоптаїїоп пої омаїоћіе іп ѕіопбоі ігамеі Вок, апі роїпіз о гісі рогітаї: оі мотел Гуе “бомп ипіег” іобоу.
Ѕеріетвег • Раређаск, $17.95 • 1-55861-095-2
з
Шпсімії Маг
Тһе Ѕииддіе Веїмееп Віаск Меп апа Мотеп
ву ЕіЕ В. МЅнінстом
Ап їт-іерій Іоок іпіо !ће фемояіоїпо ѕііїе анісу геаоп Бећмееп Біоск теп апа осі ммотеп. Мозііпоіоп, а
ѕепіог ебіїог ої Ёѕелсе Модагіпе, іаКех геаііег іо е Топі пех, меге теп опа отеп мћо опсе Тоџоћї їодеїћ-
ег Тог ѕитиіуо! аге пом. ітаррекі іп а ітадіс ммаг міїћ опе апоћег.
Осіовег е Нагісомег, $21.95 • 1-879360-25-Х
С
Хь беврент“5 Тап, Нон Віѕк Воокѕ
Тере апі Еаїѕе Вотапсе$
ву Амд Іурід УебА
Мйіћ ені роєісћеѕ ої депге соп, Риегіо Вісап ммгіег Апа уіа Меда ехроѕеѕ їће ргеїепеіопѕ оЁ тосо Цап теп
опоі е іпйиепсеѕ оі 0.5. сиге їп іе ті соһесіїоп оё ћег ѕіоіес їо Ве ігапяіоіеі їпіо Епоіві.
ЅХеріетвег е Рареаск, 512.99 • 1-88742-272-6
Л Тививу Ноџѕе, Ривиѕневѕ
бРгееОп ЕМоМѓеһЅоо к, ВМіҮпіе г ВЈосАіМЕ Соорек
Фогіпд, міѕе, Весшіїіу мііеп, ћете і Јапе Соорег тові оідіпаі апі сотпреііпо миогі.. Тне ашіог о Ѕсавоііїло:
Ѕвіесіва Роет ехріогеѕ іе сопйїсі ої а мііїе Ѕошіћег һегїоде, м/һаї іё теап 1о Ве ап ооп отоп отібї,
іепоѕћір, пез, ап а Міїогу ресиїіайу Атегісап. “А могі ов таѕіегу.”— ої Вепісоће
Ѕеріетвег е Рареаск, 517.95 (0-88448-142-5) • Напісомет, 519.95 (0-88448-141-7)
Мотеп’ѕ Могсіѕ, Мотеп’ Ѕіогіеѕ
Ап Атегісап Оауоок
еото ву оі Ѕтик5 Ерсеву
А Ко тр е Впе ас бі ї е ѕд і — іо В36 и6 у о й мо і,у м о гї е м һи ео оз г Б гоу т а мт мо ои т е а пл о б е и ђп уі іо пі ой у с оҒ по мг ед по ії її ое пп ГА от ге г Њіса еп п м ідм іо т іе оп . е Е г оо ет ні ар па оп іі т у Ів а дїо е г ср . о ї Ій пі ес і, івх СҸгИееіппг е Мг оКгеоБлоіок,
Біодгорћеѕ апа ріоіодгарћь — ап еуе-ореліпо ассошпі оЁ уотапћооі” іпіеїдепсе, мії, опіі еїегтіпаоп Тот
Ње ефїїог оѓ Сўие Нег Тиб ау. СООРЕР
Осіовег е Нотісомег, $21.95 е 1-879360-25-Х г
кя Тімкем Рувшѕневѕ
5Іеерегѕ Маке
РОЕМ5 ВУ СлкоинЕ Кмох
Согопе Кпох і іН! таге роеі міо і Воій тогі апа депиїпеіу Ғиппу. Ату СІотпрін, миіїїпо аоші ЗІверегх Ике,
ѕауѕ: “Сопсегліпо о миогій ме ошо мме Кпемг Согоуп Кпох і міпѕоте, оіоптіпо, апі Магіоих. Тһеге ів авѕоіиіе-
Іу побофу Ке ег."" а
АиайаЫе Мои е Рарефоск, Ѕ11.00 • 0-943221-20Х
Уоште 17 МитьЬег З 3
ЅеріетЬег/ ОсіоЬег 1994
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:37:07 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms","['1-55861-095-2', '1-88742-272-6', '0-88448-142-5', '0-88448-141-7']"
7,"Feminist Bookstore News
STARDUST BOUND SISTER SAFETY PIN
A Novel by Karen Cadora A Novel by Lorrie Sprecher
Stardust Bound is Karen Cadora’s Sister Safety Pin, Lorrie Sprecher’s
lively, psychologically astute flight punk lesbian novel debut, captures
into the all-too-believable future. the in-your-face attitude of the 1980s
Quincy Alexander loves the punk scene. She flashes us into the
ks c it r na di r m os fe. t N ra on uo bdw le . Q Ba uus tt i r n a o c dn y eao r m d foy rie e ns dnis ’s’ t a n esc ei de n tc he at dw M ifo fe er l ral end nt y po if et c r e si g e or s f u hn t eog r e l ip f ea u .n zzd l e D oo uc t M ta hr etens as W p croe iw tn ied cr ay f l lu y lR o A rs ee m c o ei grs n i c ia a zn n ed a I nc ac udo tim a hn op rl i ps o oh e fe t d , t eta nn hd e
dd a aa at t ey t nn nh h ai dtn d ye i rg s f ta a rhw b cA a ieri t ia ns n ne ih n do dm d gd n is ae se o ro sn t en t b.d ut es e u s o r e d S t vh b eh ce ri r aee n ao d ll bo g e e n omss s q f te e u a y l ir r ti ea hv tc sj glo etek au a ed r t l schn ryo u. ye riiry -od y A u edt f a so i r w sh d oc wai a mog y nv oh ge m r e hi s rs ai e n no r ut shat hw c a h lt eaba h re ph t o re i fo u o o t i rn d d n q y r aA u b e ks i nae atc ee i moC wk n p c a l g sw ry al s gi o f eh w w aso ol l he er h d sa n o l beecr e ir dni aosn na t b u s i nl c sc a di a lh mnno ut el h e, bl db e a . t e tg lM Ie a v e Ba yn e tc ,h u dl hh as te senit r n u y Ig i d sw ne oe d omn h u m It de e- sr eoe a snt ’s es r o tsf P ap u t r “to wh mh enr of aee e ap ed v yuS ” ihi ,p nb po e ” al o gu p i sI e s ss ot k m l h e y pG e e mso u ptdn w bt se p , t l eu i w h ca n f ab a r o rtl c tr ei o y o w s l kl m -h e hwc f ve t oii ued c o v r tn lr e g h e be b o a a e ef ro t y l“ i ,eo e s e rdk a a ve or fs ev . rs e d i, l eu y tI w an r h w ti e a n t e r t N u g s l ec o r akw ae se na tdd d
p Qri use is n cw ya Tit i o n r eg n n f g o ar b g eh ete sr w . e inen a lo dv ee a d a ln yd c olo ny ta el st ty, a m len sud bs it a M n b e el ea tn iay qn u— e ti en tn e o —rw m fh aoa lt u ls s s ih b ne r e lai ocs v h e s u o wr fe ith b had e r li t e cr a hWtu ir lr de. i hti on og d , a b ho eu rt b t rh ee ak dv oio wle nn c ae n dof
of wits with UniTech, the techno- Iso’s hardcore younger sister Janie. institutionalization, her dislocation
oc s fr t a t r si tc u a rgw gg ao zr l il e nd g g t ao nhv de a r tn t hm ee w n ft i u. l t l uI t r e d i s e f aca ci ed oe f both the fate tT hh ine g bs u i tFt ru sioa stmt ei ro l y n .m ar ca rp oi bd il oy t i cb se c to om e fs o oa dny- Wa Es n eg na l d is ym h — i Rx ie ond s e- b a l b o f uo ud rl s— l t- sba l o os o pp d ee na k H e o tr p h i e o f w po air nld,
h fu im ca tn ii oty n. S t a wr id tu hs t a nB o u ecn od l o gis ic as l p e bc eu nl tat —iv lee an, vc zeo is rl mo or s,i n ig b n, r o ows ne nl f a- t na of f oi br ulm tu le aa wt i h o an ii ds r e, n t to M i t e ya lc a t n si y- he st trh ena gt t h .both marks her and shapes her
warm-hearted, and smart. can call her own. $ 8.95 paper ISBN 1-56341-048-6
Karen Cadora, a graduate On the wrong side of political $18.95 cloth ISBN 1-56341-049-4
student in Literature and Popular correctness, Sister Safety Pin intro- 5⁄2 x 8⁄2 102 pages
Culture at Stanford, used to study duces a wry, intelligent new voice, a September
Applied Physics. writer with an edge tinged with
sweetness.
$ 8.95 paper ISBN 1-56341-052-4 141 The Commons,
$5182.95x 8clo1th2 IS BN1 5 1-256 3 41p-0a53g-2es $ $ 2 09 .. 99 55 cp loap ther I SIS BB NN 1 1 -- 55 66 33 44 11 -- 00 55 10 -- 68 I6t0h7a-c2a7,2 -N00e0w0 York 14850
September O5 cto⁄ ber2 x 8⁄2 240 pages . th eE sexaclleuss iv edliyv D ii bs st yr ii o b u nIt ned B t ooo o f kth ,e ttr hade e
Fir ebrand Inland Book Company.
Books A lev adai il na gb l e w hth olr eo su ag leh r s .all
Volume 17 Number 3
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:37:07 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms","['1-56341-048-6', '1-56341-049-4', '1-56341-052-4', '1 5 1-256 3 4', '55 66 33 44 1', '00 55 10 -- 6']"
8,"CONTENTS
FBN
Editor & Publisher
Carol Seajay ARTICLES
Assistant Editor The Sixth International Feminist Book Fair ...…………. 19
Dawn Lundy Martin Touring Australia’s Feminist Bookstores ....…………….…….. 25
Advertising
Susan Buie A Report from Camp Sister Spirit.....…….….……..….….…..…Ó. 33
What Writers Can Do
Columnists
Art Books Tee Corinne — An interview with Dorthy Allison .....……….…...........….. 37
'Canadian Books Jana Williams TCB: What the @#$% is Multimedia?....….….…........….. 41
Canadian Books Dorothy Seaton NEWS/ShoOrts SIOnes......…....….. e. 13
G Hay u M men’s o rLit e ra Rtur oe z R i ch Ward a L rab ron et ne Womyn’s Braille Press Winds Down • National Independent
Bookstore Week - Nov. 5-12 • Pink Pyramid Changes Not
M Main yst sr tea em r iP eu sb li sh Ner as n S an d Ci i nTo nrk ail tds eo rn Dropped • Radical Booksellers Association Launched • Gay
S Uc nie ivn ec re s i tF yic t Pio rn esses S Mu es van n Ma i l lS et rurgis D AE B Po dok A B Riz T e I M C Nan Ead N Aa TCu S estom Xs D .et .ai .ns S am euel a P e. D iela ny Tit 1le 22
Proofreading ANNOUNCEMENÍS i 45
Carole London
Cover Art Back to Press & Other Good News... 49
“Autumn in the Library” Classified AdS... 123
By Judy Horacek Subscription Information... 120
Feminist Bookstore News
2358 Market St. They Went That-A-Way.........=.. m. 47
PO Box 882554 Writing Wanted... 53
San Francisco CA 94188
415-626-1556 FAX: 415-626-8970
THE BOOKS
Printed in USA AN BOOKS ......... iaeaea eiiiieaaa 69
vF ehE icM le I N foI rS T th e B inO foO rmK aS l T nO etR wE or k N ofE W femS i n ii ss t bt ooh ke st o rc eso . m FBm Nunications BOOKS from Canada... 51
reaches 500 feminist and feminist-inclined bookstores in the
EU n. gS la. n d ,a n Eud r o pC e, a n Aua sd tra a li aa , s N eww e Zl el a la na ds , Inf de iam ai nn d i s Jt a p anb .ooksellers in GaRy mUen's;LTit.....U......... ... (wSill ret urEn n ext is5sue5)
tlLihisb eh re arsr usi ba snacns r,d ib w efroesmm.einni'ss t s tbuibdliieosp htielaecsh ecrosm, p broisoek trheev i erwemerasi,n d peurb -of MYSİGGS.:..... aser 57
L ree ct et ie vr es d, a tr ht ei c l te es n, t hn e w ofs i tt he em s m oan nd th a n pn reo cu en dc ie nm g e n pt us b l is ch ao tu iold n . be OUr OWN PreS888........ e 73
aSuigtnheodr s .articles and letters are the responsibility of the PUbIIShers ROW 2... 101
lF SiE sehM peI dN t eIS mmT o n bB tO heO lryK , S iT nO a R nJE ad n N u aE NrW yo,S v M( eIS amrSN chb: , e0 Mr74 a1 y - b,6 5 yJ55 u ) l y Fi ;s E A Mp uu gb IuN- stI,ST BOOKSTORE SCI&NCS8 FICHON... asie 65
N FFrE raW nacS ni s ccf oo i,r s cC $ oA7 , 0 9 4p C1e 1r A4 .. y e S a ePr c oO np dSer -TC lMs at so sAr e PS o Ta st tE a gR2 e3 :5 p8 a PiM dl a er aatk se t Se a nS t s., e nSa dn address T Uhe n S im va ell r P sr ies ts yes. ... .… P.… r... e... s.. s ( ew sil .l . .r e tu sr en c in tex et is 9su 1e)
8c 8h 25a 5n 4,g Se as n Ft ro an c iF scE o,M CI AN I 9S 41T 8 8 -2B 55O 4.OKSTORE NEWS, PO Box WOMmensS:MUSic ..... 61
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:37:07 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
9,"Feminist Bookstore News
Fall Releases from Women’s Press
Lydia Kwa $11.95 pb 0-88961-199-8
Lydia Kwa’s debut collection is vivid, haunting and sensual, a poetic journey in three passages.
“First Lessons” offers trace memories of a mixed-heritage family and society, a story of parents
loving across class barriers, echoes of internal ghosts spawned in a childhood and adolescence in
` Singapore. “Translations” meditates on symbol and meaning, traversing distance through lan-
guage. The Colours of Heroines, embraces the physical, wraps it firmly in the grasp of a mature
woman. And underneath it all, the sharp humour of a writer who dreams of lingerie.
3
edited by Wendy Waring $15.95 pb 0-88961-203-X
Nowhere has the impact of feminist thought on literary theory been more forceful than in the field
on Won , of representation. Feminist insistence that narratives about women should be written by them and
l h h arins for them has entailed, for the literary mainstream and for feminism, a re-examination of how narra-
hea o tive is constituted, a re-ordering of the social construction of cultural production, and a politicized
attention to the hand that holds the pen.
edited by Enakshi Dua, Maureen FitzGerald, Linda Gardner, Heather Green, Shahnaz Stri, Darien Taylor & Lisa Wyndels
On Women Healthsharing traces the development of a feminist critique of a healthcare system
= that does not act in our best interests and charts the development of women’s struggles to define,
. address and mobilize for a health environment and a health delivery system that is responsible to
1 the needs of all women. $15.95 pb 0-88961-201-3
edited by Mona Oikawa, Dionne Falconer & Ann Decter $15.95 pb 0-88961-197-1
In this timely and incisive collection, lesbians and bisexual women examine and challenge the
ways in which homophobia, lesbophobia and heterosexism function individually, socially and politi-
cally and celebrate the ways in which we struggle against them.
Anne Provoost Translated by Ria Bleumer
Abnle i mlpaonrgtaunatg en,o v etl h feo r s btootrhy c h oilfdr e na asnud r vadiuvltosr, tohifs ncohviell d s h asreexs u ianl calebaru s aen.d Atangi- SY á
Translated into Danish, Swedish, German and Norwegian, My Aunt is a Pilot ap
Whale is the winner of Belgium's Lion Prize and the Flemish Provinces Award for ojiet <
Best Youth Novel. $9.95 pb 0-88961-202-1 Wa E y
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:37:07 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms","['0-88961-199-8', '0-88961-203-X', '0-88961-201-3', '0-88961-197-1', '0-88961-202-1']"
10,"Feminist Bookstore News
Woman-to-Womon Books to our business and getting a new perspective on
106-12404-114 Ave. our performance in this area always proves enlight-
Edmonton, Alberta T5M 3M5 ening. I also appreciate the grasp the author has on
Canada the struggles and joys involved in running a
Dear FBN, women’s bookstore. However, I would like to sug-
Woman to Womon Books began business in June gest that there has been some contextual omission
of 1992 and amazingly we are still at it. We have in the telling of these valuative situations.
remained a mail-order and “books on wheels” book- In fact I would venture that much of the basis for
store to keep overhead costs at zero, and allow us to the comment used as a jumping board for this article
carry on with our other lives. Our city has three was contextually distorted. The original quote was
major (non- chain) bookstores selling feminist titles, “The store took care of everything so it didn’t cost
one of which also handles some lesbian and a lot of me anything and besides they have been terrific to
gay male titles. We could not compete with these work with.” Certainly, if I was trying to plan a show
stores, so have ceased considering a store- front. of my works having everything (mailing, advertis-
As time has passed, our stock has become more ing, refreshments,...) taken care of and not cost me a
focused on lesbian titles to serve a particular group thing financially, would temper my perceptions of
of womyn who cannot or choose not to, buy lesbian how “terrific” it was to work with that business. I'm
literature in a “public” store. We take the books to disappointed that the author did not take a moment
women’s concerts, conferences, dances and com- to fully analyze and address this possibility.
munity centre events. This has proven to be a lot of
fun for everyone.
The Feminist Bookstore Fall Catalogue is a won-
derfui idea, a big boost for us. Best of luck with it. As to the “dependable courtesy” of the staff in
We look forward to being a part of the Network. chain bookstores, I find it interesting that the author
Best, felt comfortable visiting various women’s book-
Sheryl McInnes stores to evaluate their customer service but did not
perform the same evaluation for various chain
Ellie’s Garden bookstores. I am not questioning Ms. Rutter’s con-
Women’s Books & More clusions, obviously there are some serious prob-
2812 34th St. lems in this area and she certainly has a right to feel
Lubbock, TX 79410 unappreciated under the circumstances mentioned.
Dear FBN, My point here would be that there are some crucial
I would like to take a moment to share some of differences in staffing and customer response in
my responses to “A Warm Welcome is Not a Line women’s bookstores and in the chains. Much of
Item” by Elena Rutter. that “dependable courtesy” found in chains is paid
First and most obviously I don’t think any of us for. Those employees do the “meet and greet”
can question how crucial good customer service is because if they don't they’ll get fired or won’t get
September/October 1994
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:37:07 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
