ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
0-7710-4707-X,The Stone Angel,"Laurence, Margaret",McClelland & Stewart,344,4/4/1998,,Hardcover,,en,Reprinted,"Height: 8.37 Inches, Length: 5.97 Inches, Weight: 1.1113 Pounds, Width: 1.17 Inches",0,https://images.isbndb.com/covers/70/77/9780771047077.jpg,Success,91,21.1
0-399-14356-4,Killing Grounds (Kate Shugak Mystery/Dana Stabenow),"Stabenow, Dana",Putnam Adult,273,3/23/1998,,Hardcover,,en,First Edition,"Height: 8.8 Inches, Length: 5.8 Inches, Weight: 0.25 Pounds, Width: 0.96 Inches",22.95,https://images.isbndb.com/covers/35/64/9780399143564.jpg,Success,80,21.1
0-520-20844-7,From My Grandmother's Bedside: Sketches of Postwar Tokyo,"Field, Norma",University of California Press,204,11/28/1997,,Hardcover,"<p><i>From My Grandmother's Bedside</i> is an experiment in genre, a moving and evocative reflection on contemporary Japan, human desire, family relations, life, and death. Norma Field, the daughter of a Japanese woman and an American G.I., and author of the acclaimed <i><br>
In the Realm of a Dying Emperor</i>, returned to Japan in 1995 to tend to her slowly dying grandmother, who had been rendered speechless by multiple strokes. What she finds—both in the memories of her childhood in her grandmother's household and in the altered face of postmodern Japan—forms the substance of her narrative that transcends both memoir and essay to reveal, through crafted fragments, a refraction of the whole of Japan.<br>
Having spent her childhood in Japan and her adulthood in the United States, Field speaks from the position of one who straddles two worlds. Her testimony is highly personal, her voice is intimate, her observations are keen and clear. She juxtaposes details from daily life—conversations overheard on the subway; arguments between her mother and aunts; the struggle to feed, bathe, and care for her grandmother—with observations on the political and social changes that have transformed Japan. She shows how the belated coming to terms with the war and continuing avoidance of the same are intimately related to the look and feel of Japanese society today. She gently folds back the complicated layers of blame and responsibility for the war, touching in the process on subjects as diverse as the effects of the atomic bomb, comfort women, biracial/bicultural families, the farewells of Kamikaze pilots, and the dehumanizing effects of Japan's postwar economic boom. A recurrent theme is the observation of the fiftieth anniversary of the end of the war.<br>
<i>From My Grandmother's Bedside</i> is also a contemplation of the many facets of language: the kinds of language with which her grandmother's illness has been negotiated, the wordless language her grandmother speaks, her own relationship to these languages. Through it all runs the realization that the personal and the political are perpetually entangled, that past and present converge and overlap.</p>",en,First Edition,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.14109584768 Pounds, Width: 1 Inches",85,https://images.isbndb.com/covers/84/45/9780520208445.jpg,Success,137,21.1
0-520-20844-7,From My Grandmother's Bedside: Sketches of Postwar Tokyo,"Field, Norma",University of California Press,204,11/28/1997,,Hardcover,"<p><i>From My Grandmother's Bedside</i> is an experiment in genre, a moving and evocative reflection on contemporary Japan, human desire, family relations, life, and death. Norma Field, the daughter of a Japanese woman and an American G.I., and author of the acclaimed <i><br>
In the Realm of a Dying Emperor</i>, returned to Japan in 1995 to tend to her slowly dying grandmother, who had been rendered speechless by multiple strokes. What she finds—both in the memories of her childhood in her grandmother's household and in the altered face of postmodern Japan—forms the substance of her narrative that transcends both memoir and essay to reveal, through crafted fragments, a refraction of the whole of Japan.<br>
Having spent her childhood in Japan and her adulthood in the United States, Field speaks from the position of one who straddles two worlds. Her testimony is highly personal, her voice is intimate, her observations are keen and clear. She juxtaposes details from daily life—conversations overheard on the subway; arguments between her mother and aunts; the struggle to feed, bathe, and care for her grandmother—with observations on the political and social changes that have transformed Japan. She shows how the belated coming to terms with the war and continuing avoidance of the same are intimately related to the look and feel of Japanese society today. She gently folds back the complicated layers of blame and responsibility for the war, touching in the process on subjects as diverse as the effects of the atomic bomb, comfort women, biracial/bicultural families, the farewells of Kamikaze pilots, and the dehumanizing effects of Japan's postwar economic boom. A recurrent theme is the observation of the fiftieth anniversary of the end of the war.<br>
<i>From My Grandmother's Bedside</i> is also a contemplation of the many facets of language: the kinds of language with which her grandmother's illness has been negotiated, the wordless language her grandmother speaks, her own relationship to these languages. Through it all runs the realization that the personal and the political are perpetually entangled, that past and present converge and overlap.</p>",en,First Edition,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.14109584768 Pounds, Width: 1 Inches",85,https://images.isbndb.com/covers/84/45/9780520208445.jpg,Success,151,21.1
0-415-13610-5,Roles of the Northern Goddess,"Davidson, Dr Hilda Ellis, Davidson, Hilda Ellis",Routledge,220,4/2/1998,,Hardcover,I. Mistress Of The Animals. The Ruler Of The Wild. Hunting-goddesses In North-western Europe. Guardian Of The Diary Herds. The Horse And The Dog -- Ii. Mistress Of The Grain. The Ancient World. The Goddess And The Plough. Goddess Or Corn Spirit? The Grain Goddess In The North -- Iii. Mistress Of Distaff And Loom. Weaving In The Ancient World. Weaving In Northern Europe. The Oseberg Wall-hangings. Weaving And Destiny -- Iv. Mistress Of The Household. Guardians Of The Home. Fire And Water. The Birth And Nurturing Of Children -- V. Mistress Of Life And Death. The Healing Goddesses. Funeral Rites. The Realm Of Death. Hilda Ellis Davidson. Includes Bibliographical References (p. 191-202) And Index.,en,,"Height: 9.5 Inches, Length: 6.5 Inches, Weight: 1.24781640292 Pounds, Width: 0.75 Inches",165,https://images.isbndb.com/covers/61/05/9780415136105.jpg,Success,182,21.1
0-312-18598-7,Invitation to a Funeral,"Brown, Molly",Thomas Dunne Books,288,1998,,Hardcover,"London, 1676: Spy-turned-playwright Aphra Behn is having more than her share of troubles. Her last play was a flop and her financial situation is getting desperate: she's in debt to a moneylender who could have her arrested for nonpayment at any time. When she casts the Earl of Rochester's mistress, Elizabeth Decker, as the lead in her new comedy, she deeply regrets it. Lord Rochester has bet the Duke of Buckingham that he can turn the theatrically challenged Elizabeth into the best actress on the London stage, and he's offered to cut Aphra in on his winnings. But there are other more dangerous matters afoot, and when Aphra offers to organize the funeral of a murdered man it seems her troubles are only just beginning. The deaths of two brothers turn out to be linked to the discovery of a secret document which could - unless Aphra moves quickly - plunge England into another civil war.",en,First Edition,"Height: 8.5 Inches, Length: 5.75 Inches, Weight: 1.05 Pounds, Width: 1 Inches",22.95,https://images.isbndb.com/covers/59/85/9780312185985.jpg,Success,81,21.1
0-393-31759-5,The Devil in the Shape of a Woman: Witchcraft in Colonial New England,"Karlsen, Carol F.",W. W. Norton & Company,384,4/17/1998,,Paperback,"From The Publisher: Confessing To Familiarity With The Devils, Mary Johnson, A Servant, Was Executed By Connecticut Officials In 1648. A Wealthy Boston Widow, Ann Hibbens, Was Hanged In 1656 For Casting Spells On Her Neighbors. In 1662, Ann Cole Was Taken With Very Strange Fits And Fueled An Outbreak Of Witchcraft Accusations In Hartford A Generation Before The Notorious Events In Salem Took Place. More Than Three Hundred Years Later The Question Still Haunts Us: Why Were These And Other Women Likely Witches? Why Were They Vulnerable To Accusations Of Witchcraft? In This Work Carol Karlsen Reveals The Social Construction Of Witchcraft In Seventeenth-century New England And Illuminates The Larger Contours Of Gender Relations In That Society. Preface -- 1: New England's Witchcraft Beliefs -- 2: Demographic Basis Of Witchcraft -- 3: Economic Basis Of Witchcraft -- 4: Handmaidens Of The Devil -- 5: Handmaidens Of The Lord -- 6: New England's Well-ordered Society -- 7: Brands Plucked Out Of The Burning -- Epilogue -- Afterword To The Norton Paperback Edition -- Appendix: List Of Accused Witches -- Notes -- Index. Carol F. Karlsen. Includes Bibliographical References (p. 273-352) And Index.",en,60618th,"Height: 8.3 Inches, Length: 5.5 Inches, Weight: 0.67681914434 Pounds, Width: 1 Inches",11.96,https://images.isbndb.com/covers/75/96/9780393317596.jpg,Success,176,21.1
0-393-31780-3,Strong Souls Singing: African American Books for Our Daughters and Our Sisters,,W W Norton & Co Inc,145,1998,,Paperback,"For African American girls and the people who teach and love them, a guide to books that will create pride and a desire to learn. <br>
 Strong Souls Singing is a unique resource containing lively, informative descriptions of more than one hundred outstanding works of literature. With selections for readers of all ages, these works of fiction, poetry, biography, autobiography, folktales, drama, and history celebrate the African American female experience from childhood to adulthood. The selections have been made with the input of scholars, teachers, librarians, and young readers. Here are works by the great writers and heroes of African American life--Zora Neale Hurston, Alice Walker, Toni Morrison, Maya Angelou, and many more--annotated and made accessible to the audience that needs them. For parents, teachers, mentors, and others, here is the key to unlocking a rich cultural heritage for African American young women and helping them become lifelong readers. It is an invaluable resource for learning and inspiration.",en,,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.50044933474 Pounds, Width: 0.5 Inches",11,https://images.isbndb.com/covers/78/00/9780393317800.jpg,Success,176,21.1
1-895837-25-1,The Heart Is Its Own Reason,"Caple, Natalee",Insomniac Pr,240,1998,,Paperback,,en,First Edition,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.4299014109 Pounds, Width: 0.75 Inches",14.99,https://images.isbndb.com/covers/72/54/9781895837254.jpg,Success,91,21.1
0-472-08433-X,Doris Lessing: The Poetics of Change,Gayle Greene,University of Michigan Press,296,8/21/1997,,Paperback,"In this readable and theoretically informed study, Gayle Greene sheds new light on the work of Doris Lessing, a complex and crucially important novelist whose works provide a chronicle of our age. Although Lessing is difficult to categorize, her work is always concerned with a search for something new against the nightmare repetition of history. Lessing's novel The Golden Notebook, together with such works as The Second Sex and The Feminine Mystique, raised the consciousness of a generation of women readers and played a major part in engendering the second wave of feminism. It is the power of Lessing's novels to change people's lives - the effect she had raising the consciousness of a generation of women and the impact she continues to have on young readers - that is the subject of Greene's book. The author brings a variety of approaches to Lessing's work, including psychoanalytic, Marxist, biographical, historical, intertextual, formalist, feminist. Greene's analysis is eclectic and essentially feminist, for she believes that Lessing is a feminist writer - feminist not in offering strong female role models who climb to the top of existing social structures but in envisioning, and indeed helping to bring about, a transformation of those structures.",en,,"Height: 9 Inches, Length: 6 Inches, Weight: 1.1 Pounds, Width: 0.9 Inches",2.29,https://images.isbndb.com/covers/43/33/9780472084333.jpg,Success,137,21.1
0-472-08433-X,Doris Lessing: The Poetics of Change,Gayle Greene,University of Michigan Press,296,8/21/1997,,Paperback,"In this readable and theoretically informed study, Gayle Greene sheds new light on the work of Doris Lessing, a complex and crucially important novelist whose works provide a chronicle of our age. Although Lessing is difficult to categorize, her work is always concerned with a search for something new against the nightmare repetition of history. Lessing's novel The Golden Notebook, together with such works as The Second Sex and The Feminine Mystique, raised the consciousness of a generation of women readers and played a major part in engendering the second wave of feminism. It is the power of Lessing's novels to change people's lives - the effect she had raising the consciousness of a generation of women and the impact she continues to have on young readers - that is the subject of Greene's book. The author brings a variety of approaches to Lessing's work, including psychoanalytic, Marxist, biographical, historical, intertextual, formalist, feminist. Greene's analysis is eclectic and essentially feminist, for she believes that Lessing is a feminist writer - feminist not in offering strong female role models who climb to the top of existing social structures but in envisioning, and indeed helping to bring about, a transformation of those structures.",en,,"Height: 9 Inches, Length: 6 Inches, Weight: 1.1 Pounds, Width: 0.9 Inches",2.29,https://images.isbndb.com/covers/43/33/9780472084333.jpg,Success,151,21.1
