ISBN,Title,Author,Publisher,Pages,Date Published,Subject,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
1-886069-33-6,Devi (The Mandala Stand-Up Altar Series),"Waters, Kim",Mandala Pub Group,,2000,,Hardcover,,en,,"Height: 13.5 Inches, Length: 10.5 Inches, Weight: 1.01 Pounds, Width: 0.25 Inches",14.95,https://images.isbndb.com/covers/93/36/9781886069336.jpg,Success,7,22.6
1-55583-461-2,The Femme's Guide to the Universe,"Rednour, Shar",Alyson Books,200,8/1/2000,,Paperback,"A guide book to help any femme (or femme-to-be) maneuver her way through our very often drab, rude, and mundane solar system. Shar Rednour, widely touted as the femme expert, generously shares her knowledge on issues such as removing water-proof makeup without tearing off three layers of skin; shaving-what, where, and when; avoiding nail breakage while subsisting on a diet of Ramen noodles; and transforming your Fanny Femme galpal into a toolbelt-toting Betsy Butch as well as practical topics like money, dating, home decor, and the art of flirting. <i>The Femme's Guide to the Universe</i> also answers such pressing questions as ""Do I cut my nails for the first date or the third?"" ""How can I go out for an entire evening with only $5?"" and ""What stockings are appropriate for a street riot?"" Examples from her own fabulous life as well as numerous cartoons make this the only book a femme-in-training will ever need and a valuable resource for femme fans everywhere.",en,,"Height: 7.75 Inches, Length: 8 Inches, Weight: 1.09790206476 Pounds, Width: 0.75 Inches",14.95,https://images.isbndb.com/covers/46/16/9781555834616.jpg,Success,17,22.6
1-890931-05-5,We'Moon '01: Gaia Rhythms for Womyn,Mother Tongue Ink,Mother Tongue Ink,224,2000,,Calendar,,en,Egmt,"Height: 8 Inches, Length: 5.5 Inches, Width: 0.5 Inches",14.95,https://images.isbndb.com/covers/10/56/9781890931056.jpg,Success,31,22.6
0-9664805-0-3,The Coloring Book for Big Girls,Sudie Rakusin,Winged Willow Press,28,6/15/1998,,Paperback,,en,1,,9.95,https://images.isbndb.com/covers/05/04/9780966480504.jpg,Success,33,22.6
1-875559-68-X,CyberFeminism,,Spinifex Press,288,10/1/1999,,Paperback,,en,,"Height: 8 Inches, Length: 5 Inches, Weight: 0.92153225516 Pounds, Width: 0.76 Inches",0,https://images.isbndb.com/covers/96/88/9781875559688.jpg,Success,43,22.6
0-517-88585-9,New Moon: Money,New Moon,Crown Books for Young Readers,96,2/22/2000,,Paperback,,en,,"Height: 9.25 Inches, Length: 7.25 Inches, Weight: 0.4 Pounds, Width: 0.25 Inches",9.99,https://images.isbndb.com/covers/58/57/9780517885857.jpg,Success,48,22.6
0-517-88583-2,New Moon: Sports,"New Moon Publishing, Inc., Seth Godin Productions, Lark Productions, LLC",Knopf Books for Young Readers,87,8/17/1999,,Paperback,"Ever wonder what it would be like to learn how to surf, or what it feels like to be the only woman playing on the Harlem Globetrotters? Well, wonder no more! The New Moon Books Girls Editorial Board has scoured the world to find out about all sorts of different sports and the girls who are doing them, from biking in Israel to mountain climbing in Alaska. You'll find this book filled with information about why sports are good for girls, the benefits of competition, a brief history of women in sports, and information about keeping your body healthy. If you're passionate about a sport and want to know more about the sports other girls love, or if you want to become involved in a sport but aren't sure which one to choose, there's plenty here to get you going. Sports: they do a girl's body good!

                        <p>Examines the role of sports in girls' lives, including the history of women in sports, famous women athletes, great sports for girls, and ways to get involved in athletics.
</p>",en,1,"Height: 9.25 Inches, Length: 7.25 Inches, Width: 0.25 Inches",9.99,https://images.isbndb.com/covers/58/33/9780517885833.jpg,Success,48,22.6
0-8147-2707-7,Doing Time: Feminist Theory and Postmodern Culture (Cultural Front),"Felski, Rita",NYU Press,256,9/1/2000,,Paperback,"Contemporary Theory Is Full Of References To The Modern And The Postmodern. How Useful Are These Terms? What Exactly Do They Mean? And How Is Our Sense Of These Terms Changing Under The Pressure Of Feminist Analysis? In Doing Time, Rita Felski Argues That It Makes Little Sense To Think Of The Modern And Postmodern As Opposing Or Antithetical Terms. Rather, We Need A Historical Perspective That Is Attuned To Cultural And Political Differences Within The Same Time As Well As The Leaky Boundaries Between Different Times. Neither The Modern Nor The Postmodern Are Unified, Coherent, Or Self-evident Realities. Drawing On Cultural Studies And Critical Theory, Felski Examines A Range Of Themes Central To Debates About Postmodern Culture, Including Changing Meanings Of Class, The End Of History, The Status Of Art And Aesthetics, Postmodernism As The End Of Sex, And The Politics Of Popular Culture. Placing Women At The Center Of Analysis, She Suggests, Has A Profound Impact On The Way We Think About Historical Periods. As A Result, Feminist Theory Is Helping To Reshape Our Vision Of Both The Modern And The Postmodern.--jacket. Nothing To Declare : Identity, Shame, And The Lower Middle Class -- New Cultural Theories Of Modernity -- The Invention Of Everyday Life -- Judith Krantz, Author Of The Cultural Logics Of Late Capitalism -- The Doxa Of Difference -- Fin De Siècle, Fin De Sexe : Transsexuality And The Death Of History -- Images Of The Intellectual : From Philosophy To Cultural Studies -- Why Feminism Doesn't Need An Aesthetic (and Why It Can't Ignore Aesthetics) -- Feminism, Postmodernism, And The Critique Of Modernity. Rita Felski. Includes Bibliographical References And Index.",en,New Edition,"Height: 9 Inches, Length: 6 Inches, Weight: 0.69004688006 Pounds, Width: 0.57 Inches",27,https://images.isbndb.com/covers/70/72/9780814727072.jpg,Success,49,22.6
0-8147-3619-X,Is the Goddess a Feminist?: The Politics of South Asian Goddesses,,NYU Press,287,11/1/2000,,Paperback,"<p><p>In India, God can be female. The goddesses of Hinduism and Buddhism represent the largest extant collection of living goddesses anywhere on the planet. Feminists in the West often draw upon South Asian goddesses as theological resources in the contemporary rediscovery of the Goddess. Yet, these goddesses are products of a male supremacist society.<p> <p>What is the impact of powerful female deities--their images, projections, textuality, and history--on the social standing and psychological health of women? Do they empower women, or serve the interests of patriarchal culture? <b>Is the Goddess a Feminist?</b> looks at the goddesses of South Asia to address these questions directly.<p> <p>Not a book about a single goddess or even about a variety of South Asian goddesses, the volume raises questions about images of deities as symbols and the ways in which they function. Contributors discuss contemporary Indian women who have embraced goddesses as spiritually and socially liberating, as well as the seeming contradictions between the power of Indian goddesses and the lives of Indian women. They also explore such topics as the element of male desire in the embodiment of female deities, the question of who speaks for the goddesses, and the politics and theology of Western feminist use of Hindu and Buddhist goddesses as models for their feminist reflections.<p></p> <h3>Booknews</h3> <p>American and Indian scholars of religion, anthropology, women's studies, and psychology look at the complex relationship between the living worship of female divinities and women in India. In keeping with the multiplicity, especially of Hinduism but also Buddhism and Jainism, the anthology presents a number of sometimes conflicting views rather than a consistent account. Only authors are indexed. Annotation c. Book News, Inc., Portland, OR (booknews.com)</p>",en,First Edition (US) First Printing,"Height: 9.01573 Inches, Length: 5.98424 Inches, Weight: 0.93 Pounds, Width: 0.6484239 Inches",23,https://images.isbndb.com/covers/61/97/9780814736197.jpg,Success,49,22.6
0-8147-9771-7,Psychoanalysis and Woman: A Reader,,NYU Press,366,3/1/2000,,Paperback,,en,First Edition,"Height: 9.01573 Inches, Length: 5.98424 Inches, Weight: 1.23 Pounds, Width: 0.8200771 Inches",24,https://images.isbndb.com/covers/77/16/9780814797716.jpg,Success,49,22.6
0-8147-7544-6,"Voted Out: The Psychological Consequences of Anti-Gay Politics (Qualitative Studies in Psychology, 17)","Russell, Glenda M.",NYU Press,332,9/1/2000,,Paperback,"1. Studying Anti-gay Politics: The Case Of Amendment 2 -- 2. Team-based Data Analysis -- 3. Well-functioning Teams: Common Characteristics -- 4. Early Reactions To Amendment 2 -- 5. Efforts At Meaning Making -- 6. Internal And External Dimensions Of Trauma And Oppression -- 7. The Relationship Between Qualitative And Quantitative Data: A Process Illustration -- 8. Support, Strategies, And Actions -- 9. The Study In Broader Context: Implications Beyond Amendment 2 -- 10. The Coding Team: A Revisitation -- 11. Community Applications Of Research Findings. Glenda M. Russell. Includes Bibliographical References (p. [289]-307) And Index.",en,,"Height: 9 Inches, Length: 6 Inches, Weight: 1.06042348022 Pounds, Width: 0.83 Inches",27,https://images.isbndb.com/covers/54/48/9780814775448.jpg,Success,49,22.6
