ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
1-85594-011-6,Attic Book of Special Days for Women/Diary,"Attic Studio, Attic Pr",Attic Pr,224.0,1990-09,Literary Collections,Hardcover,,en,English Language,"Height: 9.0551 Inches, Length: 6.41731 Inches, Weight: 1.26986262912 Pounds, Width: 0.7874 Inches",29.99,https://images.isbndb.com/covers/01/16/9781855940116.jpg,Success,45.0,14.Sidelines
,,,,,,,,,,,,,,Error,,14.Sidelines
1-55050-020-1,,,,,,,,,,,,,,Error,17.0,14.Sidelines
1-55050-020-1,,,,,,,,,,,,,,Error,45.0,14.Sidelines
0-89594-501-0,,,,,,,,,,,,,,Error,23.0,14.Sidelines
2 3 6 -0 58 6,,,,,,,,,,,,,,Error,50.0,14.Sidelines
1-56341-000-1,,,,,,,,,,,,,,Error,20.0,14.Sidelines
0-9612584-7-5,,,,,,,,,,,,,,Error,18.0,14.Sidelines
0-935155-11-2,,,,,,,,,,,,,,Error,16.0,14.Sidelines
0-935155-11-2,,,,,,,,,,,,,,Error,46.0,14.Sidelines
0-88961-162-9,,,,,,,,,,,,,,Error,45.0,14.Sidelines
0-9613584-7-5,,,,,,,,,,,,,,Error,45.0,14.Sidelines
0-7043-4275-8,,,,,,,,,,,,,,Error,44.0,14.Sidelines
0-9629482-0-9,,,,,,,,,,,,,,Error,43.0,14.Sidelines
1-55583-194-X,Certain Voices,,Alyson Books,224.0,1991-06,"Fiction, American Literature Anthologies, Anthologies, Gay & Lesbian Studies, Fiction Subjects",Paperback,"This anthology of gay male fiction explores such concerns as homophobia, AIDS, and being in and out of love.",en,First Edition,"Height: 8.42 Inches, Length: 0.55 Inches, Weight: 0.68 Pounds, Width: 5.46 Inches",1.99,https://images.isbndb.com/covers/19/43/9781555831943.jpg,Success,12.0,14.Sidelines
0-89594-502-9,The Women Writers Desk Calendar: 1992 Engagement Calendar,Unknown,Crossing Pr,,1991,,Paperback,,en,,,9.95,https://images.isbndb.com/covers/50/20/9780895945020.jpg,Success,23.0,14.Sidelines
1-877920-02-9,,,,,,,,,,,,,,Error,11.0,14.Sidelines
1-877920-02-9,,,,,,,,,,,,,,Error,44.0,14.Sidelines
1-55583-195-8,Dykescapes,,Alyson Books,176.0,1991,,Paperback,"The Anthology Of Lesbian Short Stories Includes Works By Both New And Established Writers. Seventeen Storytellers Explore Such Diverse Themes As Racism, Death, Lesbian Parenting, Prison Relationships, And Interracial Love And Sex. They Don't Flinch From Controversy: Their Stories Also Deal With Role-playing, Fat-positivity, And Intergenerational Affairs.--publisher's Description. Merry Christmas, Katherine / Ouida Crozier -- Natural Bridges / Pamela Gray -- One Sunday Morning / Shelley Anderson -- Smoke Signals / Jayne Relaford Brown -- Buzzard Takes Flight / Ivy Burrowes -- Shubop's Saga / Wickie Stamps -- Cactus Love / Lee Lynch -- Teamwork / Lucy Jane Bledsoe -- To Anna / Elissa Goldberg -- A Date With Deth / Karen Barber -- Daddy's Home / Jessie Lynda Lasnover -- Saying Good-bye / Karen Dale Wolman -- As Important As A Lamp / Carol Seajay -- Wood Burning / Kathleen M. Quinlan -- Unannounced / Elaine J. Auerbach -- Robyn / Nona M. Caspers -- The Revenge Of Chunky Beef / Emily A. Levy. Edited By Tina Portillo. Subtitle On Cover: Short Fiction By Lesbians.",en,First Edition,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.59965735264 Pounds, Width: 0.5 Inches",8.95,https://images.isbndb.com/covers/19/50/9781555831950.jpg,Success,12.0,14.Sidelines
0-87701-746-8,Frida Kahlo: The Brush of Anguish,Martha Zamora,Chronicle Books,144.0,1990-09-01,"Kahlo, Frida, Painters, Painters--Mexico--Biography, ND259.K33 Z3613 1990, 759.972 B",Hardcover,"For The Countless Admirers Of Frida Kahlo's Bold And Passionate Art, Here Are 75 Full-color Paintings, Numerous Historical Photographs, And Authoritative Text Detailing Significant Episodes In The Artist's Life. Now Available In An Affordable, Beautifully Produced Paperback Edition. Preface -- Murdered By Life -- Beginning -- Other Accident -- Colors Of Life -- Tree Of Hope -- Chronology -- List Of Illustrations -- Selected Bibliography. Martha Zamora ; Abridged And Translated By Marilyn Sode Smith. Translation Of: Frida. Includes Bibliographical References (p. 143).",en,First Edition,"Height: 12.29 Inches, Length: 9.31 Inches, Weight: 2.2376919593 Pounds, Width: 0.74 Inches",35.0,https://images.isbndb.com/covers/74/62/9780877017462.jpg,Success,22.0,14.Sidelines
02-775-8218 1,,,,,,,,,,,,,,Error,50.0,14.Sidelines
