PageNumber,Text,ISBNs
1,"Feminist
Bookstore
News HsIyvAlhh
Ihe
1991
Sidelines
Issue
August 1991 EEA
Femina Serial am F 321970 alclal
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:00:42 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
2,"Many Strong & Beautiful Women
Cards, posters, t-shirts, book bags! Many other designs available.
Positive Images
2304 Hancock Drive #7A
Austin, TX 78756
512-467-8497
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:00:42 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
3,"Feminist Bookstore News
Welcome to the Seventh Annual FBN Sidelines your orders, don’t forget to tell craftswomen that you
Issue — our answer to busy booksellers’ cries of “So saw their ad in FBN!
` many sidelines, so little time!” And so many pieces of
paper! We hope this issue will help you stock your And if you have a favorite sideline that you don’t
store with the feminist sidelines that your customers find in the pages of this issue, drop us a note and we'll
want. make sure to include it in next year’s edition.
In these pages we've collected items ranging In addition to sending the FBN Sidelines Issue to
from buttons and bumperstickers to calendars, cards, all of the feminist, gay and lesbian, alternative and
jewelry, music, pottery, safe sex supplies, tapes, T- general independent stores on our list, we also send a
shirts, videos and more. Once again, booksellers from copy to all of tħe new bookstores we hear about dur-
across the country share some of their favorite and ing the year. To all of you we extend a warm hello and
best-selling sidelines in a “Faves and Raves” article. the hope that you don’t have too hard a time narrow-
ing down your choices of sensational sidelines. We
Also check out this year’s feature on calendars, also send many thanks to all of the craftswomen and
and let us know what you think about the recycling sideline vendors who contributed to making this spe-
issue broached in the article on page 11. cial issue such a success.
So, get out your pens and get ready to circle all As always, we're interested in your feedback.
those sidelines you can sell in your store. Most book- Your comments help make each year’s issue the best
sellers use this issue when deciding what sidelines to ever. If youd like more information about FBN or next
order for the holiday season; many also keep the issue year’s catalog, please call or write us and ask to be
at hand as a resource to use all year. When writing added to our sidelines list. Good reading! O
August 1991
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:00:42 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
4,"The Feminist Bookstore News
Four distinctive colored notecards of a quilt
conceived and executed by Selma Miriam.
Retail... single cards $2.25
Discount. ..….….1 dozen (3 sets) $16.00 $2.00 shipping
5 dozen (15 sets) $70.00 $3.00 shipping
A Sanguuinargia Puublisshingt 85 F err1is S9t., B9ridg1epo rt CT 2 066 05. 20S3-57i6-9d168elines
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:00:42 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
5,"FBN
Editor & Publisher
Carol Seajay ARTICLES
Columnists Sidelines: Faves & Raves
Art Books Tee Corinne
Canadian Content Donna Murray Cards & Recycled Paper c11
Gay Men’s Literature Ed Hermance
Mainstream Publishers Sandi Torkildson . 41
Mysteries Mary Lowry Obituary: Gale Wilhelm . 46
Science Fiction Susanna Sturgis
University Presses Kris Hoover Recycling in the Bookstore . 47
Young Adult Books Christine Jenkins Subscription Info
Editorial Assistant
Ann Morse
THE SIDELINES
Cover Art
Cill Janeway Buttons 15
Proofreading Calendars „15
Pat Kelso
Cards . 22
Advertising/Production
Cill Janeway Crafts . . 27
Feminist Bookstore News Display 27
456 14th Street Suite 6
PO Box 882554 Distributors . . 28
San Francisco CA 94188 Fine Art Prints 31
415-626-1556 FAX: 626-8970
Fragrance . 31
FEMINIST BOOKSTORE NEWS is the communications
v Fe Bh Nic l re e af co hr e s t h 3e 5 0 i n ff eo mrm ina isl t n ae nt dw o r fk em o inf i s tf -e im nci ln ii ns et d b bo oo ok kst -ores. Jewelry . 30
s st eor le ls e r in s th ine U . ES. n a gn ld a nC dan ,a d a E a us r w oe pll e ,a s Afe um sin ti rst a lb io ao ,k - New Zealand, Journals . 32
bIn od oi ka ra en vd i e wJ ea rp sa ,n . p uL bib lir sa hr ei ran s s , a n w d o m fee mn’ is n i ss tt u d bi ie bs l i ot pe hac ilh ee srs, Music . 32
comprise the remainder of the subscribers.
Letters, articles, news items and announcements should Posters . 393
be received the tenth of the month preceding publication.
Sauigtnheodr s .articles and letters are the responsibility of the Pottery : 36
FEMINIST BOOKSTORE NEWS (ISSN: 0741-6555) is Safe Sex 37
published bi-monthly in January, March, May, July,
S Ne Ep Wte Sm b ae tr , 4 5a 6n d 1 4 N tho v e Sm trb ee er t b Suy i t eF E M 6, IN SI aS nT FB rO aO ncK iS sT coO ,R E CA Stickers . 37
9 C4 A1 .0 3 P. O S Se Tc Mon Ad S- TC El Ras : s P P leo as st ea g e se np da i d a d a dt r e sS sa n c hF ar na gn ec si s c to o, Tapes 37
FEMINIST BOOKSTORE NEWS, PO Box 882554, San
Francisco, CA 94188-2554. T-shirts . 37
$S 9U /yB r S CC anR adIP ianT I pO osN taS g: e ; $$ 16 9/0 y/ ry fr o/ r 6 o v ei rs ses au s e ps o, s t ag$ e1 .15/2 years. Plus Video . 40
3 August 1991
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:00:42 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
6,"SMƏN 910}SX00g }SIUWə]
SƏUT[ƏPIŞ Ț L661 3sn8ny
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:00:42 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
7,"Feminist Bookstore News
Compiled by Ann Morse ingtogethertheelementsofearth, fireand water.Each
With help from the booksellers handmade rattle is unique. Our customers love to
hold them. Retail from $16-$18. Nance’s address is
“Ain't I A Woman” cards, brass Goddess ear- 2241 AlderSt.,EugeneOR97405.Irecentlydiscovered
rings, hot-off-the- photocopy-machine ’zines and the artistry of Renee Locks who has created some
soft toys for kids are just a few of the wonderful uniqueand wonderful cards by using calligraphy for
items we learned of while compiling this second the sayings and beautiful tree, flower and women
annual list of booksellers’ favorite and best-selling imagery in pastelbrush strokesfortheartwork. These
sidelines. Last year’s list was such a hit that earlier are a must in any store. Her “Ain’tIa Woman” series
this summer we asked booksellers to once again (colored copies) retail for only $2. Hundreds of other
send us a note describing their rave sidelines. Like cards are handmadeto fill each order and range from
last year, we received a wide range of responses. $4-$10 retail. Renee is at 325 Richardson Way, Mill
Many thanks to all those who took the time to share Valley CA 94941. New videos from Kathy Wolfe, like
their best-sellers with other booksellers! And to The Changer and the Olivia 15th are always hot.
those of you who are inspired by this column, Kathy has a catalogue: Wolfe Video, PO Box 64,
please send us information about your own special New Almaden CA 95042. It’s been a good year for
sidelines and we'll print them in next year’s supple- Sisterspirit, thanks to all those sweet darlin’
ment. Thanks and happy selling! — AM women. — Sisterspirit, San Jose CA.
This year Sisterspirit in San Jose has had great One of our best new sellers is T-shirts from
success with many items such as buttons, pins, Kiki, 500 N. Robert St., Suite 302, St. Paul MN 55101,
games and flags. The “When I Am An Old Woman” 612-222-8102. Wholesale $9 and $9.50. Min. order
everythings are very popular, especially the T- $100. (She's the one who did the Bookwoman shirt).
shirts. They can be ordered through Papier-Mache They are brightly colored with woman-focused art-
Press, 795 Via Manzana, Watsonville CA 95076. work. Her cards are great also. Another new item
Nance Emmett’s Diva Spirit Rattles are great, bring- I've been selling well is Moon Runes from
August 1991
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:00:42 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
8,"Feminist Bookstore News
Heartifacts, PO Box 862, Mt. Shasta CA 96067. They for the kids. So, we have more moms, dads and kids
are white-glazed pottery runes, goddess oriented, and that means more purchasing in their department!
woman-made and come in a suede bag decorated And the new toys for sale are doing great.
with feathers and beads. Wholesale is $13.50. This — Aquarius Books, Bloomington, IN
includes a booklet.
New and popular sidelines at Old Wives’ Tales
recently have been “Freedom Rings” in rainbow col-
ors for Gay/Lesbian Pride (Universal Spada, 212-888-
1214) and buttons from Ephemera, which offers a
variety of “clean” and “rude” buttons, including
many feminist and lesbian/gay slogans and designs
(275 Capp St., San Francisco CA 94110, 415-552-4199);
our bestseller from Ephemera: “So many men, so little
reason to sleep with any of them!”
— Old Wives’ Tales, San Francisco CA
My favorite new line of jewelry is called
Manali. They’re beautiful, brightly painted wood;
very light earrings. They may also have necklaces,
Snake and Snake T-shirts continue to sell like hot but we don’t do much with that. We do order some
cakes. Rt. 3, Box 165, Durham NC 27713. Sancraft tiny of their figures (statue-like pieces) and are just try-
clay sculptures are wonderful. Mobiles, jewelry, etc. of ing their clocks!! We found this line through a rep
mermaids, witches, cats, vulvas. Beautiful colors. Rt. named Vera Zaskevich, 415-389-0426. I don't know
1, Box 1913, Worchester VT 05682. Cards: Kaleido- if Manali has a catalog. Write them at PO Box 1139,
scope Quilting, Rt. 2, Box 2448 AA, Spooner WI 54801. Makawao, Maui HI 96768 or call 800- 962-6254. We
Quilted cards. Labryses, cats, turtles, etc. Beautifully also continue to do well with Lightstones by Sandi
done. Blooming Creations, Box 4137, Chico, CA 95927. Woodbury (7303 South Ave., Sebastopol CA 95472,
Handpainted cards. Hearts, fish, birds. Beautiful col- 707-829-9403). They are handpainted ceramic
ors. Well worth the $3.50 retail price. stones, one side has a design, the other a meditation
— Bloodroot, Bridgeport CT word (balance, courage, faith, love, magic, peace,
prosperity, etc.). They're $2 each, minimum $40. We
Brass cast “Goddess Earrings” under $30 a pair sell a lot of them. The Alchemists have a great line
— fave. Martha Baldwin, 505-255-6147. “Cowgirls” of jewelry that was introduced to us by Heidi
T-shirt from Artwear in Albuquerque at $24 — rave. Hydusik of The Mulberry Co. (who also reps Jane
Diana Breyer Cards (PO Box 458, Santa Cruz NM Sipe’s jewelry to us.) Since the day it first arrived in
87567) best selling cards in the store — strong November ‘90, we have re-ordered THREE times!!!
women’s images in Southwest setting. Their catalog and order form seems a bit over-
— Full Circle, Albuquerque NM whelming to me — too many choices — but if you
just tell then how much you want to spend, they'll
The newest sideline at Aquarius Books is a really send a selection of their best-selling designs. They
fine soft toy for children, a find from our trip to the also supply a handsome wooden display that can be
ABA. They're from Pockets of Learning, 31-G Union used on a counter top or mounted on the wall.
Ave., Sudbury MA 01776; 800-635-2994. Our Medium size earrings cost $6 per pair and there’s no
children’s section has always been on our priority list minimum. Shipping time is 24-48 hours. There's no
and now that we have expanded, we have a nice area excuse for even the smallest store not trying this
for kids to play so we are seeing what a difference that line. Contact them at PO Box 1660, Green Valley AZ
makes for single parents who come into the store. 85622, 800-735-0830.
They really appreciate our having a place that is safe — Clairelight Women’s Books, Santa Rosa, CA
August 1991
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:00:42 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
9,"Feminist Bookstore News
Mama Bears in Oakland, CA is selling black and also has a bisexual pride pin that sells well now. We
white bumperstickers that read “Caution: Thelma and sell magnets distributed through Womontyme Distri-
Louise on board”. They order them from Diane Harris bution, cassettes and CDs of women artists from
and Laurie Lis at 1684 Locust St. #108, Walnut Creek Sweet Honey in the Rock to The Breeders, and loads
CA 94596, 415-428-2349. Alice Molloy had this to say of other T-shirts, including a very colorful T with a
about Thelma and Louise in a recent Mama Bears labrys, women’s symbol and pink triangle on it from
newsletter: “Here is is the end of July and Thelma and Dragonfly Graphics. But perhaps our fastest growing
Louise are still on lots of minds. There is daily mention store section and my own personal favorite are the
of them here at Mama Bears. Interesting. Karen Ripley, queer ‘zines. If you haven't clued in yet to the ‘zine
of Over Our Heads Improv Comedy Group bursts explosion, do so now, and watch dyke publications
into Mama Bears and says, They’re not dead! The car with names like GirlJock, Cunt, Screambox, On Our Rag
landed in water! They jumped out and swam to Mex- and Taste of Latex fly off your racks. The best way to
ico! They’re living in Mexico! make your store zine friendly is to simply start carry-
They are alive, that’s for sure. I find myself hum- ing them...word of mouth spreads incredibly fast in
ming the Joe Hill song thusly: ‘I dreamed I saw Louise the underground. Also check Fact Sheet Five, a ‘zine
last night/alive as you and me; Louise I said you're 10 listing ‘zines, for new titles (Fact Sheet Five, c/o Mike
weeks dead/I never died said she. I never died said Gunderloy, 6 Arizona Ave., Rensselaer NY 12144).
she.’ And then, later on in that song: The part that Women are hungry for alternative visions of
they forgot to kill/went on to organize. Went on to dyke/ queer sexuality, and ’zines — primarily photo-
organize.’ That movie sure organized feelings in a lot copied and selling retail for under $5 - -are well worth
of women’s minds."" the special care and consignment hassles they tend to
entail. Stores wanting specifics should contact me (Ra-
chel Pepper) for detailed information on our best sell-
ing 'zines. — A Different Light, San Francisco CA
The sidelines that do well for us are: 1) Ceramic
pins from People’s Pins, 9412 First Drive SE, Everett
WA 98208, retail $2, wholesale $1.25 per pin with a
20% discount for prepaid orders. They have feminist,
lesbian, gay and progressive symbols and slogans
(i.e., “One struggle, many fronts” and our bestseller is
a large ceramic pink triangle). 2) Buttons/
bumperstickers/postcards from Donnelly Colt, Box
188, Hampton CT 06247; 203-455-9621. They carry a
variety of feminist, lesbian, gay and progressive but-
tons and bumperstickers (pink triangle stickers,
“Feminism spoken here” stickers). 3) Cards. We order
from a lot of different places but the bestselling cards
are j stone (don't have address, sorry) and Amber
Lotus-Dharma Enterprises, 1241 21st St., Oakland CA
94607. Tibetan women cards and contemporary artists
series sell well here. Cards retail for $1.25 or $1.50,
A Different Light San Francisco does a tremen- bookstore terms $100 and 50% discount.
dous amount of sidelines business, most of it activist- — Fan the Flames, Columbus, OH
oriented. We sell Gran Fury’s “Kissing Doesn't Kill”
poster, the “Read My Lips” T-shirt from ACT UP, and My favorite sideline is the Goddess Pin — a creation
handmade pink and black enamel triangle pins and of Moon Joyce, a Manitoban artist and musician. A card
earrings by a local lesbian craftswoman J. Stone. She accompanies the purchase of each pin or earrings.
August 1991
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:00:42 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
10,"Feminist Bookstore News
Moonstone Designs, Box 382, 905 Corydon Ave., Win- canasta. $13 a pack plus postage. $10 a pack for book-
nipeg MAN Canada R3M 3V3. stores. Postage varies from $4.30 a pack for airmail
— Northern Women’s Bookstore, Thunder Bay ONT (approximately two weeks), to $3.70 a pack for surface
air lift (about a month) and $2.50 a pack for sea mail
Among FBN’s current raves is a wonderfully gay (can take three months or more). Last we heard Clay-
deck of playing cards. New Zealander Paula Clayton ton was talking with Inland. Write checks to Paula
advertises her “Mighty Queer Pack” as playing cards CZlayetoan,l a34n Wdrig;h t S0t.,6 M6t.4 C4oo-k,8 W4el2lin-gt3on5 21, .N ew O
with a difference: “No Jokers, Kings, Jacks, Tom, Dick
or Harrys in this lot! Just good old 100% lezzie fun. F
Now wouldn't you rather collect Maids or Butches
when you play Canasta, Gin Rummy and the like? It’s
a drag having to collect a Jack when you'd much
rather have a Maid. We've been through that — Bor-
ing!"" Boring these cards are not. The lavender backs
feature the words “The Mighty Queer Pack” and a
women’s symbol]; the face side includes colorful hand-
drawn pictures. Not only has Clayton replaced Jacks
and Kings with Butches and Maids (including impres-
sions of a Protest Marcher, Crone, Witch, Bar Dyke,
Joan of Arc, Sappho and others) she also transformed
the traditional suits into women’s symbols, labryses
and double triangles. The only drawback to this deck
is that some players won't be willing to throw down
their cards — who wants to give up an Amazon or a
winking Nun?! Each pack comes in either an orange
or lavender box with lesbian-tailored rules for playing
Check all the boxes you can and mail to FBN, I am/We are: [H Owned and operated by
PO Box 882554, San Francisco, CA 94188 [H Reader/Bibliophile women
Name [[ HH ] L ib rW ario anmen's Studies Teacher [H Co - ao nw d n e md e nand run by women
Business Name H Writer [H Owned and operated by men
! City A P/ hd Std oa nr te ees /s Zip [ [[[ H HHJ P CP e ru rB ab i fl oo i tds so h i wcek a or l mse anller [B [ HJ Ho o ]k L es Gt s Fbo er i aae mn ys i — b n o i mo skW ts ee nal o 's sno - s ft tio icc tk t: i o ' n !
n l e s :
: [J One Year - $60. Check enclosed. J B oot oh ker stores, Publishers and [[ HJ G Lee fn te ir stal / p i on lit te ir ce as lt !
[1 One Year - $65. Bill us. [1 New age/metaphysical 1
[J + $9 for Canadian postage. [ [J H F Le em sbi in anist [HD C hoiltdhreenr !
[H + $19 for other international postage.
[H Lesbian & Gay
[N Sp e 1c /ia 2l yT er ai ral -O f $f 3e 0r . ! Check enclosed. [ Hy o A G lta ey rnative/political [] B ea ac chk o ri s $s 3u 0/e ys e a ra . v Ca hi el ca kble — $6
L yo Sample copy - $6. [J General independent enclosed. 3
August 1991 Sidelines
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:00:42 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
