ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
0-939416-61-1,Queer and Pleasant Danger: Writing Out My Life,"Rafkin, Louise",Cleis Pr,151.0,1992,"Lesbians, Lesbians--Fiction, Lesbians--Social life and customs, PS3568.A385 Q4 1992, 813/.54",Paperback,"I. Stories About Worthwhile People : Fiction. Slumber Party ; The Life Cycle Of The Woolly Aphid ; Obits And Weddings ; Vows ; Odds Are ; Monuments ; The Other One Died ; The Getting Of Knowledge ; Blueprints For Modern Living ; Things You Can Never Know ; Tortoise Husbandry -- Ii. Now This About That : Essays. Writing Out My Life ; The Mine Field Of Lesbian Fashion : Out, In, Or Inside Out? ; After The Fall ; Provincetown Diary (at The Fine Arts Work Center) ; Clams For Nixon ; Homecoming Queer ; Someone Even Mother Could Love ; Dykes And Fags : What's Going Down? Louise Rafkin.",en,First Edition,"Height: 8.5 Inches, Length: 5.6 Inches, Weight: 0.4 Pounds, Width: 0.5 Inches",1.99,https://images.isbndb.com/covers/66/15/9780939416615.jpg,Success,8.0,15.3
0-939416-61-1,Queer and Pleasant Danger: Writing Out My Life,"Rafkin, Louise",Cleis Pr,151.0,1992,"Lesbians, Lesbians--Fiction, Lesbians--Social life and customs, PS3568.A385 Q4 1992, 813/.54",Paperback,"I. Stories About Worthwhile People : Fiction. Slumber Party ; The Life Cycle Of The Woolly Aphid ; Obits And Weddings ; Vows ; Odds Are ; Monuments ; The Other One Died ; The Getting Of Knowledge ; Blueprints For Modern Living ; Things You Can Never Know ; Tortoise Husbandry -- Ii. Now This About That : Essays. Writing Out My Life ; The Mine Field Of Lesbian Fashion : Out, In, Or Inside Out? ; After The Fall ; Provincetown Diary (at The Fine Arts Work Center) ; Clams For Nixon ; Homecoming Queer ; Someone Even Mother Could Love ; Dykes And Fags : What's Going Down? Louise Rafkin.",en,First Edition,"Height: 8.5 Inches, Length: 5.6 Inches, Weight: 0.4 Pounds, Width: 0.5 Inches",1.99,https://images.isbndb.com/covers/66/15/9780939416615.jpg,Success,75.0,15.3
,,,,,,,,,,,,,,Error,,15.3
0-06-254847-6,A Little Book on the Human Shadow,Robert Bly,HarperOne,81.0,1988-06-22,,Paperback,"<p>Robert Bly, renowned poet and author of the ground-breaking bestseller <b>Iron John,</b> mingles essay and verse to explore the Shadow — the dark side of the human personality — and the importance of confronting it.</p>",en,Reissue,"Height: 8 Inches, Length: 5.31 Inches, Weight: 0.21164377152 Pounds, Width: 0.24 Inches",12.99,https://images.isbndb.com/covers/84/74/9780062548474.jpg,Success,120.0,15.3
1-56584-007-0,"Early Black Photographers, 1840-1940/23 Postcards","Willis, Deborah",New Pr,23.0,1992,,Card Book,,en,1st ed.,"Height: 8.5 Inches, Length: 5.5 Inches, Weight: 0.4299014109 Pounds, Width: 0.25 Inches",4.17,https://images.isbndb.com/covers/00/72/9781565840072.jpg,Success,126.0,15.3
0-912078-92-8,Learning To Live Without Violence: A Handbook For Men,"Daniel Jay Sonkin, Michael, M.d. Durphy",Volcano Pr,,1989,,Paperback,,en,,,15.95,https://images.isbndb.com/covers/89/22/9780912078922.jpg,Success,84.0,15.3
0-941121-04-6,The Blessed,"Caspers, Nona",Silverleaf Pr,230.0,1991,,Paperback,,en,First Edition,,9.95,https://images.isbndb.com/covers/10/40/9780941121040.jpg,Success,28.0,15.3
0-671-72151-8,A Strange and Ancient Name,Josepha Sherman,Baen,386.0,1992-12-01,,Hardcover,,en,First Edition,"Height: 6.75 Inches, Length: 4.25 Inches, Weight: 0.44974301448 Pounds, Width: 1 Inches",5.99,https://images.isbndb.com/covers/15/10/9780671721510.jpg,Success,64.0,15.3
0-9631009-0-4,Lola Alvarex Bravo: The Frida Kahlo Photographs,"Kahlo, Frida, Grimberg, Salomon",Distributed Art Pub Inc,118.0,1992,,Paperback,"Introduction And Interview, Salomón Grimberg. Published To Accompany The Lola Alvarez Bravo Travelling Exhibition, September 14-october 14, 1991, Barry Whistler Gallery, Dallas, Texas, November 25, 1991-march 16, 1992, The National Museum Of Women In The Arts, Washington, D.c., April 1-june 20, 1992, The Albuquerque Museum Of Art, History & Science, Albuquerque, New Mexico--p. [2] Of Cover.",en,,"Height: 9.75 Inches, Length: 8.75 Inches, Weight: 0.89948602896 Pounds, Width: 0.5 Inches",24.95,https://images.isbndb.com/covers/09/00/9780963100900.jpg,Success,61.0,15.3
0-14-016000-0,Good Intentions: How Big Business and the Medical Establishment are Corrupting the Fight Aga,"Nussbaum, Bruce",Penguin Books,384.0,1991-11-01,,Paperback,,en,,"Height: 7.75 Inches, Length: 5 Inches, Weight: 0.6 Pounds, Width: 0.75 Inches",10.95,https://images.isbndb.com/covers/00/00/9780140160000.jpg,Success,59.0,15.3
