PageNumber,Text,ISBNs
1,"P eminist
Bookstore
News BiIvilzhh
SN yot havt A better © chance of olinner:.. also... Watch car.
5
w
= a
3 l V T SSSEEAAA
v Y$
S
bng- AWS face cooking rive Whi
E V BEREBER
Se aA £0 Raw YL
Spring Announcements
March/April 1994 Volume 16 Number 6
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:04:21 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
2,"Her Tongue on My Theory The Woman Who
by Kiss & Tell Loved Airports
From the authors of Drawing the Line by Marusya Bociurkiw
comes this sizzling compilation of Tough, sexy, poignant and irrever-
photos, lesbian sex fantasies and ent stories about the shifting nature
political /analytical writing. of sexuality, subjectivity and home.
ISBN 0-88974-058-5 ISBN 0-88974-035-6
L$ar1ge6 f.o9rm5a t, `with over 50 photos $12.95
Her Head a Village
and other stories
A beautifully produced edition of by Makeda Silvera by Karlene Faith
erotic writing by internationally Stories that speak eloquently of A bold feminist analysis of women,
acclaimed poet Chrystos. what it means to be Black, a woman, crime and punishment, with historical
ISBN 0-88974-033-X a lesbian working-class “ outsider.” and international perspectives.
$12.95 ISBN 0-88974-056-9 ISBN 0-88974-050-X
$12.95 $21.95
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:04:21 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms","['0-88974-058-5', '0-88974-035-6', '0-88974-033-X', '0-88974-056-9', '0-88974-050-X']"
3,"Feminist Bookstore News
EEEE ERELAZEEN
0:0.: 0: 0,0 O00 OFO
These are challenging times in the book indus- ABA is fast approaching. If you have informa-
try, there's no doubt about that. I know very few tion about events or programs that feminist book-
booksellers who are genuinely pleased with their sellers will want to know about, get it to FBN by
1993 sales figures — though there are a lot who are March 25.
qualifying their responses with, “Given the way it We'll also begin working on FBN’s annual
looked earlier in the year, the year-end figures Sidelines issue in April. Please take a moment to
aren't so bad...” We all know where the problems send us a postcard describing your favorite or best
are coming from: encroaching superstores and dis- selling sidelines — and/or your best ideas, skills,
counters who get unfair discounts and benefits and successes in the sidelines arena.
from publishers, a not-adequately-recovered econo-
my, increased competition on every front (due in There are now 124 feminist
part to the economy and in part to our enviable suc- bookstores in the U.S. That is 26 new
cesses), a shortage of “big books” for holiday sales, stores in 13 months.
wretched weather at critical times...
But despite the financial challenges, feminist Speaking of contributions — we’re running short
bookstores are thriving. We just finished updating on Canadian Content columns and would love to
FBN'’s list of feminist bookstores. There are now 124 hear from more Canadian booksellers. If you have
feminist bookstores in the U.S. — up from 98 a mere an idea — or need encouragement — give me a call.
thirteen months ago. That’s 26 new stores in 13 The Canadian Booksellers Association
months. I can't think of any time that that many fem- Convention is coming up — do Canadian feminist
inist bookstores have opened in such a short period bookstores want to meet for a few hours or a day?
of time since the seventies. What’s going on here? FBN would be glad help with mailings and setting
Women want women’s bookstores! Five of the new things up if someone will declare a time and place.
stores are in Oregon — built by women who fought On the local level, FBN is looking for some
Proposition 9 and who feel the need for community additional help with proofreading. It’s not a paying
and access to information as perhaps never before. job, but is does get you a free subscription to FBN
Feminist publishers have also been creating — and you get to read it before anyone else does!
impressive numbers. A quick count of the books And, finally, our apologies to Anne
announced by feminist presses in the late summer, Dellenbaugh who contributed the “Women’s
fall announcements, and late fall issues of FBN gen- Movement Moves Out” article to our Women and
erated some fascinating statistics: Care to take a Travel issue for inadvertently omitting her bio
guess at how many feminist presses published statement. Anne, a founding editor of Trivia: A
books in the last six months? Or how many books Journal of Ideas, now owns her own company, Her
they published? (I'm tempted to make you turn the Wild Song, guiding wilderness journeys for
page upside-down to find the answers...) 42 women. For a brochure, write to PO Box 515,
woman-owned, feminist presses published a total Brunswick ME 04011 or call 207-721-9005.
of 129 books last Fall 1993 season. 87 of them were Yours in spreading the words,
lesbian titles or included significant lesbian content. Carol Seajay O
Volume 16 Number 6 March 1994
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:04:21 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
4,"Меп Мотеп
Сгоѕѕіпо Тһе Тһе Ме іп Ње
Вошпаагу Мікгог РІауе й Нага
ВІасК УУотеп Ѕигуіуе Іпсеѕі Соппіе Рапгагіпо Ѕиѕап Е. Јоһпѕоп
МеЬа МИПѕоп Соппіе Рапгагіпо із а ѕеуегіу аїѕаЫеаі Већмееп 1943 апа 1954 тоге Њап 500
асіїміѕі, агіїзі апа Іеіап мо һа Бееп мотеп рагіісіраіед іп е АІ-Атегісап Сігіѕ
Іп Њіѕ Ьгауе, ітрогіапі БооК, УМіѕоп Їміпд мі а гаге тоѕсиіаг аїѕеаѕе, Зріла! Ргокеѕѕіопа! ВаѕеЬа!! Іеадие – еу ѕіоіе
е о Њ д гах р е сеа пр ет у аг .і ее п г ѕе ,іѕ п ѕ і о і с епЊ Іг аз ѕе еа з с$ і Ф а пу м ап іатісѕ оЁ зех апа ѕехоаі М аі рѕ еа и Кѕ з ѕһ аіѕ пе ос сг пи е І . а г аг е п т ааА гкіг ао Ырһ е у ѕ іоШ г, у ѕ Кіп ес се мс іа іА һ зо ро ігФ іі. , Тһіз м чБ т рііе аа згг гѕ іае іЫе с ,ѕ и е, о і Г о Ғ о иһ а ог пѕі шг Ф га т і һ е по , ѕБ ат и г ће а рі ое р пғг о аи г !п іа еѕ п с, а і ріісһед сигуе Ба!Їз апа
“п Сгоѕѕіпо Ње е Меску “ РС аоп пп гіе агіпо'х І ер с га е аѕ і і ї е №те Ь. г сТ оаһ Іі оі еѕ г іѕ ! Б о іпо а ѕК і іа е тадісиі
В Уо Ии Їп ѕа оа пг у а ѕ М Кѕе / ЊБа е ѕ Њіг ео оу г іе т ѕа К ое Ёѕ Њ Њ ее ѕіогіеѕ апа апесдоіез.
т до иѕ еі ѕ? һ о с пг зи с іі па! а тї оѕ уаЫ етй еу пі г Нід еһ ѕі һ. з“ и| д ег ,е с о Њдп еі г е р а іЊ п,е апсі
г у ѕ уУе ео еИд х гта и ѕ уег оап с ! п с а оаі Юю п Ь тФ р и о іі ѕ у еВ е хүІ .а зс к а аѕ е уА пг а /и Ї аиз һ!д с од а Гі ћ е оѕ һз о у а һ п уе,ме , е и п уй Њ ' ""у +а №оа гз к оѕ е һег е Ѕ –дсѕ и гр гѕ е а е а Вс п а епі а і а І Ј е ЈІ !оу е һ а, л п а хп Њ ѕ а Ко е тп і е п !г а ј ”о һ ау а гѕ. у
р Һа о һ Њ у а ѓ р г оі к әБ зо зћ іо п а ае ! е р аі пу а ), р е һг ох уо еп уа! е г а п оа иі дһ з Њһ еа г е іс д п оһ ге аг п се ех р ае пг ае і п іс пе јз и ѕ ку сн еі ! ѕ һЬ ее һѕ аһ ѕо с БК ае нс іі е са іі А Фу а 1і 5їІ ВаЫ Ме 1 А -8р 7г 8іі 0 6 1 79 -49 34 - 5 Ф рарег, $14.95
Њтие ѕ діи е ѕБћоеп з ѕ,а п ѕѕзһуе г етагКеесз ” ї і –с[е а г Ј Њемаіи еЊһеуһе Сотег. амдауіпоѕіт. е Тпһ о ѕеү мо ! и ѕЁ пу/аћіо ааг е г сеїѕеасЫоеспі оЁоиг уез іп
А ®у а 1ї 5іа ВЫ Ме 1М -а 8г 7с 8һ 0 6 71 -9 49 24 - 7 Ф рарег, $12.95 Ње тіггог оЁһегѕ.” – Аппе Еіпоег , ашіћог оЁ Раѕі Оие АІѕ #о ғ оМ т е Ѕм еа і һ Ріѕ ге ѕ ѕЅргіпо
А Фу а 1ї 5Іа ВЫ Ме 1М -8а 7у 8 0 1 69 79 -4 4 5 -Ф 1 рарег, $12.95 Гоуегѕ' Сһоісе Ьу Веску Віга (1-878067-
41-9), А Соттипііу Ѕесгеі: Ғог Ње Рііріпа
Тһе ВІаск Мотеп”^ѕ іп ап АЬиѕіуе ВеІаопѕһір Ьу Јасаиеһіпе
Неа Воок А гед іі ви ас ѕа е ѕ ( 1 о- ғ8 7 М80 о6 7 - ѕ4 еп4 а-3 ѕа) н оа пп а ! р а тр уе ѕг іЬ ега іс ек ѕ, $НІІ
ЕхрІоѕіоп Ьу Магу одие (1-878067-48-6)
апа Мо Ғогууагдіпо Адагеѕѕ Бу ЕїѕаЬећ
Еде Бу ЕуеЇуп С. М/һііе Тн Вомегѕ (1-878067-46-Х).
р!
Ф Ѕеаі Ргеѕз Нез аге 4іѕігіБиіеа Ьу
је РиЫіѕһегз Сгоир УУезі, ІпЇапа, Іпогат,
апа Бе! ҺооКе. ВаКег & ТауІог, ВооКкреор!е апа Расійс
Рірећпе. РЇеаѕе мгііе ог са! иѕ Гог а ее
саіаГод.
ЅеаІ Ргеѕѕ Ф 3131 М/еѕіегп Ауе. Ѕ$иііе 410
А Фу а 1ї 5іа ВЫ ДМе 1Ј -а 8п 7и 8а 0г 6у 7 - 1 49 09 -04 Ф рарег, 516.95 Ф Ѕеанїе, МА 98121 Ф (206) 283-7844
Магсһ 1994 УоІцте 16 МитЬег 6
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:04:21 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms","['79 -49 34 - 5', '1-878067-48-6']"
5,"Feminist Bookstore News
CONTENTS
FBN
Editor & Publisher ARTICLES
Carol Seajay International Feminist Book Fair... 35
Editorial Assistant TCB: Advertising Budgets... 29
Dawn Lundy Martin Censorship on Martha’s Vineyard... 25
Surviving in:Connecticut .................. 23
Advertising Transgender Booklist... 41
Sandy Buie
Columnists B Puoo bk lis st ho er re ' s P Cr oo lf ui mle: n : B o Oo nk s e “l Lli on sg t” i n Fi c B tii or nm i .n .…g …h .a …m ... . ... ….. …..… .... …… …… .… …… …… ..… .. . 3 33 1
A C Cr a at n n B a ao d dok i ia as n n B Bo oo ok ks s T J De oae n r oa tC ho W yr ii ln l Sin eae m atos n M CBuid t- otA it onla gkn t i sEc d tN goe et w r Por eok l i tM ice Nse :t in W Ng e . t. S… t… :.H.. .. a. .. r… . t. . . . e > .2 .1 . 1395
G Hay u M men’s o rLit e ra Rtur oe z Wa rRi rch ear nd Labonte More Travel BOOKS... £. 58
Mainstream Publishers Sandi Torkildson WNomen’Es MWusic: MSore2 Ho-t New SReleSases .... .....9.…..…..... 53
Mysteries Nan Cinnater
Science Fiction Susanna Sturgis A BoL oA k M Seo rv ie es s C e o n Nv Le &n Gti Bo Mn • • A Sala nm dio TS oq ru kar ile d s o• n C a Nss oe mll i’s n a tG ea dy / tL oe s b Ai Ban A
Proofreading Board • Seal Press Wins Award • Silvia Dobson Obituary
Pat Kelso DEPARTMENTS
Cover Art A Ad nve nrt ois uin ng c e[N mde ex n t.. s.= .. .. . s . 1 1 331
Paula Clayton
Feminist Bookstore News BBacke stot Psreessl l&e rOthse.r. .G o od2 N. ew s4... 8 47
2358 Market St. Beadlines:... se. eei 5
PO Box 882554
San Francisco CA 94188 Subscription Information... 68
415-626-1556 FAX: 415-626-8970 They:Went.That-A-Way 51
TriVia ERSS NALI 43
Printed in USA Writing- Wamedi 49
FEMINIST BOOKSTORE NEWS is the communications
vehicle for the informal network of feminist bookstores. FBN
reaches 500 feminist and feminist-inclined bookstores in the THE BOOKS
U.S. and Canada as well as feminist booksellers in
England, Europe, Australia, New Zealand, India and Japan. Art BOOKS... ciaee aiaee eaaee i a 59
Librarians, women’s studies teachers, book reviewers, pub- Canadian: BO0kS........ c a essserese eiiiai: 57
tlihseh e rsus b sacnrdi b efresm.inist bibliophiles comprise the remainder of Gay Men's Literature... 61
Humor. BOOKS -2s a 69
rL ee ct et ie vr es d, a tr ht ei c l te es n, t hn e w ofs i tt he em s m oa nn td h a n prn eo cu en dc ie nm g e n pt us b l is ch ao tu iol nd . be MVYSİSeS sso. e 75
aSuigtnheodr s .articles and letters are the responsibility of the OUr OWN Presses... 79
Publishers? Rows... 117
FEMINIST BOOKSTORE NEWS (ISSN: 0741-6555) is pub-
lished bi-monthly in January, March, May, July, September, SCiIenCe Fiction... ai Z1
aMnda rNkoveetm b eSr t .b,y FSEaMnIN ISFTr aBnOOcKiSsTcOoR,E CNEAW S 9 a4t 1 213458. Second-Class Shon Raves... reai 55
Postage paid at San Francisco, CA. POSTMASTER: Fhe:Small Presses... 95
Please send address changes to FEMINIST BOOKSTORE
NEWS, PO Box 882554, San Francisco, CA 94188-2554. University Presses ..... 2>. sies 107
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:04:21 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
6,"Women Do This Every Day Selected Poems of LILLIAN ALLEN
Finally, a full collection of poetry from Lillian Allen, Canada’s
feminist dub dynamo. Two-time Juno Award winner for her
impeccable reggae-based albums Revolutionary Tea Party and
Conditions Critical, Lillian’s up-front political poetry is well-known
to audiences in North America, the Caribbean and Europe. From
familiar lyrics that sing off the page to poems that call down the
injustices of contemporary Babylon, Lillian Allen's voice is critical
and uncompromising.
140 pages 5 1/2x 81/2 $12.95pb 0-88961-192-0. Now Available
Resist! Essays Against a Homophobic Culture
edited by MONA OIKAWA, DIONNE FALCONER & ANN DECTER
In this timely and incisive collection, lesbians and bisexual
women examine and challenge the ways in which homophobia,
lesbophobia and heterosexism function — individually, socially
and politically — and celebrate the ways in which we resist.
Resist! locates the meeting points of our resistance, a deep
gathering of thoughts and perceptions where we expose the
underpinnings of hatred and re-theorize from our own
perspective, from our own truths. A diverse cross-section of
Canadian and American writers make this a long overdue
addition to lesbian literature. This is a non-fiction companion
volume to the poetry and fiction collection Out Rage: Dykes & BIs
Resist Homophobia.
240 pages 5 1/2 x 81/2 $15.95 pb = 0-88961-197-1 Release: June 1994
Division of Surgery by DONNA McFARLANE
Honest and poignant, Division of Surgery is an essential novel
tracing one woman's journey through and beyond her experience
of IBD — Inflammatory Bowel Disease — a chronically painful
and potentially fatal disease. Subject to surgery on a regular
basis, Robin Carr struggles to retain the will to live, to enjoy life
and to establish the boundaries of life as she is willing to live it.
225 pages 5 1/2x 81/2 S13.95pb = 0-88961-193-9 Release: April 1994
Granny and Me
by GALE HENRY, Illustrated by WINSOM
A gentle and touching children’s picture book, Simone shares
with us her experiences of growing up with her grandmother, and
then losing her. When her mom explains that
Granny has died, Simone learns to remember
Granny from pictures and from seeing all the
things she and Granny did in her memory.
24pages 8x8 = $6.95 pb 0-88961-195-5
B&W, & colour illustrations Release: June 1994
Pe M M M A M -\<
March 1994 4 Volume 16 Number 6
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:04:21 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms","['0-88961-192-0', '0-88961-197-1', '0-88961-193-9', '0-88961-195-5']"
7,"Feminist Bookstore News
Sakhi Indian feminist organisation. There are various
B-44 Defence Colony myths given by the feminist groups for not taking up
Dear FBN, New Delhi 110 024 India lesbian issues or challenging heterosexism.
We urge international groups to be critically
Firstly, Id like to thank you for the year’s sub- responsible in their support of feminists and femi-
scription of FBN which has been very useful, inter- nist groups. We ask you to condemn the lesbopho-
esting and provides a very helpful description and bia and pressure feminists to take up lesbian issues
overview of the kinds of publications available etc. and challenge the above myths. We ask for letters
In setting up our library it has proved invaluable to of solidarity and support. We also urge you to pub-
select and order books. I'd very much appreciate if lish this document and disseminate this informa-
you could extend our subscription. tion.
Thanking you,
Giti Thadani
Coordinator Sakhi
I'm enclosing the program and outcomes of the A Lesbian Resource
seminar that we recently organised. We hope by the Research and Networking Centre O
end of this year to bring out the articles in a journal
form. We are also hopeful of eventually bringing
out a journal from Sakhi which will be on lesbian
themes and issues. We are also bringing out portfo- FBN Deadlines
lios of lesbian images, handmade letter paper with
imprints of auto- and lesbo-erotic sculptures in ABA issue
older temple iconography. We hope to engender
funds for further research and create in the process May/June 1994
more women-centred handicrafts etc. I enclose part March 15
of the written text of the portfolio which will have
twelve colour images. Any suggestions in this
direction would be very welcome.
I'm also enclosing materials concerning the boy- Special Sidelines Issue
cotting of our activities by feminist groups and the
text of the letter that we are sending out for support
to the International Feminist Communities. April 21
We are writing to you because of the persistent
and suffocation lesbophobia in the denial of open Summer Issue
lesbian space by Indian feminist groups. We have June10
been in existence three years but have not received
one letter of acknowledgment or support from any
March 1994
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:04:21 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
8,"Feminist Bookstore News
M Ii N N E S O T A
Hélène Cixous Inderpal Grewal and Caren Kaplan,
Manna editors
for the Mandelstams for the Mandelas \ Scattered Hegemonies
Translated by Catherine A. F. MacGillivray Postmodernity and Transnational
In this novel, Cixous considers the Feminist Practices
linkages that exist between Russian Explores the possibilities of doing fem-
Jewish poet Ossip Mandelstam and inist work across cultural divides with-
South African political leader Nelson \ out ignoring differences or falling into
Mandela. The shared destinies of these | cultural relativism. “Eschewing both
two men, so far apart in time and space, ` homogenization and relativism, this
are unraveled in light of the Jewish and collection is a landmark of concrete
African diasporas. Cixous links her dis- analysis and theoretical clarity about
tant subjects through the common first transitional feminist practices that
syllable of their names, the dates of their seek to be accountable within the ter-
respective exiles, and the women, rors and possibilities of postmoderni-
Nadezhda Mandelstam and Winnie ty.” Donna Haraway, University of
Zami-Mandela, who disclose and California, Santa Cruz
restore their partners’ lives through $19.95 paper $49.95 cloth 272 pages
language.
$24.95 cloth 224 pages Karen Hohne and Helen Wussow,
/ editors
Marta Peixoto A Dialogue of Voices
Passionate Fictions Feminist Literary Theory and Bakhtin
Gender, Narrative, and Violence in Focusing on feminist theorists such as
Clarice Lispector Hélène Cixous, Teresa de Lauretis,
“Passionate Fictions is the first critical \ Julia Kristeva, and Monique Wittig in
book on Lispector in English. Peixoto conjunction with Bakhtin’s concepts
offers a brilliant analysis of the articula- of dialogism, heteroglossia, and
tion of gender, narrative, and violence in chronotope, the authors offer close
representative moments of Lispector’s fic- readings of texts from a wide range
tion. Carefully crafted and elegantly writ- of multicultural genres, including
ten, the book is a significant contribution nature writing, sermon composition,
to feminist scholarship of Latin American nineteenth-century British women’s fiction, the
women’s writing.” Doris Sommer, contemporary romance novel, Irish and French
Harvard University lyric poetry, and Latin American film.
$15.95 paper $29.95 cloth 144 pages $17.95 paper $44.95 cloth 232 pages
March 1994 6 Volume 16 Number 6
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:04:21 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
9,"Feminist Bookstore News
Lee Quinby Diane Carson, Linda Dittmar,
Anti-Apocalypse and Janice R. Welsch, editors
Exercises in Genealogical Criticism ij Multiple Voices in Feminist
Drawing on feminist and Foucauldian
theoty, Quinby critiques the millenarian ‘ |L FCiollmlec t inCgr istoimcies mof the most important
rhetoric that pervades American cul- N writing in feminist film criticism and
ture. Tracing the deployment of power theory, this volume offers readers a
| through systems of alliance, sexuality, comprehensive survey of the varied
and technology, the author prorūnotes a /' contributions feminist scholars have
variety of critical stances—genealogi- been making to film study over the past
cal feminism, an ethics of the flesh, and “pissed two decades. Includes essays by B. Ruby
criticism”—as challenges to apocalyp- Rich, Teresa de Lauretis, Janet Staiger,
tic claims for absolute truth and Beverle Houston, Chris Straayer, bell
morality. \ hooks, Linda Williams, and Julia
$17.95 paper $44.95 cloth 240 pages _\ Lesage.
| $19.95 paper $49.95 cloth 560 pages
Patricia S. Mann
Micro-Politics Justine Kerfoot
Agency in a Postfeminist Era Woman of the Boundary Waters
Provides a theoretical framework for Canoeing, Guiding, Mushing, and
redefining our notions of individual Surviving
agency in the context of “micro-political” Foreword by Les Blacklock
situations involving intersecting dimen- Justine Kerfoot arrived in the
sions of race, class, gender, and sexuality. wilderness of northern Minnesota in
$17.95 paper $44.95 cloth 264 pages W, 2 M A N Qs 1928 and has lived there ever since.
SOUNDA py Hin
Her lyrical descriptions of wildlife
Kamala Visweswaran
and seasonal environments express the
Fictions of Feminist Ethnography reverence for nature that has become
In these essays about her work with her way of life.
women in Southern India, $14.95 paper 224 pages 10 ink drawings
Visweswaran employs the narrative
strategies of history, fiction, autobiogra-
phy and biography, deconstruction, and post- University of Minnesota Press
colonial discourse to reveal the fictions of 2037 University Ave. S.E.
ethnography and the ethnography in fiction. Minneapolis, MN 55455-3092
$17.95 paper $44.95 cloth 224 pages 1-800-388-3863
368/251
Volume 16 Number 6 7 March 1994
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:04:21 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
10,"Feminist Bookstore News
enia NA
yu niea
OaE aJa
ININ Braue a raa
deny them. PRICE OF HONOR
ehara u Sease eee
(ORIA oA Se)
Muslim countries today.
“Truly unforgettable. .….
ET eiA SIC
behind the veil and
TILKOMA ILe arate
minds of Islamic
AV 01a S a
Editor-in-Chief, Redbook
MCN A0 e
millions of silent and
silenced Muslim
women.” —Kirkus Reviews
BDT via
Taa ate
superb reportage.”
— Barnett Rubin,
Columbia University
On sale in April
® Little, Brown and Company
March 1994 Volume 16 Number 6
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)70.126.145.227 on Sat, 19 Mar 2022 18:04:21 UTC(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
