PageNumber,Text,ISBNs
1,"Feminist Bookstore News
Source: Reveal Digital, 09-01-1995
Contributed by: Carol Seajay; Beth Morgan; Mev Miller; Felice Newman; Oren J. Teicher;
Barb Wieser; Tollie Miller; Jenn Tust; Roz Warren; Richard Labonte; Alexandra Wilson; Tee
A. Corinne; Dorothy Holland; Nan Cinnater; Lilian Mohin; Beth Morgan; Mev Miller; Patty
Callaghan; Linda Bryant; Sandi Torkildson; Audrey J. May; Mary Ellen Kavanaugh
Stable URL: https://www.jstor.org/stable/community.28036370
Licenses: Creative Commons: Attribution-NonCommercial
JSTOR is a not-for-profit service that helps scholars, researchers, and students discover, use, and build upon a wide
range of content in a trusted digital archive. We use information technology and tools to increase productivity and
facilitate new forms of scholarship. For more information about JSTOR, please contact support@jstor.org.
This item is openly available as part of an Open JSTOR Collection.
For terms of use, please refer to our Terms & Conditions at https://about.jstor.org/terms/#whats-in-jstor
Reveal Digital is collaborating with JSTOR to digitize, preserve and extend access to Reveal Digital
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:28:13 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
2,"""eminist
đ Bookstore
Fall Announcements
_ Volume 1 8 Nfumbeir 3e
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:28:13 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
3,"10 ) JYEAFs, 2 e Tr counting.
ORAL TRADITION PARKER & HULME: UNNATURAL DYKES
SOelelcdte d : & P Ao e l m iNss o:e n wA JL eل.s b i a Lnaa u V rie iw e O WATCHOUT FOR
e Ruby Rich
- Juliet Hulme and Pauline Parker lection
~o were teenagers in New Zealand, of co
® ages 15 and 16, when in June 1954.
they killed Pauline’s mother.
۱ e e
love, learning New Zealand. Bye in on the
1 :
Rg e lie he mates
invented and heard aloud. 1
: A writer and activist trans-
in cicsivoe n cotmrmiebntuarytes her ا
duction to the U.S, edition.
paper ISBN 1-56341-065-6 $12.95
ISBN 1-56341-061-3 x n B $1 69 52 d2h 4SB N p1-5a63g41-e06s6-4 1
ISBN 1-56341-062-1 Pi
pages $ 9.95 paper 1SBN.1-56341-063-X 176
O $O20.9 5 cSlotUh IXSBN 1-8563041 -0 64p-8ages
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:28:13 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms","['1-56341-065-6', '1-56341-061-3', '1-56341-062-1', '1-56341-063-X']"
4,"Feminist Bookstore News
O04000 00.00 0
September has arrived and the Feminist Book- And of course the catalog wouldn’t exist at all
store Network Catalog (Number 2!) is off to the film- without the incredible efforts of Dorothy Holland,
house — the last step before it goes to the printer. The Mev Miller, and Lisa McGowan, our fabulous team of
film-house is where the book covers are scanned and sales reps who made all the calls to book the ads that
dropped into position, the colors separated, and the make the catalog possible.
film — which is used for making the plates from
which the catalog is actually printed — is made. I'm very sorry to have to say good-bye to FBN’s
It’s a long haul and a lot of work and sweat to turn Assistant Editor, Beth Morgan, who leaves FBN as we
an idea like The Catalog into a physical entity that you finish this issue to develop a special projects / editorial
can hold in your hand or send through the mail. department for a legal publishing house. Beth has
Everyone in the FBN office has pitched in to make done an extraordinary job for FBN for the last year and
it work, doing everything from taking the hundreds she'll be missed on a daily basis!
of phone calls and answering all the questions that But I'm also very excited to announce that Jenn
come up, to calling publishers and booksellers, proof- Tust, FBN’s superb administrative assistant, has agreed
ing and proofing and re-proofing the copy, laying out to move into our editorial position. Beth will come in
logos, dealing with technical questions and with the
thousand-and-one things that come up.
I wouldn't have wanted to take on the project FBN
without the enthusiastic support of all of FBN’s
regular staff — Jenn Tust, Beth Morgan and Kathryn Deadlines
Werhane — all of whom came through again and
again and again for the catalog. And thanks, too, to
Kathleen Wilkinson, who stepped in to take over the
proofreading when our scheduled proofer had to re-
sign due to a neck injury. November Issue
But special thanks must also go to Tricia Fallon,
FBN’s I'd-Rather-Be-Fire-Fighting Catalog Coordina- September 22
tor who tracked every detail, entered all the data,
coordinated all the proofing, faxed all night, tele-
phoned a hundred and one bookstores, and chased International Voices (Jan.)
covers all over the known universe! Tricia has been
doing odd jobs for FBN for years, and also filled in for November 17
us last fall while we were without an administrative
assistant. But her hardest job, during all these months,
has been staying sane while her name migrates up to Spring Announcements
the “start” position on the San Francisco Fire
Department's trainee list. We are all going to party January 12
wildly when she gets there!
Volume 18 Number 3
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:28:13 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
5,"Feminist Bookstore News
weekly to help with training and transition and, since Beth Says Goodbye...
Jenn already has a working relationship with many of
our contributors, I’m anticipating a very smooth transi-
tion. Meanwhile we're hiring a new administrative as- If you haven't yet heard the news, this will be my
sistant. If you know someone who's interested, please last issue as Assistant Editor of FBN. I’ve made the
call and see if the position is still open. decision to accept a job I was offered quite suddenly
in August, doing large-scale editorial work for a legal
Golden-Lee Book Distributors joined Inland in publishing company here in the Bay Area. It wasn't an
filing for Chapter 11 bankruptcy /reorganization, easy choice to make, yet everything seems to be point-
adding even more difficulties to publishers who are ing me in this new direction, at least for now.
out money and/or a vehicle for distribution. As we go
to press there's a very real possibility that Koen Book But for the time being, think of this as au revoir,
Distribution will buy Inland’s wholesale division and not goodbye. As some of you already know, Jenn Tust,
take on the task of distributing many — or most — of our brilliant Administrative Assistant, will be step-
the titles that have been available from Inland in the ping into the editorial job, and over the next five
past. (See News). months or so Jenn and I will be getting together for
The crises at both distributors can be attributed, in intensive training so that she can learn the ropes as
part, to the rapid changes in the structure of the book quickly as possible, and so that Carol can remain
industry, but John Miller, the “bust-out artist” who focused on her own (countless!) projects. I'm excited
“purchased” Inland in order to milk it of its assets, about passing on such a wonderful, challenging job to
must also get a certain amount of the “credit.” Miller Jenn — she deserves it, and I know she will shine
has pled guilty to fraud in a similar case and has brightly in all that she does.
admitted to doing the same to 16 other companies —
including Inland... (see News). Unfortunately, the max- And now for some thank-you'’s...
imum sentence he will receive is five years — and it First, thanks to all of you for your generous wel-
isn't enough! come last Fall, and for the pleasure of working with
In the meantime, it’s our intention to publish as you, no matter how great the distance between us in
much of the news about which publishers are avail- the far-flung world of FBN. I’ve known Theresa
able at which distributors as possible. The information Corrigan for years (Lioness Books), so I had an inkling
in this issue is as accurate as we could make it, but of what you feminist booksellers were all about, but at
booksellers must stay aware that publishers’ last Fall's Strategic Planning Conference I was nothing
decisions are being made and re-made as circum- less than awestruck at your collective wisdom and
stances change. power and the incredible levels of resourcefulness and
creativity you bring to whatever you do. The ABA
meetings in June only deepened that appreciation.
Also, my heartfelt thanks to all of FBN’s columnists
Elsewhere in this issue: Amazon Bookstore writes and contributors — you're a big part of what makes FBN
about growth (page 29) and The Reader's Feast re- the tremendously useful publication that it is, and I've
ports on a successful transition (page 31). Bookfiends is loved working with you to make that happen.
where it’s at in Cyberspace (see News). Please see the And, of course, sincere thanks to the “unsung
Letters column for ABA's response to our coverage of heroes” of FBN, the women who come through issue
the arrests and related events at ABA this year.... after issue, the diligent, the brave, the formidable —
We're getting psyched to start on our Interna- the proofreaders!! Thank you Pat, Carole, and Elaine,
tional Voices issue. Please give me a call if you have an for your unflagging commitment, talent and energy.
idea, an article or a news item for the issue! Finally, endless thanks to Carol Seajay, the
We're looking for another local proof-reader woman who imagines so many important and amaz-
while Pat Kelso is taking time away to welcome her ing projects into existence, and the smartest, savviest
new grandbaby into the world. —Carol Seajay O visionary I've ever met. —Beth Morgan O
September /October 1995
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:28:13 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
6,"Feminist Bookstore News
Editor & Publisher PESEE
Carol Seajay
Assistant Editor ARTICLES
Beth Morgan Taking Care of Business: Thriving. ....... 29
Advertising Reader’s Feast Finds New Owners ....... 31
Jenn Tust and Kathryn GWerhIanSe SBooAksto.re Ne5ws 23
Columnists L
Art Books Tee Corinne :
Canadia n'o B1o oik s. Aohlenx a nMdirllae r W Pillseoands N Geuwialt yS v •: ArrEeAst eAe r rTersitaol DTeialai y eDde l a•v I nsll a ns
. uMmeonr's oLzi t eWraatrurreen EZ i mabboanbew eB aBnokorku p Ftcayir U• p dCaleties •P rMesosr e A nBnanokunrucepst c yB o oNkefwiesn d• s H oonm otphheobia at
Mysteries , Nan Cinnater Internet e Women’s Wire Refocuses • De-Genderizing the Bible •
Science Fiction Susanna Sturgis Obituaries: May Sarton, John Gill
University Presses Mev Miller :
Elaine P Brolaokfree,a d Pinagt DKEePlAsoR,T MCEaNroTlSe London :
and Jenn Tust Ad Index. e. 139
Cover Art Announcemenis 37
Judy Horacek/6th International Book Fair Back to Press & Other Good News . ....... 35
Classified Ads... . .... 140
Feminist Bookstore News N :
2358 Market Street Subscription Information.. .. .......... 50
PO Box 882554 Fhey Went That-A-Way .............. 33
San Francisco CA 94188 se riting VVanted >.. s.
415-626-1556 FAX: 415-626-8970 Witing Wanted s6
e-mail: seajay @ dnai.com
Printed in USA THE BOOKS
vFehEicMle IfNorI SthTe inBfoOrmOaKl SneTtwOorRk E o f NfeEmWinisSt b oiosk s totrhes.e communications AK BOOKS s >- 51
ssFtoeBrlelNs e irn s r teh eia nc Uh .S e.E san n dg 5 lC0 aa0 nna dd a,J a Ss ES wu e rlla o napsd ef ,e mf iAnOise ut s btop rooka-o l ik; a s, C Nan ewad i a Zn e: aB lO anO dk ,K S G a . y . . M... S.. N... '. S.. . . L. i t4 :9 sad 41
In td hia eit, l eJ asa p c a cn h o a mnd e p rK re in sssy ea . , tL h ib era br i ran eos m, o,w ao ikm ne d n e’s r s t ju od efie sMv thees s,u bu scpribul erbs.t l i; s :ihemrs se dNa i baib.l io - .H U M.O R . aN N ;5 329
Lbetteers , arrticelecs, eneiwvs eitedms a ndt hanneou nc emteentns sthohuld of the month preceding publication. İBS N
Saigunedt hartoiclres s a.n d lOettuersr a r e O thwe rnesp on siPbilritye sofs ethse M y.s.t e n.e s 5655
FEMINIST BOOKSTORE NEWS (ISSN: 0741-6555) is . ’
pSuebplitsheemd b beir-m, o natnhdly Nin o vJaenmuabrye,r M baryc h ,F EMMayI, N JIuSlTy , BPuObOlisKheSrT’sO RRoEw :a la iaean ae eaa a e aa aralar teenie 113
NEWS si da8 Majtat Sb, gan rraheiseu, GA 94t14, 7 SCIence FICHON.. =... 59
Second-Class Postage paid at San Francisco, CA.
POSTMASTER: Plsas9 sgfid address changes to Fhe Small Presses. >.. 89
FFEMrINIaSTn BcOOiKsScTOoRE, N EWCS,A PO B9ox 4 818258548, -San2 5: a54. University Presses. . ... 103
Volume 18 Number 3 3 September/October 1995
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:28:13 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
7,"Feminist Bookstore News
podele ni
Takes readers on a journey
of self-awareness that could
forever change the way they
think and feel about the cele-
bration that is womanhood.”
—Niels H. Lauerson, M.D., Ph.D.
author of /t’s Your Body
Splendida sourcebook of
women’s wisdom that will
uplift and inspire all who read
it.” —Christiane Northrup, M.D.,
author of Women’s Bodies,
Women’s Wisdom
Whai a delight! It offers us
all deep nourishment and „e“ | FEMININE SPIRIT
profound healing....Destined AZSA
to be a classic.” —Susun Weed,
author of Menopausal Years:
The Wise Woman Way
©1995 Warner Books, Inc. A Time Warner Company
September /October 1995 È 4 Volume 18 Number 3
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:28:13 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
8,"Feminist Bookstore News
1483 Laurel Avenue for two grants (Astraea and Chicago Resource Center)
St. Paul MN 55104 to do this, and received neither one. So, essentially, the
Dear Feminist Booksellers & Publishers, project is halted due to lack to funds. However, I
This past Spring, I wrote and produced A Labor of originally duplicated the program on cassette, and
Love: A Tribute to 25 Years of Feminist & Lesbian Publish- there are still plenty of copies left.
ers and Bookstores. A Labor of Love is a 58-minute radio If you are interested in buying a copy of the
documentary portraying a brief herstory of cassette for your own use or to give to your local
women’s/feminist and lesbian bookstores and pub- women’s DJ, or just to have a great oral herstory of our
lishers over the past 25 years, underlining their contri- industry, I'm happy to sell you a copy for $8. If you
butions to feminist and lesbian movements. It know someone with a spare $600 sitting around (yeah,
considers their current struggles and their ongoing right, sure), I'd be thrilled to use it for the larger
importance as political and cultural arenas for women distribution of this program to radioland.
and lesbians, and highlights the 25th anniversaries of I've received many positive responses to A Labor
off our backs (Washington DC), The Feminist Press at of Love, especially from audiences. I found it to be a fun
CUNY (New York City), and Amazon Bookstore project and would like to share it with others.
(Minneapolis MN). A Labor of Love is a narrated hers- In strong voice,
tory liberally interspersed with phone interviews con- Mev Miller
ducted with 15 women integrally connected to
women’s publishing and bookselling. Short music P.S. I produce and program a weekly radio show on
clips have been included to create breaks and atmo- KFAI (90.3 Minneapolis/106.7 FM St. Paul) called
sphere, and to add to its overall professional quality. “The Lesbian Power Authority” — Sunday evenings
Though it has some general appeal, it primarily fo- from 9:00-10:30. In addition to playing lesbian music
cuses on the experiences of feminist publishers and and making community announcements, I do live,
bookstores in the United States. taped and phone interviews, book reviews, news re-
This radio piece was originally aired in Minneap- porting and so on. I'm happy to receive any femi-
olis (KFAI 90.3 FM) on International Women’s Day nist/lesbian materials and information.
and again during National Feminist Bookstore Week. L
Several stores bought it and were able to get it aired in
their local communities. My plans for additional dis-
tribution had included the following: satellite uplink
to community and public radio stations with related Dear Members of the Feminist Bookstore Network,
promotional advertising; letter and distribution to Our apologies for taking so long in getting this to
women’s radio programmers throughout the U.S.; you — it is still heartfelt and timely.
and letter and tape to specific Pacifica and National At the ABA meetings in June, 1995, we became
Public Radio producers. To pay for the uplink and to aware of resolutions shared between the Feminist
do the related and necessary promotion to then have Bookstore Network and the Feminist Publishers Net-
it downlinked would cost close to $600. I had applied work. Though we have not declared ourselves as a
Volume 18 Number 3 September /October 1995
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:28:13 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
9,"Feminist Bookstore News
network (yet), we are three feminist lesbian marketing 612-646-0097
and publicity consultants who remain strongly com- 612-646-1153 (fax)
mitted to the promotion of lesbian and feminist pub-
lishers, bookstores, titles and authors. We have been Michele Karlsberg
informally working together to share information 47 Dongan Hills Avenue
among ourselves, and to provide support for each Staten Island NY 10306
other’s work. 718-351-9599 (phone/ fax)
From this position, let it be resolved:
° Whereas, we are independent marketing and pub- Gail Leondar
licity consultants committed to the promotion of 18 Linwood Street
feminist and lesbian publishers and authors; Arlington MA 02174
e Whereas, we work with publishers and authors in 617-648-1658
planning tours and appearances; Z
e Whereas, we support the ongoing work of feminist
women’s bookstores;
We will, whenever possible and appropriate,
strongly encourage our clients to include feminist Inland Reorganization
women’s bookstores in their touring schedule for Cleis Press
readings, autographings and other events. PO Box 8933
In solidarity, Pittsburgh PA 15221
Mev Miller August 29, 1995
1483 Laurel Avenue Dear Everyone,
St. Paul MN 55104 With Inland in reorganization, I know that book-
sellers — particularly on the East Coast — may be
wondering where they can most easily order Fall titles
A BOOK from women’s presses. So, I thought I'd write and give
ABOUT MENOPAUSE you the scoop on Cleis Press.
Cleis Press (along with Seal Press and Conari) is
p u cb ol li ls eh cte id v e b , y p rt oh de u c M ino gn t qr ue aa ll i t yH e a blt oh ok sP r oe nss , h ea a lw tho m ae nn d’s d tai is ntr s ib au nt e d E a sb ty C P ou asb tl i s whe ar rs e h oG ur so eu p f o W r e fs rt, o n w tlh isi tc h t im tlea sin . - Your
sexuality for over 25 years. order of the new Fall books from Cleis Press will ship
from Lebanon PA or Hayward CA — whichever is
“ A ad u m ltu s wt- or mea ed n . ”for all closest B ot oo k sy elo lu e. rs will get their best deal from PGW,
Christine K. Paul, where Cleis Press titles combine with all other PGW
Hot Flash titles for maximum discount. PGW offers an annual
° Body changes volume incentive program. Booksellers in this pro-
and health issues gram get a minimum discount of 43% on every order
° Sexuality in women’s if they order $1,000 per year, or 44% on $2,000 per year.
middle years (Why, you could order $2,000 from just Cleis and Seal!)
Call Elise Cannon at PGW for more information: 800-
° TH ho er rm apo yn :e p R roep s l a ac nem d e cn ot n s| | 788-3123, ext 290. (Offer varies in Canada.)
Both Keith Owens, Ingram, and Ron Hanby,
All for only $ 4. Bookazine, have told me that they intend to be well-
S Ce .Pn .d 1 a 0 0 0c ,h e q Su tae t i oo nr m Plao cn ey d o ur d Pe ar r ct , o : M T onh te r eM alo , n t Qr Ce a l H 2H Wea l t 2h N 1Press, bst ao cc kk lie sd t i tn it l eC sl .e i s B o P or ke Ps es o p f ler o n ht al si s t c a ra rn id e d o u tr h e m fo us lt l p lio np eu l oar f
cF ao lr l 5in 14f -o 2r 8m 2-a 1ti 1o 7n 1 , o on r b fu al xk 5r 1a 4t -e 2s, 82-0262 Cleis Press titles for more than a decade and will
continue to do so. Baker & Taylor also carries frontlist
September /October 1995 Volume 18 Number 3
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:28:13 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
10,"Feminist Bookstore News
and leading backlist Cleis titles. Finally, Inland contin- says because they appear on an ABA program would
ues to carry Cleis Press titles. be analagous to assuming that booksellers automati-
Need a PGW sales rep? Or a reading copy? Or cally agree with every opinion expressed in every
info on Fall author tours? Call us: 412-937-1555. book they sell.
I hope this makes it easier to find our books this fall. I should also point out that our committee pro-
Best wishes and happy bookselling from every- cess is only advisory. When it appeared that the invi-
one at Cleis Press, tation extended to Newt Gingrich to participate in the
Felice Newman, Publisher Power Lunch by Executive Director Bernie Rath —
after receiving refusals from George Bush and William
ABA Responds to SCW, et al. Bennett (the committee’s choices) — had evolved into
a a policy issue (rather than an operational one which
substituting speakers has always been in the past),
Bernie raised the issue at the February ABA Board
meeting. Nineteen of twenty Board members sup-
American Booksellers Association ported his action at that time. Please be aware that the
828 South Broadway Board generally does not concern itself with the ideol-
Tarrytown NY 10591 ogies of the participants in its convention, let alone
who is invited. Speakers are frequently added to the
Dear Dik Cool and Amy Bartell, program — without committee involvement — when
With reference to your letter of June 22, [printed prominent and interesting personalities are made
in FBN 18#2] allow me to respond to several issues available, or when other speakers cancel. In 1995, for
you have raised. example, we think the convention was enhanced
First and foremost, ABA remains deeply con- enormously by Hillary Clinton and Walter Mosley,
cerned over any abridgement of First Amendment both of whom were added to the program after the
rights. Along with ABFFE, we take quite seriously our committee’s deliberations.
role as defenders and supporters of free expression. With reference to the specific incidents which
We have consistently opposed any and all censorship occurred at McCormick Place on Monday, June 5th, as
whether it comes from the political left or right, a soon as ABA was alerted to the fact that a convention
position which we feel is consistent with that es- attendee had been detained (at approximately 1:30
poused by virtually every civil liberties organization. PM), ABA's President Avin Domnitz, ABA's Executive
The ABA Convention is meant to be a forum of Director Bernie Rath, and myself (as President of
ideas, and to deny a prominent public figure and ABFFE) proceeded immediately to the McCormick
author an opportunity to speak because even a major- Place security office where we spent the balance of the
ity of convention attendees may hold opposing polit- day — and well into the night — doing everything we
ical opinions would be contrary to everything we could to insure that Susan Ostfield would be released
stand for. By inviting Newt Gingrich to the ABA Con- and that all charges against her would be dropped.
vention, we were no more agreeing with the substance Regrettably, by the time we arrived at the security
of his views than we were agreeing with those of office, Ms. Ostfield had already been transferred to the
Hillary Clinton or Colin Powell. To imply an endorse- Chicago authorities and was no longer at McCormick
ment or agreement with the content of what an author Place.
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:28:13 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
