PageNumber,Text,ISBNs
1,"Feminist Bookstore News
Source: Reveal Digital, 07-31-1995
Contributed by: Beth Morgan; Suzanne Unger; Suzy Stone; Debbie Mancuso; Pokey
Anderson; Kate Randall; Sara Look; Leigh Wall; Susan Graves; Teri Dowling; Sarah Edlestein;
Johanne Cadorette; Jim Bennet; Tommi Avicolli Mecca; Jane Voorhees; Kathy Bouton;
Tania Matthews; Martha Ios-Baker Pascoe; Rachel Pepper; Jennifer Einhorn; Carol Seajay
Stable URL: https://www.jstor.org/stable/community.28036369
Licenses: Creative Commons: Attribution-NonCommercial
JSTOR is a not-for-profit service that helps scholars, researchers, and students discover, use, and build upon a wide
range of content in a trusted digital archive. We use information technology and tools to increase productivity and
facilitate new forms of scholarship. For more information about JSTOR, please contact support@jstor.org.
This item is openly available as part of an Open JSTOR Collection.
For terms of use, please refer to our Terms & Conditions at https://about.jstor.org/terms/#whats-in-jstor
Reveal Digital is collaborating with JSTOR to digitize, preserve and extend access to Reveal Digital
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:29:04 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
2,"Feminist
Bookstore
News lilvalihr
The 1995 Sidelines Issue
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:29:04 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
3,"= The Crossing Press presents for 1996...
TWO ENGAGEMENT CALENDARS
Women Writers
Selections from 14 writers Celebrating Women’s Spirituality
including Doris Lessing, Keri Twenty-one full-color paintings and numerous
Hulme, Gloria Naylor, Ellen black and white drawings by women. Accompa-
Gilchrist, and Annie Proulx. nied by affirmations, poems and quotations. Full
$10.95 e 0-89594-724-2 lunar and astrological information.
160pp • Perfect Bound $13.95 e 128pp * Spiral Bound • 0-89594-728-5
AND ONE WALL CALENDAR
Celebrating Women’s Spirituality
Glorious full-color paintings by women artists
from around the world. Full lunar and astro-
logical information.
$12.95 © 0-89594-729-3
1-800-777-1048 >K
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:29:04 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms","['0-89594-724-2', '0-89594-728-5', '0-89594-729-3']"
4,"Feminist Bookstore News
THE
Welcome to the Sidelines Issue! Booksellers use our annual Sidelines Issue to
order merchandise for the holidays and then keep it
This issue is brimming with new, interesting and close at hand to use for ordering all year around. (We
unique sidelines that will please your customers and gave it a bright magenta cover to make it easy to find
set your store apart from the competition. amid the paperwork!) We also print extra issues and
send them to every new feminist bookstore that
There was a time when booksellers could choose opens during the year so they can open with a range
to de-emphasize sidelines, but now sidelines are an of sidelines that will please and intrigue their
essential part of the stock mix in every successful customers.
bookstore. The chains may be able to stock the same
mainstream press titles, but they don’t even begin to If you're new to FBN and this is the first issue
try to provide the eclectic mix of sidelines that make you're seeing, please turn to page 54 for information
our stores feel like home, that reflect our communities on ordering sample copies and subscriptions.
back to themselves, and celebrate who we are in these
increasingly challenging times. Thanks to everyone who contributed articles,
faves, raves, ideas, information and inspiration to this
In these pages we've collected a vast range of issue! When you order these products, please remem-
sidelines for holiday and everyday stock. From choc- ber to tell our advertisers that you saw it in FBN!
olate logos to safer sex paraphernalia. From calendars
to computer accessories. From menstrual products to Yours in spreading the words,
menopausal T-shirts! It all starts with our perennial Carol and the FBN gang
favorite column, “Faves and Raves” on page 5, so get
out your highlighters and start circling the products CARLU
you want to stock this year.
Our “Taking Care of Business” article reviews the z
essential card management skills. We’ll also tell you
what's new and what's hot in women’s music.
August 1995
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:29:04 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
5,"Feminist Bookstore News
CARRY IT ON 1996 PEACE CALENDAR
Our 25th edition of the Peace Calendar is a magical blend of inspiration,
beauty and hope. This collector's edition features extra pages on the history of
the Peace Calendar and progressive/feminist movements of the last
25 years. Cover by Amy E. Bartell is 15 cut paper vignettes of social movements
and sacred earth symbols. Our multicultural celebration honors African American
and Women’s History Months; Asian American and Gay Pride months;
Latina/Chicano Heritage and Native American Awareness Months.
O People’s history
annotations for educa-
tion and inspiration
1 O Lunar cycles; religious
holidays for many faiths
O Special four page
retrospective on history
of the Peace Calendar
O Full color, 14x11;“
REAL recycled paper
We carry a ISBN 0-935155-17 O- $112.95,
f Sull o lli sne t iof ce, PEACE SIGNS by Amy E. Bartell
Chanukah, “he Peace Calendar, year after year, is a wonderful
Kwanzaa, offering of hope and unity in a world that desperately needs
C gah yr i s &tm la es s, b ia an nd both. It's also consisten Wt omly en 8 o Cn hile dr e n o Ff ir st , o Cu hicr ag o best sellers!”
h wo el li ld a ay s c aa nr d es x-a ts en- IN PRAISE OF THE MUSE
sive collection of
fenminoist t poestecrs a anrdds. Send for 1 ? ? 6
our free color catalog. WOM EN
o. e e o © o o. o e © o o e A R F l S T S
SPECIAL DAYS DATEBOOK
PERPETUAL CALENDAR Women artists and poets offer
Celebrates 25 years of Peace Calendars with our 12 us their talents and incredible
favorites. Remember birthdays, anniversaries and other vision of a world at peace,
special days. Contains no weekdays; use year after filled with compassion and
year! Lists birthdays for 75 feminists/progressives. Was love, beauty and justice.
Aunt Agnes born the same day as Mother Jones?! IN PRAISE OF THE MUSE 1996
licol i will be a comforting com-
O RO E FAulLl c orloerc, y 5c.5lxe1d3. 5 ppaanpioenr ,t h rsopugihroault tbheo uyneadr. Kendrick Wronski
O $7.95, ISBN 0-935155-19-8 O Work by Jane Evershed, Durga Bernhard, Elly
Simmons, Amy E. Bartell and 27 more!
Syracuse Cultural Workers O Unique annotations about women artists
O Lunar cycles; religious holidays for many faiths
P.O a. B Wox I T63H67 He E SAyrRacTu s eO, N YC a 1le32n1d7 a re UpSaAg eOs F uolnl c obloera/u2tcoiflour,l 51.7050x8%,'s p iproals tbcoounndsumer stock
(315) 474-1132 e FAX (315) 475-1277 O $12.95, ISBN 0-935155-18-X
50% Non-Returnable: 16+ Units Mixed To place an order or recieve a catalog,
Augu 40%s Rtetur na ble:1 8+ 9 Uni9ts M5ixed C all 2 Am y at S(315i) 4d74-1e132lines
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:29:04 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms","['0-935155-19-8', '0-935155-18-X']"
6,"FBN
Editor & Publisher
Carol Seajay
Assistant Editor Articles
Beth Morgan Bookstore Faves & Raves 9
onna a Wo TCB: Card Care 101 13
enn Tust an n Werhane
Art Bo oc ola kum sn isa ts TW eeo m Cen o’ rs i nM nu es i c S: u H bso ct r iN pe tw io n R e l Ie na fse os 51 47
Canadian Books Alexandra Wilson Ad Index 55
Gay Men’s Literature Richard Labonte
Humor Roz Warren
MMainsytresamt e Prubilisehesr s SNandai nTor k ilCdsoinn Tnhe a Stideelir In e sBook k 21
Science Fiction Susanna Sturgis ookmarks
Universit y P Prresoseos fMerv e Maildleri nBugtto n s C & a Bluempnerdstiackrerss 2 123
Elaine Blake, Pat Kelso, Carole London Cards 29
anCd o Jvenenr T u sAt rChto co la:t e :35
Comix . . 36
Ursula Roma/The Woman-Centered Economy Coloring Books 35
Feminist Bookstore News Computer Accessories"" 36
e g . 36
San Francisco CA 94188 Custom Printing . . 42
415-626-1556 FAX: 415-626-8970 Displays i42
Printed in USA Distribution . 42
FEMINIST BOOKSTORE NEWS is the communications Games 43
FBvN ereahcheis c500l efem in isft aond r fe mi nitst-ihncliened booikn-formal network of feminist bookstores. J | 43
stores in the U.S. and Canada AS Wel a3 Terminit book- ewe y
sellers in England, Europe, Australia, New Zealand, Magnets : 46
Intdiea, a Jcaphan eanrd sKe,n ya . bLiboraoriakns, w ormeen’sv situediewsers, publishers and feminist biblio- Menstrual Products 47
philes comprise the remainder of the subscribers.
Letters, articles, news items and announcements should Mugs * 47
bSei ga rneecudei v eadtr ttihhcel e st eo natnh dr o f l e sttht e. trh s d air ebP li ctahtoieo n .r s eisptonesibirlitys o f th.e | IV.IU SİC 4. 497
FEMINIST BOOKSTORE NEWS (ISSN: 0741-6555) is
published bi-monthly in January, March, May, July, Sexuality Boutique: . 49
SeNptemEberW, and S No ve mabert b y F2EMI3NIS5T 8BOO K STMOREarket St., San Francisco, CA 94114. Stickers 50
IS NPe cIc SO To nS iBdT Os- OCM Kl cSa TsA Os Ro S EP T o N,s EEt W aRg S, e : P OC p Pa Bidl oAxe aa 8t 8s 2 e 5 S 5 4a ,n s S9 ae nFn r Fa 4d rn ac ni -1 sacod8, d Cr8Ae. s- s: 2 c5ha5ng4es. to V FEiMd- e To-S hi r5ts 4 50
Sidelines 3 August 1995
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:29:04 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
7,"Feminist Bookstore News
1996 Dykes to Watch Out For Calendar
CARTOONS BY ALISON BECHDEL
I OUT FOR
1996 CALENDAR
$866
ou don’t have to
read between the
lines to laugh at
the 7996 Dykes To
Watch Out For Calendar.
In the seventh edition of
this multivolume work,
break-out author Alison
Bechdel chronicles the
daily encounters and spe-
cial events of contempo-
rary lesbian life.
R n C A R ` T o o
unfold in monthly install- — ALISON BECHDEL
ments—a pictorial primer
of classic characters climb-
ing to the top of the bestseller lists. Both bookworms and those who
think that bookstores are only for meeting girls will find keeping track
of who’s who and what’s happening a hot-off-the-presses experience.
4 9Irresi8stible—9like % the wo men in F your i lifre. ebrand K
11x11 Wall Calendar Distributed to the trade exclusively by InBook, Books
Ful$l Col1or C1over . th9e sal5es d ivisi on 6of t0he In7land - Boo2k Co7mpan2y. L-ái t0he C0ormo0ns 0
ISBN 1-56341-054-0 Available through all leading wholesalers. Ithaca, New York 14856
August 1995 4 Sidelines
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:29:04 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",['1-56341-054-0']
8,"Feminist Bookstore News
Sidelines
Compiled by Beth Morgan
with help from the booksellers
candleholder ($2.75 wholesale). We could hardly
It’s that wonderful time of year again — your keep them stocked over Christmas! See listing page 37.
chance to get the inside scoop on the favorite and Gina's fine friends pins in 5, 4, 3, and 2-woman
bestselling sidelines from booksellers around the configurations cross into mainstream and are beauti-
country. Whether you're after the best-of-the-book- ful and very popular. So are her T-shirts. The symbols
marks, chocolate novelties, easy to sell high-quality appeal to many women. See Mulberry ad page 7.
jewelry or beautiful, musical indoor fountains, we've Two Sisters Candles (herbal) have added a new
got the rave that will help you make your choice. Our line of Angel Therapy candles and Companion
heartfelt thanks goes out to all those booksellers who Cherub candles. We can hardly keep stocked in their
took the time to write to us about their bestselling entire line! Women love them.
non-book items. And for those of you who are in- WaterSounds, small indoor fountains built for
spired by this column and wish you could tell other the sounds they make are beautiful and sound
booksellers about your favorite sideline, send us the wonderful. They retail from $75 to $108. We sold six
inmformeantiont .a nd Hwe'all p prpinty it ins anelxte sye!ar ’s BsupMple- t bhe e f air ust t ite fn u d lay s ! j W oe b c .o u ld —n’t S b ueli zev ae n it n! S eh e d Uoes n a ger
Two Sisters Bookshop/Menlo Park CA
A continued bestselling sideline for me is Little
Hothead Paison/ Blue Woman hand-crafted candles. Chloe has thir-
Giant Ass Publishing teen different ceremonial scent and color combina-
tions. They are all hand-dipped and hand-poured into
a wonderful teardrop shape in two sizes. She also has
tapers.
Brevans Boxes are approximately 8""x10"" boxes
made of poplar wood with either a dark mahogany or
Our favorite and bestselling sidelines are: a light oak stain. They have many cut-out designs as
Glass wind chimes in rainbow colors by Blue lid decorations, including moon and stars, coyote
Jewel Glassworks. See ad page 37. È howling, dolphin, goddess, and triangle. Other
LuminArtť’s chakra candle sets ($3.75 wholesale) designs also available. They retail for $20. This is a
together with Janet Taylor's Earth Mama chakra lesbian-owned, two-woman operation. I sold five
Sidelines August 1995
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:29:04 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
9,"Feminist Bookstore News
boxes the first three weeks I had them in the store. See
ad page 8. —Suzy Stone
EvERY WOMAN WHO WALKS INTO The Purple Moon/Fredericksburg VA
YOUR STORE IS A
It’s so hard to pick just a few to write about, but
a O O AY 0) NI AN here are some of our current favorite sidelines at
Sisterspirit Bookstore:
One of our dedicated volunteers, Kelly McCoy, is
also an artisan, and she has created Partners, a line of
funky, lesbian-image pins. She handcolors each pin,
and no two are exactly alike! The quality is high and
her prices are reasonable. She also makes some very
luxurious eye pillows — silk with 100% flax filling,
nicely packaged. These products make nice gifts, and
I highly recommend carrying them.
Photo cards from Singing Stones Studio are high
quality cardstock with photographs on the front. Lots
of very lesbian-positive and Goddess/spiritual pho-
tos available, and we're selling them for $2.50 each.
Glass bead labrys earrings and necklaces from
Amazon Earware: The earrings dangle from earhooks
and the necklaces are strung on silk cord. They come
in an assortment of colors and are packaged with a
card explaining the meaning. $10 retail for the earrings
or the necklace. They make nice gifts or impulse pur-
chases. See listing page 44..
Gay & Out Productions has recently come out
with a line of photo postcards featuring African
From The Kiki Collection American lesbian images. Nice photos and an impor-
Giving you products of and for strong tant product for a diverse clientele.
and beautiful women featuring these —Debbie Mancuso
great images: Sisterspirit Bookstore/San Jose CA
Book-Woman, Women’s Solidarity, Many
Strong and Beautiful Women, Women An ideal sideline takes up almost no room, en-
Make the World Go Around, I Enjoy Going hances the bookstore environment, and doesn’t break
out with my Friends, and many others the bank with the initial outlay. Thus, I suggest
gay/lesbian laminated bookmarks from Style Data.
We have T-shirts, greeting cards, posters, We've sold over 300 since we picked them up 16
journals, bookmarks and bookplates, months ago. They retail at $1.25 to $1.50 and come in
sweatshirts, nightshirt/beachshirts and the usual flavors (rainbow, red ribbon, double
bookbags featuring Kiki's wonderful women’s or men’s symbol) with their own little stand
images. And we are great to work with! free with a $25 order. See ad page 21.
The Kiki Collection, Inklings/Houston —P ok eTy AXnderson
500 N. Robert, St. Paul, MN 55101
We ordered some Rosie the Riveter T-shirts from
Watermind for Women’s History Month, and I've
August 1995 6been bow led Sover iby d the reesponlse. i I'vne reordeereds
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:29:04 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
10,"Feminist Bookstore News
twice in two months. Watermind also carries Rosie We never understood the phrase “sells itself” until
the Riveter mugs. See ad page 51. we started playing Sunita’s Solo Harp recording in the
And Not So Subtle Tees offers some great store. It is what it claims to be — harp and nothing but
T-shirts, such as “Feminism: The Radical Notion that harp. On cassettes and CDs from Maxemilian
Women are People” and “Outrageous Older Woman.” Productions. See Goldenrod & Horizon ad page 10.
See ad page 52. Rememberings and Celebrations is a deck of
Another good seller is “Eve Was Framed” small, bookmark-sized cards from For the Little Ones
(framed with a snake and apple border) from Inside. Each card has a hand-colored figure and a
Featherplay. See ad page 52. —Kate Randall tender affirmation for the child within. Many
Antigone Books/Tuscon AZ customers purchase multiple decks and use them as
gift bookmarks or greeting card enclosures to friends
Hilary's Comfort Beads are one of our newest, and clients. Note cards and other items as well. See
favorite sidelines. The beads are handmade from listing page 33.
smooth colored porcelain; they fit in the palm of your Michigan is one of those states which only issues
hand, and most have just the right groove for your one license plate so we have to have rainbow flag
thumb. There’s a whole list of words you can have license plate holders from Out Right Enterprises. We
etched into them (abundance, courage, dream, like plastic — it doesn’t rust. See listing page 38.
breathe, blessed be, etc.) and Hilary also makes com- Very unique “Post a Story” cards and postcards
mittment strands and serenity prayer strands (using from Espresso Press: Each one is a short story in itself.
“Goddess”!). See ad page 36. Especially popular are the Goddess stories and the
My other favorite is K. Floyd’s Magnets and Pins. very nontraditional holiday cards. See ad page 26.
They are a little pricey, but are selling well and are Our most popular calendar by far is the August-
sweet, colorful and funny. They started doing a les- to-August Datebook from Mixed Role Productions,
bian line just for us and are looking for other interested Inc. No art, no clutter, just enough calendar space, charts,
feminist businesses. “Gay But Moody” (my personal graphs and personal record space in a tidy spiral-bound
favorite — I wear the pin everywhere!), “We Are format for even the most compulsive. (I speak from
Family” (two women and a cat), and “Moon Child” personal experience here.) Sells well to the university
are all very popular. See ad page 9. community and to educators and artists. See ad page 22.
—Sara Look —Leigh Wall and Susan Graves
Charis Books & More/Atlanta GA Sweet Violets/Marquette MI
Increase your profits!
° 10 inspiring lines of
jewelry by women
from Massachusetts
to Hawaii
° Most items $5—20
wholesale
• Description cards for
easy merchandising
Booth 321
San Francisco
k Gift Show
Aug. 5-9, 1995
August 1995
This content downloaded from
(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)74.108.41.47 on Thu, 28 Mar 2024 01:29:04 +00:00(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)
All use subject to https://about.jstor.org/terms",[]
