ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
0-415-11085-8,"An Intimate Distance: Women, Artists and the Body","Betterton, Rosemary",Routledge,254,10/3/1996,"Women in art, Human figure in art, Women artists--Psychology, Human Body--in art, N7630 .B48 1996, 704.9/424/082",Paperback,"How Have Women Artists Taken Possession Of The Female Body? What Is The Relationship Between Looking And Embodiment In Art Made By Women? In A Series Of Original Readings Of The Work Of Artists From Kathe Kollwitz And Georgia O'keeffe To Helen Chadwick And Laura Godfrey-isaacs, Rosemary Betterton Explores How Women Artists Have Addressed The Changing Relationship Between Women, The Body And Its Representation In Art. In Detailed Critical Essays That Range From The Analysis Of Maternal Imagery In The Work Of German Artists At The Turn Of The Century To The Unrepresented Body In Contemporary Abstract Painting, Betterton Argues That Women's Art Practices Offer New Ways Of Engaging With Our Fascinations With And Fears About The Female Body. Reflecting The Shift Within Feminist Art Over The Last Decade, An Intimate Distance Sets The Reinscription Of The Body Within Women's Art Practice In The Context Of Current Debates On The Body, Including Reproductive Science, Maternal Subjectivity And The Concept Of 'body Horror' In Relation To Food, Ageing And Sex. Drawing On Recent Theories Of Embodiment Developed Within Feminist Philosophy And Psychoanalytic Theory, The Essays Reveal How The Permeable Boundaries Between Nature And Culture, The Female Body And Technology Are Being Crossed In The Work Of Women Artists. 1. An Intimate Distance: Women, Artists And The Body -- 2. Mother Figures: The Material Nude In The Work Of Kathe Kollwitz And Paula Modersohn-becker -- 3. 'a Perfect Woman': The Political Body Of Suffrage -- 4. Bodies In The Work: The Aesthetics And Politics Of Women's Non-representational Painting -- 5. Life And A.r.t.: Metaphors Of Motherhood And Assisted Reproductive Technologies -- 6. Body Horror? Food (and Sex And Death) In Women's Art -- 7. Identities, Memories, Desires: The Body In History. Rosemary Betterton. Includes Bibliographical References (p. 219-230) And Indexes.",en,1,"Height: 9.17 Inches, Length: 6.21 Inches, Weight: 0.99869404686 Pounds, Width: 0.58 Inches",0,https://images.isbndb.com/covers/08/53/9780415110853.jpg,Success,53,19.6
1-883061-12-1,Deadly Gamble,"Davidson, Diane",Rising Tide Pr,211,3/1/1997,,Paperback,Retired detective Toni Underwood is catapulted back into the world of crime by a mysterious letter from her favorite aunt.,en,,"Height: 8.5 Inches, Length: 5.5 Inches, Width: 0.5 Inches",11.99,https://images.isbndb.com/covers/11/28/9781883061128.jpg,Success,91,19.6
1-57453-167-0,Dreamwalker: The Path of Sacred Power,"Summer Rain, Mary",Audio Literature,,1997,,Audio Cassette,,en,Abridged,"Height: 7.25 Inches, Length: 5 Inches, Weight: 0.3 Pounds, Width: 0.75 Inches",17.95,https://images.isbndb.com/covers/16/71/9781574531671.jpg,Success,79,19.6
1-57297-215-7,The Huntress And The Sphinx (Xena: Warrior Princess),"Emerson, Ru",Berkley,226,1/1/1997,,Mass Market Paperback,,en,First Edition,"Height: 5 Inches, Length: 7 Inches, Weight: 0.3 Pounds, Width: 1 Inches",0,https://images.isbndb.com/covers/21/55/9781572972155.jpg,Success,68,19.6
0-06-250091-0,Creating Eden: The Garden As a Healing Space,"Barrett, Marilyn",Harper San Francisco,136,1997,,Paperback,,en,,"Height: 8.25 Inches, Length: 5.75 Inches, Weight: 1.01 Pounds, Width: 0.5 Inches",12,https://images.isbndb.com/covers/09/15/9780062500915.jpg,Success,130,19.6
0-8077-3560-4,Just Girls: Hidden Literacies and Life in Junior High (Language and Literacy Series),"Finders, Margaret J.",Teachers College Press,168,6/15/1997,,Paperback,"Highlighting the importance of friendship, family, and social networks in girls' sense of themselves, this book suggests that literacy plays an important role in maintaining friendship groups and in the construction of self. This provocative new book questions many common assumptions about early adolescence, most importantly, the ""good girl"" role so often assigned to and reinforced in female students. 160 pp. Pub: 4/97.",en,59366th,"Height: 9.25 Inches, Length: 6.25 Inches, Weight: 0.50926782522 Pounds, Width: 0.75 Inches",25.95,https://images.isbndb.com/covers/56/02/9780807735602.jpg,Success,118,19.6
0-9631666-3-8,Life Isn't Just a Panic: Stories of Hope by Recovering Agoraphobics,,Baby Steps Pr,256,3/1/1996,,Paperback,,en,First Edition,"Height: 9 Inches, Length: 5.75 Inches, Weight: 0.8 Pounds, Width: 0.75 Inches",13.95,https://images.isbndb.com/covers/66/30/9780963166630.jpg,Success,84,19.6
0-06-251485-7,On My Own at 107: Reflections on Life Without Bessie,Sarah Louise Delany; Amy Hill Hearth,Harper,149,1997,,Hardcover,,en,First Edition,"Height: 7.75 Inches, Length: 1 Inches, Weight: 0.5 Pounds, Width: 6 Inches",14,https://images.isbndb.com/covers/48/51/9780062514851.jpg,Success,128,19.6
0-517-59771-3,Imazighen: The Vanishing Traditions of Berber Women,"Courtney-Clarke, Margaret",Clarkson Potter,192,10/1/1996,"Courtney-Clarke, Margaret , 1949-, Berbers--Pictorial works, Berbers--Africa, North--Pictorial works, Women--Social conditions, Women--Africa, North--Social conditions, DT193.5.B45 C68 1996, 779/.9961",Hardcover,"In A Part Of North Africa Where, Within Miles, The Backdrop Can Change Dramatically From Snow-blasted Mountains To Wind-scoured Dunes Live The Berber People Of The Atlas Mountains. In The Third Book Of Her Trilogy On African Women, World-renowned Photojournalist Margaret Courtney-clarke Examines The Difficult Lives And Remarkable Arts Of Berber Women. As Modern Times And Modern Warfare In Algeria, Morocco, And Tunisia Have Encroached On Their Centuries-old Traditions, Berber Women Have Begun To Give Up The Old Ways. Imazighen: The Vanishing Traditions Of Berber Women Is A Record Of A Quickly Disappearing Way Of Life. As In Her Earlier Books, Ndebele: The Art Of An African Tribe And African Canvas: The Art Of West African Women, Courtney-clarke Succeeds In Capturing The Spirit Of The Women By Experiencing Their World From Season To Season And By Respecting Their Values And Traditions. Through Photographs, Interviews, And Observations, Courtney-clarke Documents The Berber Women As They Stoically Carry Water And Firewood On Their Backs For Miles Of Rocky Terrain. And She Records The Beauty They Have Magically Produced In Their Lives - Through Their Spinning And Weaving And Their Carefully Coiled Pottery - A Metaphor For Survival And Creativity. Geraldine Brooks, Award-winning Journalist And An Expert On Life In The Middle East, Accompanied Courtney-clarke On Her Last Trip To North Africa, And Has Written Moving, Thoughtful Essays On The Struggle Of Existence Among The Berbers. With A Glossary Of Berber Terms And A Detailed Map Of The Region, This Book Is Not Only A Handsomely Illustrated Volume Of The Triumph Of The Arts Of The Berber Women, But A Dramatic Record Of A People Yielding To The Pressures Of The Twentieth Century. Among The Berber Women -- Landscape And Architecture -- Weaving -- Motifs -- Pottery -- Portraits -- Tasks And Burdens. Margaret Courtney-clarke ; Essays By Geraldine Brooks. Includes Bibliographical References (page 190) And Index.",en,First Edition,"Height: 0 Inches, Length: 0 Inches, Weight: 3.9 Pounds, Width: 0 Inches",9.99,https://images.isbndb.com/covers/77/12/9780517597712.jpg,Success,53,19.6
1-56341-084-2,The Escape Artist,"Katz, Judith",Firebrand Books New York,288,1997,"Jewish women, Jewish women--Argentina--Buenos Aires--Fiction, Lesbians, Lesbians--Argentina--Buenos Aires--Fiction, PS3561.A757 E83 1997, 813/.54",Paperback,"When A Jewish Diamond Dealer Visits 1910s Poland Looking For A Wife, The Parents Of Sofia Teitelbaum Jump At The Opportunity To Marry Her Off. But On Arrival In Buenos Aires, Sofia Is Put To Work As A Prostitute For The Dealer's Sister. How To Escape From A Bordello In A Foreign Country? By The Author Of Running Fiercely Toward A High Thin Sound. By Judith Katz.",en,First Edition,"Height: 9 Inches, Length: 5.5 Inches, Weight: 0.6 Pounds, Width: 0.5 Inches",12.95,https://images.isbndb.com/covers/08/40/9781563410840.jpg,Success,88,19.6
