ISBN,Title,Author,Publisher,Pages,Date Published,Subjects,Binding,Synopsis,Language,Edition,Dimensions,MSRP,Image,Status,PageNumber,Volume & Issue
,,,,,,,,,,,,,,Error,,20.5.6
0-06-092872-7,The Circle of Simplicity: Return to the Good Life,"Andrews, Cecile",Harper Perennial,288.0,1998-02-17,,Paperback,"<p><P>For a growing number of people, simplicity has been a path to experience the joy in life, to cherish its richness and vitality.It strips away the burdens of our daily lives so that we are left with exhilaration, spirit and fullness. These people are finding that less &#151; less work, less rushing, less debt &#151; is more &#151; more time with family and friends, more time with community, more time with nature, and more time to develop a meaningful and compelling spirituality.<P> In <i>The Circle of Simplicity&#58; Return to the Good Life,</i> author Cecile Andrews helps you discover and create the good life for yourself. She is renowned for her workshops on voluntary simplicity and her seminars on creating simplicity circles, where people explore their own life stories and share information and knowledge, helping one another develop lives of simplicity and satisfaction. The circles do not only give people the tools to change, but they also fill unmet needs for community and intimacy and the desire to search for truth in the company of kindred spirits.</p>",en,English Language,"Height: 0.68 Inches, Length: 8.04 Inches, Weight: 0.46958461806 Pounds, Width: 5.32 Inches",12.95,https://images.isbndb.com/covers/87/28/9780060928728.jpg,Success,132.0,20.5.6
0-9651558-6-2,"Sor Juana's Love Poems/Poemas de Amor: In Spanish and English (English, Spanish and Spanish Edition)",Juana Inés de la Cruz,Painted Leaf Press,83.0,1997,,Paperback,"For the first time ever, here is an exquisite sampling of love poems, some of them clearly addressed to women, by the visionary and passionate genius of Mexican letters, the 17th century nun Sor Juana Inez de la Cruz translated into the poetic idiom of our own time by poets Joan Larkin and Jaime Manrique. The poems included in this selection have been culled from Sor Juana's extensive body of poetry on the many kinds of love. Some of them are rooted in Renaissance courtly conventions, others are startlingly ahead of their time, seemingly modern in the naked power of the complex sexual feelings they address.",en,First Edition,"Height: 9 Inches, Length: 6 Inches, Weight: 0.35 Pounds, Width: 0.25 Inches",12.0,https://images.isbndb.com/covers/58/61/9780965155861.jpg,Success,111.0,20.5.6
1-55885-203-4,"Death to Silence/Muerte Al Silencio (English, Spanish and Spanish Edition)","Sepulveda-Pulvirenti, Emma",Arte Publico Press,97.0,1997-01-01,"Spanish poetry, Spanish language materials--Bilingual, PQ7079.2.S46 D4 1997, 861",Paperback,"Poems Of Death, Sexuality, Poetics, Protest, Witness, And Exile By Argentine-born (1950) Poet Raised In Chile And Now Living In The Us. Brief Introduction By Alicia Galaz-vivar Weldon Describes Poems; Short Biographical Notes For Author And Translator. Literal, At Times Overly Literal, Translations--handbook Of Latin American Studies, V. 58. I Chose Not To Die = Decidía No Morirme -- You Cannot Listen In Death = Ya No Se Oye En La Muerte -- I Grew Accustomed = Me Había Acostumbrado -- If Words Did Not Convey = Y Si Las Palabras No Significaran -- To Carmen's Strength = A La Fuerza De Carmen -- To Carmen's Prison = A La Prisión De Carmen -- Mortal Fear Of Death = Miedo Mortal A La Muerte -- Alone, I Ask = Me Pregunto A Solas -- Rest And Peace Must Be Here = El Descanso Y La Paz Aquí -- Secret Symphony = Sinfonía Secreta -- To Your Foolish Fantasy -- A Tu Infantil Fantasía -- To The Child That Never Was = Al Hijo Que Nunca Fue -- To Your Blind Eyes = A Tus Ojos Ciegos -- To The Galician Night = A La Noche De Galicia -- Sometimes At Night = A Veces En Las Noches -- The Contour Of My Limits = El Contorno De Mis Límites -- No = No -- Here Am I Now = Aquí Estoy Yo Ahora -- September 11, 1973 = 11 De Septiembre De 1973 -- The Last Prayer Of September = El último Rezo De Septiembre -- From Then On = Desde Entonces -- Thinking Out Loud = Pensando En Voz Alta -- Almighty Creation = Creación Todopoderosa -- The Mirror = El Espejo. By Emma Sepúlveda-pulvirenti ; Translated By Shaun T. Griffin. English And Spanish.",en,No Edition Stated,"Height: 8.4 Inches, Length: 5.43 Inches, Weight: 0.29 Pounds, Width: 0.29 Inches",8.95,https://images.isbndb.com/covers/20/37/9781558852037.jpg,Success,111.0,20.5.6
0-02-862222-7,J.K. Lasser's gay finances in a straight world: A comprehensive financial planning handbook,"Berkery, Peter M",Macmillan,228.0,1998,"Gays, Finance, Personal",Paperback,,en,,"Height: 9.89 Inches, Length: 0.54 Inches, Width: 7.35 Inches",0.0,https://images.isbndb.com/covers/22/24/9780028622224.jpg,Success,134.0,20.5.6
1-883011-41-8,Stein: Writings 1932-1946,"Stein, Gertrude",Library of America,844.0,1998-03-01,,Hardcover,,en,,"Height: 8.14 Inches, Length: 5.11 Inches, Weight: 1.25 Pounds, Width: 1.09 Inches",40.0,https://images.isbndb.com/covers/14/13/9781883011413.jpg,Success,137.0,20.5.6
1-889454-50-8,The Shabbat series: Excellence in education for Jewish women,Woman's Institute for Continuing...,Woman's Institute for Continuing Jewish Education,200.0,1997,,Paperback,Introduction By Irene Fine. Includes Bibliographical References.,en,,,0.0,https://images.isbndb.com/covers/45/04/9781889454504.jpg,Success,107.0,20.5.6
0-916397-47-5,Bite Hard,"Chin, Justin","Manic D Press, Inc.",128.0,1997-04-01,,Paperback,"The first collection by award-winning performance artist/poet Justin Chin
<p>In Bite Hard, poet Justin Chin explores his identity as an Asian, a gay man, an artist, and a lover. He rails against both his own life experiences and society's limitations and stereotypes with scathing humor, bare-bones honesty, and unblinking detail. Whether addressing ""what really goes on in the kitchen of Chinese restaurants"" or a series of ex-boyfriends, all named Michael, Chin displays his remarkable emotional range and voice as a poet.</p>
<p>His raw, incantatory, stream-of-consciousness poems confront issues of race, desire, and loss with a compelling urgency that reflects his work as a performance artist, speaking directly to an audience. Throughout this collection, Chin showcases his ability to convey thought-provoking viewpoints on a variety of controversial subjects. As R. Zamora Linmark of Rolling the R's says, ""He plugs the stage microphone into the page and lyrically blasts the heart of our fears, rage, and import-export nightmarish dreams"".</p>",en,First Edition,"Height: 9 Inches, Length: 6 Inches, Weight: 0.5291094288 Pounds, Width: 0.4 Inches",13.95,https://images.isbndb.com/covers/74/70/9780916397470.jpg,Success,117.0,20.5.6
0-231-10643-2,Generalist Practice,"Tolson, Eleanor Reardon, Reid, William J., Garvin, Charles D.",Columbia University Press,368.0,2002-12-15,,Hardcover,"<p><P>This study examines and illuminates how the lives of Korean prostitutes in the 1970s served as the invisible underpinnings to US-Korean military policies at the highest level.</P></p> <h3>U.S.Korea Review</h3> <p>Drawing on a vast array of data&#173;&#173;archival materials, interviews with officials, social workers, and the candid revelations of sex industry workers &#45;Moon explores the way in which the bodies of Korean prostitutes &#45;where, when, and how they worked and lived &#45;were used by the US and the Korean governments in their security agreements. . . .marginalized and made invisible in militarily dependent societies.</p>",en,2nd,"Height: 9.01573 Inches, Length: 5.98424 Inches, Weight: 1.78 Pounds, Width: 1.3125958 Inches",34.0,https://images.isbndb.com/covers/64/36/9780231106436.jpg,Success,118.0,20.5.6
0-380-79142-0,Soul Between the Lines: Freeing Your Creative Spirit Through Writing,"Gray, Dorothy Randall",Avon Books,309.0,1998,,Paperback,,en,,"Height: 8 Inches, Length: 5.25 Inches, Weight: 0.65 Pounds, Width: 0.75 Inches",12.0,https://images.isbndb.com/covers/14/22/9780380791422.jpg,Success,128.0,20.5.6
